"","SVSPP","COMNAME","SCINAME","NSTATIONS"
"22",22,"BARNDOOR SKATE","DIPTURUS LAEVIS",62
"27",27,"SMOOTH SKATE","MALACORAJA SENTA",2
"28",28,"THORNY SKATE","AMBLYRAJA RADIATA",91
"65",73,"ATLANTIC COD","GADUS MORHUA",86
"68",76,"WHITE HAKE","UROPHYCIS TENUIS",7
"69",77,"RED HAKE","UROPHYCIS CHUSS",73
"88",101,"ATLANTIC HALIBUT","HIPPOGLOSSUS HIPPOGLOSSUS",4
"89",102,"AMERICAN PLAICE","HIPPOGLOSSOIDES PLATESSOIDES",137
"90",103,"SUMMER FLOUNDER","PARALICHTHYS DENTATUS",141
"91",104,"FOURSPOT FLOUNDER","PARALICHTHYS OBLONGUS",207
"92",105,"YELLOWTAIL FLOUNDER","LIMANDA FERRUGINEA",192
"93",106,"WINTER FLOUNDER","PSEUDOPLEURONECTES AMERICANUS",171
"94",107,"WITCH FLOUNDER","GLYPTOCEPHALUS CYNOGLOSSUS",134
"95",108,"WINDOWPANE","SCOPHTHALMUS AQUOSUS",195
"96",109,"GULF STREAM FLOUNDER","CITHARICHTHYS ARCTIFRONS",139
"175",192,"ATLANTIC WOLFFISH","ANARHICHAS LUPUS",1
"180",197,"GOOSEFISH","LOPHIUS AMERICANUS",304
"711",794,"ETROPUS UNCL","ETROPUS SP",1
