"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"17",0,0,0,0,0,0,0,0,0,0,0
"18",0,0,44142.0574441856,0,0,0,0,0,0,0,0
"19",0,0,0,34648.7582421921,0,0,11189.5737092168,34648.7582421921,62075.2866924009,0,34648.7582421921
"20",0,0,0,21016.9384451376,0,0,0,69297.5164843843,0,0,34648.7582421921
"21",0,70893.2469959595,0,0,0,34648.7582421921,0,0,0,0,0
"22",153804.829069537,107137.735749727,0,0,31066.7046460863,49659.8146247088,0,34648.7582421921,0,36766.7630299983,24714.3628012266
"23",110493.881266797,40924.6495834485,39539.4422768371,34648.7582421921,64510.3249496585,0,31066.7046460863,44142.0574441856,49451.9230227382,36766.7630299983,0
"24",96840.1688255283,70893.2469959595,88284.1148883712,78790.8156863777,78790.8156863777,16565.4341216883,0,88284.1148883712,49451.9230227382,43777.3308753701,187211.99322387
"25",122738.12442345,34648.7582421921,165281.355426576,113439.57392857,301646.81370844,118957.331109093,100364.221130471,140799.124154472,138745.903656326,154077.619965365,104133.578460405
"26",75837.1620630721,176752.290155872,127823.557165208,269828.898216457,216944.752416174,49659.8146247088,65715.4628882784,138403.675041567,339983.706667418,127922.21349366,0
"27",37275.8755478343,227912.156328556,313786.395493838,289566.70746634,273362.907393515,118957.331109093,77661.5490808792,117275.07252753,186934.101603223,47143.2294285235,202740.133012576
"28",79427.1766207102,120208.455183971,92790.6930594576,282967.291493926,239651.478659138,49659.8146247088,31066.7046460863,333154.614593498,80822.8564988307,52695.4133148986,31066.7046460863
"29",43310.9478027402,78790.8156863777,224294.710150823,44142.0574441856,157867.046586208,219321.552239564,0,210221.741462935,119998.333849896,0,34648.7582421921
"30",43310.9478027402,44142.0574441856,101974.020219568,163602.919370193,47784.3447704031,125153.991928433,76252.0797962649,342169.287309296,119998.333849896,111350.841782582,24714.3628012266
"31",0,105542.005238152,150929.974222879,118224.769552712,123503.703557468,93200.113938259,0,89599.2952185415,62075.2866924009,21888.665437685,108728.253726966
"32",45128.037272476,36244.4887537674,182685.196737781,93186.8821203276,34648.7582421921,193310.484646538,49659.8146247088,169544.976845715,141092.821654316,143850.86377856,46537.5065570904
"33",151981.863652003,88468.1752675011,55010.2441878412,101333.752517077,0,128736.045524539,46537.5065570904,105511.42503671,101688.20733895,119004.131054131,0
"34",154964.475799401,139379.113967088,193070.639619634,368263.528238672,109093.478632816,84308.5728669009,47632.1387677746,188105.074106873,49451.9230227382,26225.0991564717,110485.920305264
"35",111653.527996661,72488.9775075348,121139.29798239,119417.07663758,124629.147637787,220585.070562753,60767.7252959856,135684.353795216,198474.272350737,73368.3285849953,66707.9294259655
"36",29657.2353614719,80386.546197953,196863.521801503,367360.253955189,116241.832387922,113499.807658682,142564.899119517,128970.609569686,248342.80803584,43777.3308753701,55781.0674473129
"37",15470.8019110041,306604.049696635,155389.123596689,69297.5164843843,141008.088864321,154782.03709762,144566.512304768,175911.913786717,210431.055760615,159012.894531032,31066.7046460863
"38",37275.8755478343,290150.511312039,266182.120091426,88569.5301018237,69297.5164843843,94011.8792856109,241631.199200176,192621.213856096,85718.0552816207,214132.064549467,113302.773860758
"39",0,187524.28194768,610935.71874257,260173.057046313,182581.409387435,169581.464586071,158905.151757864,81186.2647992825,119998.333849896,226165.668119099,75837.1620630721
"40",0,76066.3977397858,509923.932361536,415839.924075148,341894.992169095,168617.145733802,106335.70046647,197663.00873464,228331.513153569,148542.213947545,218575.348990756
"41",80586.8233505745,0,332202.974309595,234098.044576934,92445.3389663205,163159.62228339,157482.129883975,210032.005213083,80822.8564988307,263409.955100274,35641.2247798792
"42",0,197666.252089338,307769.393357966,189792.197720483,226178.583242302,239819.322264777,202779.053268956,349340.807883675,302071.954392193,453139.255139378,109765.548059947
"43",129932.84340822,227959.184971681,268824.064161404,396815.964719925,209562.877122789,178395.860149248,13135.586528211,340036.781595148,298586.295117072,153219.367458522,16565.4341216883
"44",74657.3917915569,252673.547772908,380057.925226921,273850.658042378,126575.160456781,222598.151323545,170866.875553475,249451.274880124,450372.175105426,98168.5995195799,106995.259811193
"45",276974.267016002,251870.817485073,339839.168626743,384557.768009816,361269.403127724,381513.728150083,182303.175887957,611955.932811524,282060.659509923,164473.445442992,47784.3447704031
"46",126185.031220211,237664.923906415,375310.054102726,478574.449955269,465971.147830817,561324.270118281,261335.62149936,212340.115417325,281620.901699648,60348.7025864477,259852.134227166
"47",227881.576127114,184782.025550247,402532.404106666,465568.161009551,238124.669434903,329985.046214561,119227.340387729,364304.256452584,615107.765348962,52695.4133148986,79725.7126781695
"48",151667.026578073,172669.717429357,313257.14950753,424589.99607358,167958.744730042,196101.796783782,168828.774627867,470608.450044842,367903.698590253,227389.161918329,117475.928850634
"49",172377.468004219,162338.011037847,307193.171380393,319006.26382979,341274.932251233,208830.110629161,288820.27254934,442323.848725339,239996.667699792,263409.955100274,129481.437934672
"50",156423.985413647,477776.958932716,622491.854714932,538451.705090577,302797.162119477,267555.912474359,367850.980649298,502177.411332783,610143.131122444,341087.614693313,233997.963917671
"51",45128.037272476,266230.770411901,199881.684486114,357721.378025006,321090.493456697,282422.060402319,121617.113629911,86096.4721443519,392876.155926855,286056.205833473,256176.255013001
"52",161542.69413218,322858.932605958,286141.072021822,532391.839883891,124629.147637787,187408.332017215,290994.246869988,270893.324458934,419394.709143789,205283.674794704,228144.287857679
"53",72968.1831642121,222834.68454833,484758.743257243,261969.875549184,241565.868769824,231541.296484835,348344.287152615,370050.554305243,326714.593371089,163129.925353332,312928.823026559
"54",31066.7046460863,373830.684206139,360899.292129081,478636.447927771,327857.75303475,178018.820165568,222549.50100307,181750.357663037,501087.823204005,459597.443927713,152754.361240686
"55",201844.588022433,240559.617974669,174185.174912149,266581.05271932,123810.20057646,140974.033639989,225114.415398963,203305.519236952,303071.82478187,455338.446525334,205716.49011877
"56",164357.083580533,84534.796857109,325820.568251541,470483.090821626,444589.795318504,236042.841137916,282928.023735257,305959.317116246,196543.967015112,420175.905850232,400465.576325159
"57",89197.9300746239,192324.446901199,378384.522688544,205873.561153446,208411.486204885,180508.326564724,245908.604876783,101077.990832295,127046.031388239,306002.510334618,462016.340112597
"58",173267.768868909,192697.432691506,346619.675413271,252584.792124144,274965.124614487,125643.10140035,177371.423400963,315186.313730688,268756.82849173,424699.477333669,148740.709801511
"59",142280.294744739,107306.39019404,84711.2648377405,300247.136860126,351068.010094629,34648.7582421921,155155.602058409,318621.373858502,240434.110995276,356529.706790123,288142.295583294
"60",91665.5438295664,34648.7582421921,312820.686632412,140301.910750967,458232.503520617,156970.259012121,245406.464069025,218961.366116905,490707.224366741,512176.702768002,598653.776852734
"61",179826.179571209,123561.273103364,15470.8019110041,125780.538555692,216990.159381951,233865.739296666,226358.821096251,273359.490287672,349176.959416941,379960.645529579,340262.194746682
"62",120915.159005917,192695.811014157,251176.444729205,369285.122596439,178178.787052653,260499.183489481,108670.915849263,260797.861706968,309862.611178421,103145.173453997,218700.449814835
"63",43310.9478027402,180541.339282189,295425.016890187,272411.419394997,178686.140394748,139471.781244183,93572.8101433253,238688.897318314,227067.788077729,221713.079925702,266193.935169256
"64",109084.411982182,88284.1148883712,130966.662718311,210938.059514879,124123.184304848,87997.3096657623,148817.160305114,89499.2145592789,119828.217012764,328304.169459807,432988.663064889
"65",30941.6038220081,118382.446488815,250687.509008432,200256.881654624,143901.161255226,253931.56397652,86799.1217729244,99983.3586216103,236085.137703142,318973.093332775,173245.876224695
"66",190947.642831761,125157.003614939,104784.681916093,291811.54552302,200711.762151064,72498.7075716297,67721.2461009989,231616.067394041,220853.315864116,187660.459785766,117163.176790438
"67",216104.660367074,139182.080169165,0,346193.247983048,67794.2215817112,102649.569934777,225347.068181519,193975.951530176,119998.333849896,462881.11248773,168099.019820745
"68",62008.3084680945,30941.6038220081,222655.72086944,137933.38861031,111597.348459922,213565.640156906,53445.8520645199,188361.009542799,240063.788628729,404262.742828613,334221.446621054
"69",166168.297102471,231380.924178413,102734.881746752,193298.700754811,88344.3486184829,44427.4726576381,78429.1816375146,77935.2071335503,186225.860077203,226120.496934529,95825.1462301665
"70",131049.368263118,115651.947252164,139287.489196861,262762.439167484,140064.272647109,341242.49870425,118564.306020114,243710.479147042,321867.999398909,297742.636584548,270341.954160219
"71",102092.697516484,210642.914237331,183758.683960692,295109.600645775,218123.711849015,174640.924164312,73528.8781076848,46868.502487464,269999.722934453,218912.466482319,213125.933927091
"72",154964.475799401,44427.4726576381,144313.067301913,189089.200589621,235063.75343836,126766.518383982,197860.853371238,62339.304398468,0,325516.462069158,227072.590798075
"73",80586.8233505745,0,83050.1512439513,200183.095335237,66261.7364867533,152478.444423136,22379.1474184336,140767.096026826,305194.234845141,0,220686.193728883
"74",59876.3819244285,73799.2928056575,229712.386672084,218709.137372062,81100.0842315842,184054.355756859,77935.2071335503,47361.0869822719,0,322997.200575387,208557.668834502
"75",217907.154740667,64305.9936036641,145322.561451766,113569.308116503,178546.67614272,134675.670484037,63273.2168004407,70011.2861862082,124393.597437848,88193.5113610971,160560.884331358
"76",155828.192738974,137098.224775492,155533.968869011,0,150614.905480756,124311.298877351,97005.2640039709,130799.86161954,113526.950494492,176387.022722194,398095.494879359
"77",31066.7046460863,70893.2469959595,78038.0625459395,220336.085172609,97073.6061208284,234130.536040965,121445.795001382,56750.598833919,51173.9220271806,293993.428265181,267013.461401065
"78",48580.8200170343,83221.2382042879,45171.8225609034,71582.8652886906,62126.4592463905,117983.977197307,86687.9210404105,61591.3057211671,62075.2866924009,128408.77168175,341673.633210934
"79",47632.1387677746,185544.213904353,148030.762624867,247957.710041545,0,24714.3628012266,64461.6746291836,58372.2761830808,42980.5396673335,140643.709674041,57563.0591858491
"80",158379.34920333,47200.5409247049,84667.4795493132,78336.7460286124,75494.1773037244,75854.1896752383,11189.5737092168,193390.236421887,125469.846815625,365802.70567985,6275.89134125637
"81",0,29657.2353614719,0,144727.753366913,78278.3656440426,40212.9648953592,56361.3962701202,93737.0049749279,70546.410827158,125621.064291101,132713.209223358
"82",153329.825031446,78935.1449704531,13135.586528211,159850.357984233,98461.761931711,13135.586528211,108085.02698983,71606.3216932052,62075.2866924009,231782.566641329,114949.587208832
