"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"17",0,0,0,0,0,0,0,0,0,0,0
"18",0,0,756773.953533541,0,0,0,0,0,0,0,0
"19",0,0,0,594020.289904395,0,0,191834.690645901,594020.289904395,1064222.25983316,0,594020.289904395
"20",0,0,0,360315.592865345,0,0,0,1188040.57980879,0,0,594020.289904395
"21",0,1215397.87482264,0,0,0,2145270.73645256,0,0,0,0,0
"22",8131915.07480463,1836775.45974089,0,0,532609.358501353,851370.697725233,0,594020.289904395,0,630331.484934164,1530184.68705125
"23",5450326.65423893,701614.529440574,677866.456274449,594020.289904395,1105968.69476724,0,532609.358501353,756773.953533541,847806.592229501,2276406.56704097,0
"24",4604959.85813473,1215397.87482264,1513547.90706708,1350794.24343794,3327066.69289225,1025645.44476565,0,5466092.80597572,3061805.63760581,750521.060410237,4760823.54902674
"25",7247411.46491812,566513.52375666,2702380.33985204,1854757.74659861,8701498.41991459,3424392.16386927,1640973.34092855,6987399.9998655,2268520.8583156,2519197.21937764,2757846.47080388
"26",1182534.124422,2756110.71133205,1993161.58649439,11010822.0674655,5180317.68282248,774348.931429542,1024705.76764128,4585598.77209888,5301389.50277875,5637637.34218162,0
"27",2001931.872649,5244981.33248909,6391654.92042421,7734648.20796866,5779432.57521593,1769016.25533445,1154906.06133839,3890273.9760215,2779899.82903345,701067.67200029,4221421.31794628
"28",2730554.77309378,2988113.6068907,1315994.3738085,9849430.57554895,7147377.87898356,704295.166850562,1591203.15724016,14762614.9101574,1840606.6477127,2699002.32399785,440600.314309788
"29",585809.356904343,2289544.59965943,5066949.18643543,2156214.77304316,4918267.28869747,6638009.11317393,0,6723722.24238949,1623057.22567801,0,468647.485523474
"30",2017651.41253422,569403.576106563,2612258.93063031,2552854.46773195,1783561.57699517,1614404.37293094,983601.794648003,9402249.22477992,1547899.76673279,3211445.64116894,318799.063183836
"31",0,3575900.06679378,4994775.43385464,1454404.12388077,1519345.70435717,2144600.52031527,0,2553444.80747704,763651.756717995,269274.91928518,2335628.09119011
"32",1438109.29589629,425233.627954779,5208534.96883511,1495756.18270442,1468094.89165427,2267989.46638196,582627.14863737,4434739.72410789,1655352.70308386,4916718.71883648,1019995.9015924
"33",2966069.68092827,989878.053237413,615514.372938339,2146257.29478104,0,3751019.88573603,520712.179876717,1180576.44677127,1137798.13377545,1331547.49963908,0
"34",2692372.83588034,1487309.41667881,5907526.05579837,10500913.1782973,2129676.23127108,899653.691020753,508280.806998036,4179803.50570589,527699.658084794,279847.071907532,2144534.9253226
"35",2126931.27027501,1700949.83012706,3279110.24514893,2136120.74793325,4580502.07925887,3991326.1784107,618422.967516627,3222503.25435054,2019839.4441293,746657.197784974,678875.430527602
"36",1039520.66189682,780198.305237613,1910675.27263103,10893698.473757,3448011.77716218,1101581.81646512,1775791.96016353,3341049.96567999,2410311.76374196,424884.523246997,1328791.50515062
"37",143200.145999053,2837974.71734349,1755818.30866014,1478955.83617181,2142720.03492214,2270213.83966078,1655642.53716431,3781119.94185367,3143130.82156194,1471848.05568349,287558.24466117
"38",1188360.80691788,3753487.81819403,2955352.35737196,2823610.62519042,611726.51913838,1399624.31333609,3563784.51434446,3297860.51353948,1301707.20631613,5939959.48483451,1000184.63833669
"39",0,2340481.66096791,8370530.22232544,6155411.95073023,2507580.28767475,3381155.9442928,3386574.47683054,1785374.143024,1010238.36201841,6395095.68543728,638455.617880136
"40",0,1337215.58029856,6107908.57032558,6619131.61285287,6248126.87481329,2806782.84600425,1780555.518344,3039990.03118154,3067826.56276324,1192634.95781519,2481409.89750126
"41",2228494.21307608,0,4582817.04265704,4998307.81292998,707866.995954345,2563395.20783891,4023660.09337458,2610444.99728053,618872.008843189,5002033.22867057,272909.883820731
"42",0,2496494.36460349,5210371.86859883,1385970.54911345,3107546.9003203,2412057.39039605,3531141.1367681,5597124.87602911,4092021.81721544,5990329.17554072,1394020.13680496
"43",3268017.85923743,2246787.32022734,3727122.21483655,5226989.33553578,2089645.96275255,2680596.22041341,330380.912475562,5972999.29081907,2079478.9072952,1067083.2788698,115368.55980859
"44",1303061.46541418,3532997.38225229,3522745.63522242,5699509.99486419,840702.112036921,3388908.31586823,1905478.63979043,3910647.13721566,3501983.71737073,652028.001813181,1139324.5856468
"45",4317848.85002916,1595440.10917162,3322147.48273348,4450562.79815939,4262689.78417203,3444444.49194465,2594555.51348686,8023761.5420614,3091699.78981799,1041833.80342961,1093123.21758894
"46",1038588.48182606,1735067.86753926,4554776.22742653,5690105.9019012,3714612.69651025,3881085.08137667,3184171.90311217,1772858.10938872,2733370.63994991,709880.80800277,2116389.95816285
"47",2970782.72162653,1842657.9612036,2962942.34690453,4715869.54626385,2741367.66845596,2889853.45721528,1733021.14655746,4412667.33721146,4624541.29894919,1096413.3209634,1160358.06171007
"48",1258877.88864674,1789347.15365179,2895741.89942776,5124119.89161397,1580569.53540579,1574647.06019537,2161637.68184355,5832238.9835835,2021453.77736504,1776946.53274733,1142635.7530487
"49",2006039.20566943,1110304.44042847,3305874.30698728,5399352.62391776,3033878.2985381,1219447.5895723,2480898.09901603,5151731.19085234,2611023.56945789,3378586.69767331,1798536.15738777
"50",1852468.13743145,3100415.10396676,5845843.38943458,6473696.92433114,2775385.61391183,1831056.93518806,4770562.58268286,4703458.09636077,5614158.09686327,2655020.7008787,2479197.74504408
"51",215081.528318871,1741163.17917557,1116130.21582015,4114889.98170662,2888127.48088346,2040294.86618099,1361195.75534902,1304801.13256141,3336773.94935679,2596198.97907781,2618781.68901688
"52",1914241.51327769,3523152.70470465,1497236.05904932,5696198.76196324,977757.517446266,2123660.71705458,2199889.05335369,2009849.96268662,2285416.01856259,2015086.80037718,2756592.09385772
"53",316306.565098834,1903670.80999277,2101359.33679831,3465509.67957701,1208242.62291817,2180394.0803974,2972548.59623803,2406297.65996647,3544109.81515408,707144.732344781,2925429.25542627
"54",128433.66152056,3290909.36550623,2893212.54738658,5244810.93947052,3003333.67516626,1822628.02826511,1850336.04807763,1257372.85152801,3673214.2311408,2183160.70523166,1005574.96183981
"55",1101164.98291932,1374892.81553965,1556837.53154171,1760000.07572894,488145.291972334,912564.516879356,1379549.48286952,1025477.14366586,3079863.80738253,2304330.17402129,1683860.65577772
"56",984026.836248136,844110.773289654,3000980.89527959,3941983.36374196,2316993.39168885,1659296.42470569,1594679.12566672,2090300.60265906,1894288.17200715,1957563.93693329,2949978.19334559
"57",319864.069898515,1519098.31272461,3554589.51175408,1406048.68312034,747364.273311291,1228444.84567486,2156760.47236631,727168.191030587,1423922.34258208,1097326.00602847,4344152.89121792
"58",1459526.68245812,1662064.54770898,2525929.58733579,1799489.82003385,1078536.62944057,1077179.36237249,1387912.45234875,2668130.96996866,3056468.90905694,1827750.38515716,1263740.87199319
"59",1150453.07946555,1078738.89691235,661041.48688782,2498855.63628639,2221898.83788616,408128.752103433,617934.801325932,2668361.14983559,1702482.54495186,1583980.67944354,1641919.96341294
"60",285130.587553186,389229.8990961,1845463.11815761,637172.250358489,2308958.19675651,814689.908015878,1397923.51056901,1365140.77473892,3779431.56704127,2362546.83545364,4442328.81674211
"61",1157754.40889538,1055341.8725986,45894.3810806643,373129.977502986,1220419.75912443,1063946.46651742,1408465.08993407,1902253.43971349,1947271.48658475,1127159.32644619,2448117.13163513
