"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"17",33106.5430831392,0,34648.7582421921,0,0,0,0,0,0,0,0
"18",0,88284.1148883712,46594.8444347929,0,0,80386.546197953,49659.8146247088,0,0,0,34648.7582421921
"19",66213.0861662784,255359.04546312,122932.873130563,128978.949624624,83938.0195926174,130513.172231028,248299.073123544,148088.332170762,103505.178487604,131423.975730775,158210.031345556
"20",33106.5430831392,211502.403232387,431927.275239863,355992.928369937,111628.160329556,179382.998318502,374400.70379437,460747.725089167,238201.699108988,203056.707597952,284447.882913711
"21",33106.5430831392,252634.627516528,403732.792847335,208760.841839533,87426.9425752428,0,15470.8019110041,79076.2308998302,128910.375839574,16565.4341216883,317616.049736118
"22",31733.9090411701,191296.30346183,243691.076935901,0,354570.485666529,103081.920699473,50119.5601531962,84768.3183953883,69141.8354588647,0,264852.344665114
"23",0,119636.23474791,149684.062682337,235578.751830815,47434.0624629842,0,24714.3628012266,115835.023041475,34648.7582421921,0,44142.0574441856
"24",62800.6136872564,131910.478935523,187809.697161132,160569.224386297,0,0,49659.8146247088,140831.7314526,75208.7620902719,0,0
"25",0,220710.287220928,122932.873130563,36244.4887537674,44142.0574441856,44770.4574169858,55002.6623197153,79076.2308998302,112505.487775453,88968.1678792904,24714.3628012266
"26",33106.5430831392,235438.360906016,70893.2469959595,0,0,88912.5148611714,31066.7046460863,65715.4628882784,0,8367.85512167515,34648.7582421921
"27",289367.241152393,269360.607695784,141973.797725747,0,72488.9775075348,125785.403587739,89844.9793369395,60723.9400075583,44142.0574441856,39539.4422768371,34648.7582421921
"28",238044.628074312,289566.70746634,113439.57392857,0,44142.0574441856,125984.059063011,49659.8146247088,0,0,0,34648.7582421921
"29",248423.131440755,294052.267014122,149684.062682337,0,111298.033154905,59612.8593551897,120640.632197523,31066.7046460863,0,113585.230039567,103505.178487604
"30",280157.040481925,555607.973296582,231637.149199581,46023.2031692133,85742.7148140419,130513.172231028,49659.8146247088,34648.7582421921,15470.8019110041,88141.1124312178,23935.9576736289
"31",66213.0861662784,654813.853463366,223163.074211535,56754.0738568101,124204.268172306,81014.9461707532,99319.6292494176,31066.7046460863,51214.1923638804,30260.4993353602,0
"32",213276.749920563,624829.039277363,421499.889884752,226939.844923637,409757.324199471,93640.2835044601,74833.9229544228,100364.221130471,63160.2785564812,0,15470.8019110041
"33",111827.626643503,246328.155973831,155121.546834077,223814.641003609,154499.517736577,187508.065174188,164335.570029725,198427.050434288,37849.9493294376,0,44142.0574441856
"34",0,149349.99714841,220710.287220928,250875.802597266,87035.4233295166,110104.362791826,78938.6199933442,113724.989142022,120650.362261618,31914.6102315052,216159.049740505
"35",0,85559.6969417793,350317.984320641,148805.113559092,188124.997571448,119083.821942328,212976.507942775,144791.693788109,44142.0574441856,39539.4422768371,81243.602676985
"36",31066.7046460863,211096.983895097,295333.39211996,202114.744726282,54650.5266667544,88284.1148883712,331148.136376199,201339.582953382,0,158147.596767613,101986.709318307
"37",99319.6292494176,256681.117922024,396420.649679964,194198.179244059,150558.841778114,137949.605383802,180784.590884563,44142.0574441856,16565.4341216883,338931.081963074,252019.432630714
"38",196689.075652372,199834.434705167,379455.472091707,414052.452492822,246827.40092918,31914.6102315052,172134.563904134,350786.880742742,138726.388834051,126281.636856583,151665.984071206
"39",243107.736426588,152397.128887485,684217.296319694,206088.259651066,200825.047897313,177816.921335597,103381.931009068,253971.352988623,153839.842557757,114741.780839947,268879.201191275
