"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"17",567580.465150156,0,594020.289904395,0,0,0,0,0,0,0,0
"18",0,5466092.80597572,798824.673765704,0,0,3354423.9879061,851370.697725233,0,0,0,594020.289904395
"19",2617365.26739105,5929140.50412026,2107568.19697148,2903861.68292654,1439038.20113505,2237525.27761908,6480159.99426227,4515107.27270104,1774498.69060367,5355641.03792605,4263612.25844219
"20",2049784.80224089,7153532.17475896,7404985.87170626,13714000.5058381,2655406.25138344,5291424.43324743,14287716.5077206,8591724.51498298,8996544.83848286,6583716.68360877,4876590.74792874
"21",2049784.80224089,7858705.37672166,6921618.05553675,5302619.40095761,2606888.52923109,0,957871.516697434,1355687.41815586,4186319.29421142,283998.748543171,6996478.14053207
"22",1964798.44799662,4830845.19697886,5193942.38433328,0,8294848.72033709,4759603.42985375,1551891.80660183,2145912.09650622,3174422.274361,0,10469461.0695642
"23",0,4027322.88974068,2566192.11826058,4038775.57399594,1314177.73850444,0,423704.44716573,2678521.45500758,594020.289904395,0,756773.953533541
"24",1076657.3072524,2261480.78355346,4842512.65069546,4476419.55938079,0,0,851370.697725233,2414427.24614995,3265655.76148921,0,0
"25",0,5493412.46455823,2009974.92192724,592604.00898443,721730.699085288,732005.153379761,2225776.6365981,1292910.8136957,5621189.74422639,3142884.23553916,404084.34438133
"26",516232.620953028,5082118.67050998,1105443.31411132,0,0,3183902.12854611,484425.278820202,1024705.76764128,0,471223.120499363,540280.488821082
"27",10074131.5963881,5719914.31637474,3849946.95177291,0,2485532.72372864,1870556.62358842,1936891.78105409,903026.622737615,656437.19840233,587991.639207484,515262.203565914
"28",5907215.04273673,4106749.77525794,1608844.98364048,0,626040.148311611,1786755.84209986,704295.166850562,0,0,0,491402.417664433
"29",5993368.36643282,3977252.36169753,2024576.43961377,0,2379555.9093793,2911919.73023757,3849773.10246555,1517520.7361451,0,4151724.73735438,2959140.44256821
"30",4729065.95642485,7166978.27935216,2987967.23012157,593669.121598246,2773417.45079943,1683534.28227319,2313414.97258558,446946.245668362,720711.203803295,1658110.52505841,1115062.6172051
"31",1878137.35894718,12309865.8416208,2745357.8184938,2521473.98292078,3856748.21034538,996647.92963869,1221832.60673015,382183.391209809,1162220.17736279,372265.432959174,0
