"","length","day.night","expnumlen.rockhopper","expnumlen.chainsweep"
"1",24,"day",0,1
"2",25,"day",0,1
"3",26,"day",0,2
"4",27,"day",0,3
"5",28,"day",0,11
"6",29,"day",0,6
"7",30,"day",0,12
"8",31,"day",0,9
"9",32,"day",2,2
"10",33,"day",0,10
"11",34,"day",1,1
"12",35,"day",0,1
"13",36,"day",0,1
"14",37,"day",1,3
"15",38,"day",0,3
"16",39,"day",1,4
"17",40,"day",1,13
"18",41,"day",1,9
"19",42,"day",2,21
"20",43,"day",3,18
"21",44,"day",0,8
"22",45,"day",1,13
"23",46,"day",0,1
"24",47,"day",0,5
"25",48,"day",0,1
"26",50,"day",2,4
"27",51,"day",0,2
"28",52,"day",0,6
"29",53,"day",0,5
"30",55,"day",1,2
"31",56,"day",0,2
"32",57,"day",0,2
"33",58,"day",0,3
"34",59,"day",1,1
"35",61,"day",0,2
"36",63,"day",0,1
"37",64,"day",0,1
"38",65,"day",1,0
"39",66,"day",0,3
"40",68,"day",0,1
"41",75,"day",0,1
"42",76,"day",0,1
"43",78,"day",1,1
"44",79,"day",1,0
"45",83,"day",1,0
"46",97,"day",0,1
"47",25,"night",0,1
"48",26,"night",1,1
"49",27,"night",2,2
"50",28,"night",0,4
"51",29,"night",1,8
"52",30,"night",4,9
"53",31,"night",3,8
"54",32,"night",6,8
"55",33,"night",4,4
"56",34,"night",0,2
"57",35,"night",1,6
"58",36,"night",0,1
"59",37,"night",0,1
"60",38,"night",2,3
"61",39,"night",1,8
"62",40,"night",1,14
"63",41,"night",5,14
"64",42,"night",7,13
"65",43,"night",5,15
"66",44,"night",4,11
"67",45,"night",4,10
"68",46,"night",1,3
"69",47,"night",0,1
"70",48,"night",2,6
"71",49,"night",2,2
"72",50,"night",3,8
"73",51,"night",3,6
"74",52,"night",0,7
"75",53,"night",2,6
"76",54,"night",2,5
"77",55,"night",1,0
"78",56,"night",1,0
"79",57,"night",2,2
"80",58,"night",3,1
"81",59,"night",2,3
"82",60,"night",2,3
"83",61,"night",2,0
"84",62,"night",1,0
"85",63,"night",1,0
"86",67,"night",0,1
"87",69,"night",1,0
"88",70,"night",2,0
"89",78,"night",0,1
"90",83,"night",0,1
