"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,6510.23179129085,0,0,0,0,0,0
"6",0,0,0,0,14684.733363814,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0
"9",0,7362.12086131049,0,0,0,0,0,0,0,0,0
"10",0,0,6510.23179129085,0,0,6608.13001371628,0,0,0,32551.1589564543,0
"11",0,0,0,0,17621.6800365767,0,10915.651800435,0,0,61382.1854607423,0
"12",6608.13001371628,0,0,0,17621.6800365767,0,13216.2600274326,0,0,132994.735164942,80619.1861673386
"13",6608.13001371628,0,6608.13001371628,0,70486.720146307,6608.13001371628,19726.4918187234,11013.5500228605,116111.777360736,255651.418041758,74451.5981545368
"14",6608.13001371628,165893.123408196,13020.4635825817,0,150910.109868795,49634.3987696912,41753.5918644444,28635.2300594372,50185.7310691018,283983.163611677,260580.593540879
"15",36369.1896310459,0,0,0,192565.803510814,43662.6072017402,65347.0634689721,57123.6127852363,278096.870661113,377064.793493772,144497.776299929
"16",23348.7260484642,82946.5617040982,43833.9290909847,0,594095.3627887,121638.541363592,101079.914654253,148389.23064134,573605.117407424,321135.539022126,587022.216218463
"17",98240.8662039154,48589.9976846492,19628.593596298,0,830079.02794519,316064.411100489,160455.186555274,145966.249636311,978972.139576753,396908.763179406,380628.288790058
"18",100908.592765008,274607.108126881,26138.8253875888,0,725230.031727559,397858.375936933,225851.199135459,272622.074899206,1656722.08236066,341434.735442038,447810.943929507
"19",234833.361042992,147978.629312341,68088.213696884,143322.997630824,542698.796015351,497518.766366017,516878.139850645,323406.777782396,1829596.02386293,400731.688765119,457943.409950538
"20",232336.956371143,218654.989580921,158521.696662372,285618.063926181,504077.94726852,706678.31857794,532370.533549469,208939.281211466,1864149.25008773,373922.260553916,607409.521038558
"21",238308.747939094,663245.288261171,237280.816603627,74206.8525984732,474879.802430137,376173.919669701,321620.135223132,184929.74216163,1718820.8602249,456685.417792372,876752.005486512
"22",356325.055072946,509949.571660106,177807.646480181,326196.877121521,305662.724967788,374999.141000596,334273.480471618,115397.529683971,1041232.63300835,495697.859428904,2571003.11733655
"23",291271.68627125,512485.413290113,203873.04820095,562327.389611649,209869.314324508,419542.832204165,225777.77546864,251696.329855771,1243377.09220183,676510.981337545,3065584.9370298
"24",333441.345581002,1188328.10835842,204533.861202322,565802.776507752,125089.453704089,665120.523158347,338140.460257423,355835.563960819,782649.440808044,593968.095099547,2719661.56808956
"25",407599.249068263,1510134.59134059,243326.031838397,456988.90228189,144571.199966748,668228.791720354,848777.588428447,920757.256466741,1156212.4013976,862375.651523339,2975469.6232872
"26",425490.149216509,1944417.920815,438853.25657758,382047.813015226,112142.413788326,642506.033778073,579410.629424886,733355.584188869,1666155.49045636,594310.738878036,2431571.57404713
"27",934242.736605844,2374365.77911554,683892.507308422,512448.245285894,385033.708799202,1189903.94446984,953871.330202142,1222528.52709312,1639526.32703193,926156.343433504,2007158.3052773
"28",1162272.17119027,2698380.8983561,810058.841459191,692189.381658977,785926.929631323,687686.063427408,944522.049960514,1440498.91932333,2325901.10007476,1062538.35709437,2312258.11546615
"29",2149624.69346191,2750651.9564714,857882.123114011,1165576.23619713,768109.453149895,1020442.12145143,846893.047646757,1472952.18005736,2199709.05234891,1384290.65491777,1366928.40517062
