"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,15425.843461579,0,0,0,0,0,0
"6",0,0,0,0,36583.8243516186,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0
"9",0,21352.6101405706,0,0,0,0,0,0,0,0,0
"10",0,0,19885.1252250299,0,0,20184.149664504,0,0,0,99425.6261251494,0
"11",0,0,0,0,56730.9010629551,0,35141.641491775,0,0,204908.183761096,0
"12",22444.9896550472,0,0,0,59853.3057467924,0,44889.9793100943,0,0,459423.282819563,273828.873791575
"13",23705.4217268535,0,23705.4217268535,0,252857.831753104,23705.4217268535,70765.07374757,39509.0362114225,443386.37799208,991475.46247415,267081.084789216
"14",25038.5203971717,628576.971939853,49335.1587085012,0,571805.617662817,253530.993018375,158206.354805833,108500.255054411,256347.18156538,1193860.76896873,987352.320995136
"15",145322.934356633,0,0,0,775576.161056219,174465.756993427,261111.867249131,228252.845752611,1278706.78822787,1630928.19911869,617208.099069092
"16",98065.3299223021,348377.976706271,184103.779759793,0,2500585.03322148,510885.418987255,424538.587609127,695803.557686619,2500181.76454844,1522933.33741131,2507374.53126748
"17",431568.181134454,213453.909074507,86227.6236347364,0,3646503.84438369,1388458.2688516,721789.26008229,679172.751326327,4384827.10391101,1935189.95238418,1672084.79148057
"18",460590.860672293,1385214.27667428,119309.007809364,0,3341530.57745925,1815999.27991482,1095978.25854432,1289862.51235215,7848659.57241611,1684781.52839432,2044004.60289133
"19",1115699.59598954,696005.760994418,320247.519584899,883272.913178254,2673711.98357883,2340040.10716097,2508590.45078053,1642730.11501617,8715677.19740081,2114385.87632113,2247663.97080597
"20",1114783.27626132,1187670.3842928,760607.951158175,1791054.33824248,2585409.25156502,3411337.38246918,2655267.55260543,1061217.10244358,9137009.41495961,2117381.17588458,3010082.26625059
"21",1164010.57712358,3729239.63200008,1147544.11529825,449853.636390681,2421343.18392065,1831705.60182362,1723611.82847755,995305.473640073,8532214.16780336,2404818.69838833,4384788.96999877
"22",1725121.31748241,2728750.22312313,864990.781625804,1949671.41776915,1591961.61463375,1856733.16635914,1738617.30045491,637443.192044355,5319141.90424649,2796585.24621776,12468285.9511618
"23",1381486.86584358,2760547.03708799,969307.354687622,3384634.72898972,1097349.96517713,2301681.65912508,1119232.59146256,1364529.37375426,6111788.059658,3648275.75718094,14459468.1992046
"24",1507454.38379826,5589088.90567788,944781.531399924,3110933.30374799,671317.043100945,3447090.15029928,1655720.65301633,1802310.63059828,4064557.42772672,3008131.77509024,12398956.6489305
"25",1758573.92168725,6889996.64008495,1043237.31047319,2394098.2856068,674916.04509898,3213751.33081587,4033457.76332934,4235262.69162497,5715130.06925078,4241396.56421231,13145933.0173889
"26",1723657.6033993,7863876.98452442,1786110.7454315,1792702.08505486,533064.415561166,3044487.00181336,2676945.97903563,3160399.91408765,7202012.45445945,2641687.57588713,10092094.481795
"27",3523140.36951887,9241789.05660569,2630011.70251558,2361773.51546322,1520300.22815244,5359223.22242137,4023014.0823608,4799837.24599857,6622782.98678986,3925961.35992345,7938295.79245864
"28",4094346.8378975,9917993.01724478,2866600.01077527,3010687.58972023,2867358.39604283,2849085.45990354,3890286.02269596,5451092.42363903,8735809.71219352,4380202.16971436,8609411.07357754
"29",7078443.17894333,9427498.21531385,2857839.85624117,4977231.10372282,2635670.06714872,3984255.08936596,3093258.12572427,5199719.15019284,7869771.04286355,5230593.95182192,4916892.87626632
"30",8469655.34628006,10833245.6281097,4872602.77417343,5353472.12587962,6546338.64826081,6051995.94530008,4462619.80625612,5822558.50730263,6239875.6787682,5486264.97780287,6037585.3285941
"31",10292734.7363519,7237466.23630969,4419782.40023051,10362787.9424063,6913121.09535804,6667851.02862739,2304908.64971576,3733759.67384512,4686224.21951183,4531026.76048015,3831246.77473961
"32",8406242.75566081,8979095.93719655,3525174.47591158,10081922.5608107,7251527.77044303,4495003.28574845,2602691.27496087,3435599.48892976,4222434.31736602,3822580.80242337,5518953.93526016
"33",7944419.18590756,6038133.87039516,2990722.00749809,5614851.76278586,8047054.72243064,4090057.35315305,1971952.85245848,2201316.76185611,4195337.99096387,2360526.83135724,2786963.33797684
"34",6782759.93356744,4803478.19350486,3562770.95649073,3480172.21520764,7710228.17655093,3061524.09222391,1317345.11721713,2795849.00975871,2212569.8658393,1969261.61615171,1618270.55305555
"35",5325275.8019336,3429904.26694587,1714614.68653087,3057848.67170818,4087503.94875719,1560714.2094075,1176382.40356637,1579663.03042442,2692935.24989202,1602626.18073104,875408.506071237
"36",2534695.70050225,2724530.08495312,1058477.09984557,1678872.83188152,3159273.7324007,631509.365208739,598362.902189571,721836.774050887,1925236.12178194,799121.869968899,1396236.86427922
"37",2277284.85002409,1371261.35963059,1145059.48576332,770771.298548007,1431799.41184235,1760179.96875014,234075.957430027,461509.973385465,1165373.91041374,846806.480709497,636830.353914244
"38",1051774.26769989,550543.098150859,379366.35873402,240907.424301215,1215746.40953834,1188992.70021564,455998.13888041,331412.775072507,595852.481697829,373558.970511061,10991.4685434628
"39",731204.232371115,732119.892948473,350952.268985218,0,488911.486556911,200449.053123792,246891.802413328,336792.597516423,802083.42937325,293312.275586121,362356.829080434
"40",591813.343494313,85054.4958150286,171955.904937986,0,570436.055421325,187515.21115532,63381.7839357027,73232.2995413657,513547.944747925,102533.058925798,273966.823461721
"41",285339.163487938,0,372495.992892998,61118.2745620551,10849.3978512524,0,0,193595.810557709,313364.155689823,98871.3674179859,16032.9990468507
"42",40382.359756681,134587.13245337,309157.695889697,0,10339.7222705584,0,0,33604.0973793149,96697.1197520111,0,0
"43",0,0,330625.195001438,0,0,0,84688.1768713221,0,0,0,0
"44",0,0,39982.3069383212,0,0,140139.126532302,0,0,0,0,0
"45",0,9213.61236671758,147118.968855143,0,0,0,0,0,0,0,0
"46",0,106967.700957633,0,0,0,0,0,0,0,0,0
"47",0,0,65579.8758235335,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0
