"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,19438.7779648785,0,19438.7779648785
"6",0,0,0,0,14250.2319667343,0,10864.2794139547,0,84234.7045144736,0,25918.370619838
"7",13154.0602769855,0,0,0,14250.2319667343,6479.59265495951,40485.2744080553,0,331355.65025144,0,125694.353757861
"8",55173.975050689,0,0,43320.7051788721,176812.49355648,51836.741239676,32885.1506924637,0,334181.337273904,0,239744.928233502
"9",170150.205619895,4530.84298429499,19731.0904154782,78632.0492113131,275053.836328854,58316.3338946356,87303.9852457702,38633.962220924,240353.912505584,6577.03013849273,281935.358603388
"10",180527.297616184,0,60333.2898037733,21299.8339003631,169699.557258554,44675.086199984,53152.1472673746,35808.2751984604,257405.472123899,13373.2946149352,182061.937981832
"11",93564.3435627799,14907.9349805835,85501.3918004055,101169.339152548,151198.615072683,93881.0153842629,40923.7430839548,75562.7684800165,158530.785708558,28500.4639334685,158092.317032659
"12",132929.086910203,26064.5268451379,125051.266366542,105875.569607203,49680.9369165034,89593.766108801,3653.90563249596,91932.2657135984,183937.609539847,28500.4639334685,25918.370619838
"13",44139.1800405512,31179.9947306322,85501.3918004055,102504.232676953,70459.4802799638,69570.3632427231,14250.2319667343,98947.7645279906,99337.5144621236,28500.4639334685,25918.370619838
"14",95147.7026701948,24700.4020756727,56167.8373827279,84049.5732957604,9244.38125021478,117850.636333436,0,53005.9910420748,23092.6835973745,33981.3223822124,51836.741239676
"15",126157.181804644,123502.010378363,0,25333.7457186387,0,0,4384.68675899515,36490.337583193,6479.59265495951,9719.38898243926,142551.038409109
"16",154633.286367229,49400.8041513454,0,6479.59265495951,32933.8694342303,17124.6377309644,18318.2469042464,13227.1383896354,6138.56146259322,0,238746.194027286
"17",212121.401651832,49400.8041513454,6577.03013849273,13836.122661718,0,43018.6489799191,36928.8062590925,10961.7168974879,107395.594350321,71178.0817210213,403220.666231371
"18",101822.170292221,29085.0888346679,38366.0091412076,8769.37351799031,0,225226.743187051,164474.472204085,11010.4356392545,159164.129351524,15200.2474311832,524091.864554338
"19",154292.255174863,46623.8358706485,28500.4639334685,44304.8237625577,0,712316.723369646,194899.326437335,46550.7577579986,276693.221989301,79947.4552390117,443437.98755971
"20",62286.9113486145,100336.248668339,13056.6227934522,54184.9845928268,4859.69449121963,1401394.60691662,159456.441802124,151271.693185333,517246.881336128,204618.715419774,383075.466510877
"21",135097.070918817,181160.64125915,38366.0091412076,34030.0411239791,14713.0600135171,1837549.14258222,219965.119076257,335306.740208713,527955.26077643,288366.232516581,415565.995395031
"22",188931.280570925,375572.780278818,44845.6017961671,156172.798607054,23823.4647238737,2093005.86503545,236846.163098388,446482.908920123,590159.350264041,193656.998522286,565429.716943308
"23",169054.033930147,485457.902333413,49327.7260386955,244850.652370643,182938.875333631,1800815.21129019,413524.68011501,581750.495435124,573643.696805159,158871.816900924,647749.774906354
"24",494084.59953623,333723.381101298,91220.9720838059,441430.775398925,553359.64867063,1542922.55174863,510548.054343219,997759.831380231,474617.982290342,315332.056084401,1088479.00042384
"25",548110.204245278,605232.928966631,274262.156775147,683329.072018511,915486.056221863,1303689.17030368,1404902.35632381,1832920.86211439,749927.592013471,545528.110931647,1296912.39332394
"26",763523.600876482,705544.818264087,134220.133567018,680035.685075088,1128995.94201404,744324.936710311,1645110.1126041,1646815.26856593,1234225.98829284,813213.237568301,1569971.19717745
"27",1013008.79755318,819985.14267386,427506.959002028,952568.326517521,1749088.08721949,1066136.58544967,1881079.33835069,2230831.1854932,1474229.1258577,1533398.03773326,1895772.9108675
"28",1158437.72163665,831019.937683998,935175.73570684,1426280.140211,1979235.42332497,1241207.383988,1628058.55298578,2804737.9635039,1865089.84730289,1478735.60947112,2453870.45717493
"29",1270268.11345178,1370969.75268337,1333680.4277352,1412551.19878117,1564078.66536078,2415475.21678866,1836964.51768102,2692100.23253949,1593492.60570237,1681235.05962404,3265753.673093
"30",2138443.05155307,2920469.33457049,2039381.14597294,2824205.97271384,2146511.22318064,2827270.38157096,1726738.36443406,2839182.1139329,2139269.18221703,1476397.10986632,3049535.0252586
"31",2522809.56472076,2550158.17840246,1892041.05524818,2789060.2724034,2123235.84430164,2165401.91530064,1363174.75400071,2024141.92354835,1368090.47504496,997004.690882848,2375404.05168562
"32",2145037.4812422,3182137.69659897,2130879.81488482,4043655.56662886,3533631.23875964,2312678.67166111,1021826.88981294,2012278.90992818,1401589.48188368,960611.790783188,1786063.17628326
"33",2140461.39942626,2438202.50982279,1144909.91901211,2878059.66986265,2823786.99153465,1595197.7616642,1292849.2502606,1695996.83837933,924481.971889068,744154.421114128,1557791.5117358
"34",1789512.46320034,1888801.2589207,1084932.27602323,2023269.85807072,2026638.75906389,1135536.43309621,860738.370161632,1085429.20718925,716448.072671455,480853.981236469,401130.632209583
"35",1074150.81847028,1912015.73937249,861196.326334238,1766083.62028477,1457944.88642221,857060.105158253,846536.856936664,556684.702796201,606066.01945084,219015.103611808,1012584.94449981
"36",624525.55070621,810436.269287604,737991.500280651,1241830.98388261,1110434.10140096,443389.268817943,641577.110324524,732973.46987869,348329.259882928,196214.732465033,113290.562104081
"37",508501.867189021,824345.470061972,367884.962828047,493257.772890248,453510.587419957,296063.793715706,349824.925255163,516905.850143762,229192.448766853,421806.866215334,88707.0850086486
"38",322298.836157027,590324.993986048,173950.267477691,318113.896239275,391698.683803567,42775.0552710861,243983.458767197,122771.229251864,138176.095398467,33031.3069177635,40602.1993882951
"39",300302.324249401,385901.15353334,89788.6410758674,41162.4649186112,230476.187612404,58365.0526364022,35710.8377149272,232266.601372327,135545.28334307,27477.3703563696,10961.7168974879
"40",257381.112753016,203668.699955325,119994.260971167,64240.5328934557,20851.6214761103,46087.9297112157,0,112296.699772043,60606.1147576664,65916.4576102272,13154.0602769855
"41",38585.2434791574,147033.162651638,5480.85844874394,24018.3396909401,49400.8041513454,0,0,50277.7415031444,60557.3960158997,46112.289082099,36782.6500337927
"42",87937.3288887362,53931.6471356404,6577.03013849273,43310.9614305188,3653.90563249596,0,0,68328.0353276745,46623.8358706485,16296.419120932,6479.59265495951
"43",49400.8041513454,17514.3876650973,14713.0600135171,14820.2412454036,18366.965646013,31813.3383735982,0,0,29640.4824908072,0,0
"44",0,5480.85844874394,5480.85844874394,0,0,6479.59265495951,0,0,7356.53000675854,0,0
"45",98801.6083026908,0,10961.7168974879,0,0,0,0,24700.4020756727,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0
"47",24700.4020756727,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0
