"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,46059.7342128046,0,46059.7342128046
"6",0,0,0,0,35501.3584737929,0,27065.9929560883,0,215471.482718598,0,64569.9921643004
"7",34460.7530228494,0,0,0,37332.4824414201,16975.1116742184,117258.219483161,0,885805.624625351,0,329291.639996116
"8",175743.289436401,0,0,119383.692418072,491923.61509074,142852.281525898,111094.836279172,0,933372.0205281,0,660691.802057278
"9",531709.217253492,13140.9583833658,57226.7542501414,228059.213233897,806896.4363972,169136.851450418,273130.665479105,118593.007918409,703648.257233743,19075.5847500471,828920.921678341
"10",558636.040214788,0,195939.186573093,65059.1066431255,572816.482536193,136457.458352576,191150.09431777,109374.298679545,793119.273091405,48073.8378072781,560914.881677102
"11",316205.747800515,47994.3219194183,275261.552184899,342135.908190279,507075.491197769,302238.752740912,136826.506436967,243265.337571954,539415.831907912,91753.8507282997,516220.604209218
"12",480706.64429179,88530.0431723522,424745.635167838,379255.750402221,193570.671873128,309668.522219645,12410.7537157503,312254.563488278,640079.059632731,96803.8789828524,88033.6130237222
"13",189184.380618736,111852.358079594,306720.138171387,367714.627186665,258828.413221797,249570.573965094,68914.2843048975,366271.792712521,356354.622069206,102240.046057129,92977.2726536625
"14",425674.983385121,93591.0037947728,221786.360384343,346560.662158894,41436.958695821,452517.519670219,0,209388.308179507,96045.3568383033,135985.677327046,196411.889620588
"15",533469.923000849,493485.687451402,0,115322.306743977,0,0,17520.2019213515,161121.20123432,25890.9650615528,52354.9449356574,569601.231354162
"16",721687.263224814,207484.817264682,0,27214.4780041447,138323.211509788,78013.7828383492,76937.1708989354,61644.1720087885,25782.1370565581,0,1010753.87503087
"17",1045151.63485086,217015.749331064,38949.8039182682,60781.5313708306,0,188979.197888885,162226.763306654,48154.3822480172,501509.072516527,413142.454707599,1813237.09259814
"18",543250.064246488,139723.540454098,175119.211225762,53960.2489298821,0,1046687.89975458,797486.236590509,60551.3733207251,767674.313760965,93531.098145129,2493933.62626675
"19",796051.935200802,228264.801294914,180710.743667869,220348.60572166,0,3400735.1901561,1004551.94949703,237731.873087904,1328603.66805613,488850.595191435,2228211.05594123
"20",345078.189118169,522680.426331008,73632.1618828388,266089.332191826,31433.9766627136,6963136.75838211,872174.130679043,767075.388731115,2504927.26872233,1275813.14358721,2218119.46016901
"21",815011.220436496,887042.111483352,185546.765421906,210956.353616611,95924.1540290158,9038820.77060075,1226477.63015782,1738777.83769378,2559463.08732394,1716553.57087782,2220426.65833763
"22",1148362.20248603,1878594.96762548,215560.211960974,861701.236539237,154373.18967734,10371753.6294745,1226203.11196821,2313385.25451513,2865993.86634082,1092008.54346134,3119238.18265517
"23",869978.314973741,2441600.02444142,249849.359368724,1283591.23717676,1051660.5662446,9082453.9729203,2193305.63987383,3009480.04416414,2737602.30150741,796673.997974112,3541057.20473931
"24",2748756.56680715,1683109.02926682,441227.604467077,2149074.71117603,3054625.80400863,7393998.82942112,2675026.76785082,5087078.13169276,2198829.97196116,1598545.37727247,5698607.38089113
"25",2993614.18109491,2807039.48424297,1192232.21467667,3148936.47334661,4789134.46473231,6167686.97664311,7321869.93413796,8293811.02594512,3264539.2280724,2972219.22823042,6554403.05300911
"26",3947877.89238812,3220748.10048085,579379.535884627,2956325.05225562,5360557.7978092,3229849.10200589,8351657.7005671,7051164.2470007,5155253.12720438,4044268.92489587,7508859.45518582
"27",4871500.30900511,3512697.96265236,1691362.9447672,3863152.52212445,7508738.29337297,4361213.47302597,8438790.38311292,9078730.46401907,5911603.14782192,7073334.67914692,8135115.14354976
"28",5177440.42156278,3390288.41647349,3591433.36584095,5369870.34865207,7744869.25199458,4638358.4202041,7142858.07866372,10684381.58426,7098846.68288994,6141055.80900205,9804277.0454246
"29",5360172.80593241,5123650.75217125,4807687.21930822,5085234.90631198,5834393.79209084,8570529.86203638,7480381.81241869,9646587.31583135,5640977.47572165,6813442.78049426,12430062.6702277
"30",8472983.99082393,9893547.99847014,6946396.76109273,9513900.61933637,7405305.64433672,9430652.79596047,6569415.85398834,9506864.21050744,7278969.64310772,5676977.88953695,10973641.9507668
"31",9529161.94408311,8315671.48013635,6199766.09671466,8927306.30301085,7422802.49773181,6916397.88838458,4956408.46204445,6567927.82328015,4567653.8329251,3598969.69510343,8340536.93771245
"32",7682892.06228802,10037914.9967251,6763455.1223267,11959281.5896316,11277584.6564811,7236268.58923214,3551255.92821216,6286952.55124265,4361724.35107185,3297123.68814474,5734885.7774758
"33",7444993.46560622,7424044.48404531,3573953.52886394,8331873.46969594,8872875.28918679,4796188.66122916,4405111.38281884,5220098.9282121,2957698.56543805,2401310.54843996,5042865.88146311
"34",6074057.8296468,5759739.40505229,3322526.26918181,5735467.20472493,6212651.5457527,3487579.31242315,2926360.92598255,3433844.72571309,2188789.41032351,1461265.54701952,1293019.85159009
"35",3702587.60030462,5730450.89556975,2610463.9397439,4948539.71888793,4449306.45171702,2623968.57804642,2787285.7873638,1696566.21371364,1931904.98208785,621744.530745333,2986573.88937782
