"","length","day.night","expnumlen.rockhopper","expnumlen.chainsweep"
"1",30.5,"day",1,1
"2",34,"day",0,1
"3",34.5,"day",0,1
"4",36,"day",1,0
"5",39.5,"day",1,1
"6",41.5,"day",0,2
"7",42,"day",0,2
"8",42.5,"day",1,1
"9",43,"day",1,0
"10",43.5,"day",0,1
"11",44,"day",0,1
"12",45,"day",1,2
"13",45.5,"day",1,2
"14",46,"day",2,1
"15",46.5,"day",0,1
"16",47,"day",2,4
"17",47.5,"day",1,1
"18",48,"day",2,4
"19",48.5,"day",1,4
"20",49,"day",0,1
"21",49.5,"day",3,3
"22",50,"day",2,0
"23",50.5,"day",2,1
"24",51,"day",1,3
"25",51.5,"day",0,2
"26",52,"day",0,2
"27",52.5,"day",1,1
"28",53,"day",1,1
"29",53.5,"day",0,1
"30",54,"day",0,4
"31",54.5,"day",1,2
"32",55.5,"day",1,1
"33",56,"day",1,0
"34",56.5,"day",0,2
"35",57,"day",2,1
"36",57.5,"day",1,0
"37",58,"day",1,3
"38",58.5,"day",2,2
"39",59,"day",2,1
"40",59.5,"day",1,3
"41",60,"day",0,3
"42",60.5,"day",0,3
"43",61,"day",2,0
"44",62,"day",2,0
"45",63,"day",2,0
"46",63.5,"day",2,2
"47",64,"day",2,3
"48",65,"day",1,2
"49",65.5,"day",2,2
"50",66.5,"day",1,1
"51",67,"day",0,2
"52",68,"day",1,4
"53",68.5,"day",1,2
"54",70,"day",2,3
"55",70.5,"day",0,1
"56",71,"day",1,1
"57",72,"day",1,0
"58",73,"day",2,4
"59",73.5,"day",1,2
"60",74,"day",1,0
"61",75,"day",1,1
"62",75.5,"day",2,1
"63",76,"day",2,0
"64",76.5,"day",0,2
"65",77,"day",2,0
"66",77.5,"day",4,3
"67",78,"day",0,6
"68",78.5,"day",0,3
"69",79,"day",2,3
"70",79.5,"day",1,2
"71",80,"day",5,3
"72",80.5,"day",0,3
"73",81,"day",1,6
"74",81.5,"day",2,1
"75",82,"day",0,1
"76",82.5,"day",1,2
"77",83.5,"day",2,2
"78",84,"day",0,2
"79",84.5,"day",0,3
"80",85,"day",1,2
"81",86.5,"day",4,2
"82",87,"day",0,1
"83",88,"day",1,0
"84",88.5,"day",0,2
"85",89,"day",0,1
"86",89.5,"day",1,0
"87",90.5,"day",0,1
"88",91,"day",0,2
"89",91.5,"day",0,1
"90",93,"day",0,2
"91",94,"day",1,1
"92",95,"day",1,0
"93",96,"day",1,0
"94",97,"day",0,2
"95",101,"day",1,0
"96",36,"night",0,1
"97",37.5,"night",0,1
"98",38.5,"night",0,1
"99",39.5,"night",0,2
"100",40,"night",0,1
"101",40.5,"night",0,1
"102",43,"night",0,1
"103",43.5,"night",1,0
"104",44.5,"night",1,1
"105",45,"night",1,0
"106",46,"night",1,0
"107",46.5,"night",1,0
"108",47,"night",0,1
"109",47.5,"night",1,1
"110",48,"night",0,2
"111",49.5,"night",2,2
"112",50,"night",0,1
"113",50.5,"night",1,0
"114",51,"night",0,1
"115",51.5,"night",0,1
"116",52.5,"night",0,1
"117",54,"night",1,1
"118",54.5,"night",0,1
"119",55.5,"night",0,3
"120",56,"night",0,1
"121",56.5,"night",0,1
"122",58,"night",1,1
"123",59.5,"night",0,1
"124",62.5,"night",1,1
"125",63,"night",0,1
"126",63.5,"night",0,1
"127",66,"night",0,3
"128",66.5,"night",2,2
"129",67,"night",0,2
"130",67.5,"night",1,0
"131",68,"night",0,1
"132",68.5,"night",1,2
"133",69.5,"night",0,1
"134",70.5,"night",0,1
"135",71.5,"night",1,1
"136",73.5,"night",0,1
"137",74,"night",1,0
"138",74.5,"night",0,1
"139",76,"night",0,1
"140",77,"night",0,1
"141",78,"night",2,0
"142",80,"night",1,0
"143",81.5,"night",1,0
"144",82.5,"night",0,1
"145",83.5,"night",0,1
"146",84,"night",0,1
"147",85,"night",2,0
"148",88.5,"night",1,0
"149",91.5,"night",0,1
"150",95,"night",1,0
"151",98,"night",1,0
"152",100,"night",0,1
"153",101,"night",0,1
"154",102,"night",1,0
"155",106,"night",1,0
"156",115,"night",1,0
