"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"15",0,0,0,0,0,0,0,5371.12251729525,0,0,0
"16",0,0,0,0,0,0,0,25866.8377594287,0,101624.079446552,0
"17",0,0,0,69775.7643383173,0,0,0,169893.139286511,0,200898.292791788,20141.7094398572
"18",43274.1575541174,0,0,159656.616826601,0,14526.4449899576,0,405265.144897504,0,781418.980138362,44189.6898013836
"19",45898.6833296139,6599.36262235374,0,306385.918321803,0,20996.2062039723,6469.76121401473,677907.160391494,0,1280030.04909618,78723.566168266
"20",45263.9143048427,5478.71613931254,30688.6409283642,295535.553288488,0,14526.4449899576,24475.228743584,486578.359422323,0,1459083.7424682,73425.686230752
"21",165943.271591163,23035.5110402914,51269.8058469092,116255.15669334,0,168848.560589154,41443.0930595849,292574.460420187,0,1112004.5955941,190762.04291134
"22",86365.2086587815,26384.9988618256,38635.4608346351,177595.817260178,39734.0995313546,305091.966079,48156.996206204,157563.971689993,0,723673.309529123,300713.106130647
"23",109314.550323588,89402.6860915092,28198.3932158,159138.687155291,58838.2057576434,326143.976153282,41443.0930595849,15869.2256192814,0,409889.890649409,168850.304460101
"24",124024.101762999,40281.0152515365,124773.966270284,70239.6340102656,58215.6438295023,297011.74004527,132246.453278924,66821.6469538049,0,34820.7431376925,62292.8141039946
"25",38073.9343896452,55907.8078761666,65918.3218031689,46692.144610578,40649.6317786208,259158.405330443,102693.07233717,42236.554340549,0,160572.149073867,74079.6378359422
"26",113867.797366659,26384.9988618256,65460.5556795358,18310.6449453247,41382.0575764338,188051.195523958,45166.2575318009,90594.0957056779,0,71869.2814103994,358923.518347308
"27",237919.365097077,197071.90985659,125886.555934581,77863.8377913093,124256.036598973,177827.752096152,81452.724200593,109717.384512386,0,16296.474001339,158661.738451239
"28",559298.649854943,446266.332802185,128162.307520643,141192.511237925,86609.3505913858,462699.534542672,289365.737877387,157502.936206842,0,295784.05489846,497011.503331527
"29",852940.3592948,382949.806510357,104889.477795135,100420.808493002,175459.57534989,319254.813976472,182095.004303886,53222.9413077438,0,276197.768355278,437624.41419326
"30",1471480.04909618,332645.231049397,283858.593426212,269881.467784614,352915.882934294,468099.430930596,385301.310294258,61462.7315331399,0,424709.305958491,461965.364873912
"31",1543724.69872796,796802.551543039,612294.887939554,275845.506423949,329635.205789524,683211.143877323,266480.919437626,233129.387572927,0,57648.0138361973,455913.260751745
"32",2236172.25507699,714338.534925694,1168406.61363854,282289.109573756,189332.068734657,1019198.39959193,630283.788695125,254898.128606497,337026.894865526,329094.169828163,458338.113303791
"33",1129270.87982593,1131395.79525869,1654955.32725476,354781.82484777,433378.088436892,591221.951413906,825335.754136513,145266.62973826,0,169940.223802085,994042.625211209
"34",1588871.11972774,1313537.75893467,870435.744572321,192786.677081009,310060.254407498,837861.107214589,789058.006822457,147144.342780629,0,270755.583096885,632428.749960149
"35",1286635.61426021,1122072.63910117,1713701.1078522,659583.000446329,563671.406254981,1256083.21324959,1437865.19271846,253690.933943316,0,326516.72856824,658230.192559059
"36",1978694.06940415,1370924.64228806,1349197.20247394,725313.42015494,557902.68116173,1320895.92087225,1021025.97634457,460088.523767016,0,720916.685529378,691743.904421845
"37",1429545.62039723,720068.729472212,1122788.25756368,1245279.06079638,620221.653329933,1122687.54901648,833242.465010999,783639.799789588,0,511238.438486307,576944.879969395
"38",1037485.72026333,1119812.6686937,1391881.93164791,1033953.7276437,806767.016291006,1434977.34242994,1207175.48060063,593942.390091497,0,755593.123346192,582234.912487646
"39",1215391.94655211,875303.170628597,1272578.48853891,1034542.28408837,852587.225427997,931261.091274269,894011.135907163,1219546.93706762,0,486594.490228584,863865.710778844
"40",969479.984936398,446525.371126142,824086.270602863,1478102.83498581,945777.944974017,1073495.56540313,507442.03143431,861985.817897791,0,516645.310358019,785871.95460197
"41",1050867.74994421,671166.740918995,1197185.27991201,932301.746261995,785739.420409985,1293613.05990372,807436.662734721,392451.181177671,0,392667.857142857,578613.328498103
"42",1488501.31945994,537600.355272999,609774.994420888,774536.793445341,959197.467880256,1189746.3624191,1251276.23298371,692935.840214238,0,541513.346032454,457678.058150285
"43",1248337.37446998,235768.455497382,1018158.61653968,912385.868109797,989669.432843434,1403228.4279657,822129.647400134,531542.763891988,0,571754.248095132,799158.07138075
"44",575405.913858514,400760.303323469,839770.209934007,546057.437753053,920913.833009213,783000.671087448,1066524.4412918,647661.898651449,0,575739.865144897,478430.994357127
"45",819993.405489846,263523.133394036,816388.824242038,851864.826888131,900119.915835113,1162135.6537125,664327.637325852,670590.749832627,0,302813.598686518,146924.615041285
"46",840409.774603883,291351.631654255,520257.73902509,635378.071699557,603201.472885517,641490.775337138,274104.251283196,535515.30190965,0,98035.1930372685,332487.742691363
"47",959157.358848471,231277.864947481,623028.849587146,531530.120827621,357081.990627092,280475.483788695,677804.272005611,323332.420218701,0,147552.408582268,82275.831287659
"48",486748.822807409,281528.186888231,605561.802212516,462285.365192718,319989.855580706,83269.837727548,338051.126980585,255348.047310868,0,94296.7696942647,153076.991742915
"49",605249.213345235,369941.635637865,339484.588899161,449692.43711544,455717.511237925,233472.93014952,222308.668345714,145655.076991743,0,288653.366595467,28564.6061147065
