"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"15",0,0,0,0,0,0,0,291801.943590035,0,0,0
"16",0,0,0,0,0,0,0,1347865.27213839,0,4150055.6458396,0
"17",0,0,0,2144283.11317892,0,0,0,5220996.04456738,0,6477405.33003607,832824.27155048
"18",1113878.78836111,0,0,3700469.0782174,0,336689.211948827,0,9787391.41032851,0,18850224.3625285,1087576.78726864
"19",805045.783214331,174664.567009179,0,5431651.93423985,0,368265.624236343,113477.19816585,12313936.9742449,0,24459021.4043662,1505995.28418074
"20",753338.360718279,73045.5663212269,504339.457751235,4071970.30157954,0,193675.374657893,402942.956690672,6677717.55912017,0,20876945.7786039,1015404.12607288
"21",1691218.36142965,234767.453134454,581090.789166479,1251940.31433008,0,1720827.74571833,480941.401131252,2981785.85249939,0,12033062.6089932,2002732.23529563
"22",714882.626169822,290392.797772303,303017.304664241,1444534.37556815,338435.102388384,2492483.14061272,422769.286941883,1280846.45507662,0,5964480.18449525,2358488.10725803
"23",789506.154160022,564278.191919922,171533.66530708,1187986.13810357,465256.713237188,2070139.39423194,307094.326873144,96534.097358963,0,2523448.55401937,1062093.83865536
"24",623575.018733028,191767.42687758,648737.64966234,410115.031033102,277149.524446991,1465463.1526084,656951.575013792,340304.767473126,0,199936.318922219,330546.222309491
"25",170380.577130231,223341.531948048,248407.486554773,265512.411366256,185729.552829572,976616.004878077,413213.206776675,166423.020104281,0,624652.611988452,279162.69917584
"26",367228.566834267,90076.6060136463,198241.013814166,83675.8110663632,136987.420698151,569495.007530002,171967.323302812,288467.418556732,0,217649.224956811,1185063.2395733
"27",724947.823021804,579662.497119224,312241.038507857,193128.530633565,308196.801640167,465498.557692693,219737.004132915,276913.348862235,0,40420.7417417843,493742.22083594
"28",1230278.18087664,1173915.86568245,285413.287072564,327925.764467904,197953.964552478,1201686.57382267,718119.819037515,357692.40346887,0,614743.671872695,1032965.33893917
"29",1562174.905158,934985.215939286,191048.95570298,194446.885215191,326048.80003481,595129.780373073,334971.975373473,95193.8897268385,0,513840.088660449,984742.909342082
"30",2499283.88598781,642642.50685372,466925.149062494,484908.835043789,565470.329944842,805679.723357338,665274.380411801,97536.1281898397,0,716078.474260779,848014.562470012
"31",2404606.58122441,1387394.91233443,960925.70099596,492154.795314593,543141.61900273,1223203.20515609,428927.663334825,365410.046481989,0,91469.2228638798,786541.935483098
"32",3299502.27863245,1107174.3876147,1757048.81817865,440778.221882473,265290.687183324,1679918.45783607,952633.576708157,372071.09063665,463867.325932988,477406.232896777,647073.337351131
"33",1658788.52695837,1855037.20371813,2531092.2318785,552156.63157399,658955.516031977,892082.078805514,1285719.59592097,218069.391315357,0,236829.250668292,1527108.39294386
"34",2279912.73816052,1875759.78223227,1268583.95474823,286215.107922496,436588.318164468,1262340.86408989,1232585.94259524,214957.638657768,0,366971.933935564,897151.728125214
"35",1813027.92293627,1685142.90014265,2524538.52870401,987646.580856259,877284.297017812,1903233.1697828,2356637.89577713,371408.542439495,0,448087.884515842,962606.799803591
"36",2941093.10007714,2230164.3363268,1929240.70258698,1091616.45065875,789431.051238745,2126903.033904,1493747.90883135,751844.894283531,0,1105590.92389225,1040987.7906262
"37",2045063.19347968,1051914.72568815,1592905.37592656,1995530.07520682,961047.018051282,1882737.22588013,1404167.60852618,1177850.04729589,0,796251.492396048,942420.964807444
"38",1553764.27346893,1784341.37963321,2259845.27077678,1648092.01197046,1239345.52465187,2270004.97519986,2096053.92411034,954328.608784245,0,1115945.40390734,921627.330208324
"39",1924443.49245777,1477128.98326334,2062399.95413296,1775977.67141655,1397806.65731146,1459146.93846603,1515548.98490945,2169249.00330486,0,846142.659615901,1439517.34139528
"40",1528925.45626749,801736.998191848,1351398.71880261,2341696.31968298,1681893.05463851,1742774.84672564,988578.465980765,1398823.02443391,0,985281.882880916,1385095.66422809
"41",1621115.41725833,1159231.06152498,2174009.86168033,1621894.54250993,1346010.90030215,2312135.53698709,1577549.55817995,613080.152881742,0,691095.367984965,932388.010431432
"42",2383115.3339089,931226.132769542,1099525.17838932,1313225.98988006,1886184.99879853,2269821.67963923,2340334.13621511,1071559.18496408,0,1085408.6228646,768760.239861708
"43",1988743.09381927,468020.640415755,1893035.761569,1566267.24868545,1883325.961701,2777000.13340888,1611909.27421015,923375.031060367,0,1113405.08742352,1269914.43799229
"44",1016650.52717845,767656.672112151,1736512.41987272,972782.625983127,1745687.03258967,1519050.43274173,2214903.83938629,1111565.757733,0,1134538.08913774,856725.151389579
"45",1353919.728109,543283.266734913,1589558.62273308,1453712.33739869,1581317.76439085,2053224.89941697,1334554.40538701,1236642.59580753,0,520431.745609098,238743.445454138
"46",1417197.19958101,547207.478287705,1027136.92783351,1051037.03875677,1271462.115841,1130477.25011264,528403.618956791,1010884.16348007,0,162558.268206604,570974.570983569
"47",1484974.80301408,416907.450059682,1265199.45018503,885007.740415563,639945.998293893,491583.41146684,1349428.89342329,631449.846119323,0,268193.616214053,134191.637577883
"48",828116.143585547,473192.20702338,1214189.97455274,779191.525778994,586880.238602725,186815.72139084,694657.28850827,444230.858595919,0,163945.12157637,238168.884132541
"49",1006190.19862368,653798.430860059,692964.475812434,706331.589624598,861135.862550798,437645.786629668,435130.592332628,230927.842096945,0,527825.118543552,42598.2658836907
"50",803012.042879026,161959.617314378,1690323.52201906,993505.71751955,872119.660488389,468434.212333901,585163.826625008,677598.036764416,0,289268.842881776,371463.674892414
"51",278472.042370759,323905.614565382,807585.057523562,575383.734926147,410902.00054063,577691.508742913,48576.0771260513,621013.235830755,0,596488.586424467,117119.417754151
"52",515486.147542059,312090.601336558,1275551.54010861,129497.267653104,330959.333304607,428693.844425613,146386.147897743,630975.774060172,0,348601.867403149,0
"53",722808.847536092,209636.34895116,846790.134816353,310963.161186692,167237.581957898,529500.952893232,5283.93260853371,519385.452551005,0,30659.5928374194,21862.3563348731
"54",509627.274849922,176146.656656626,694907.016992081,224972.862475362,507349.067320462,303785.805609642,609099.793970422,76537.3276175924,0,115493.026192076,0
"55",319922.892762261,22191.7702552852,1056820.91804772,350474.777706639,20105.0059256009,423774.350012771,142390.516005364,129196.093722245,0,302883.179683123,221491.698369674
"56",320233.505366622,0,124970.182235246,183243.302497805,384227.735722133,483003.18988885,451185.572961419,12549.5482674148,0,74417.1914143063,180945.268334551
"57",414431.050762789,211665.743635231,238906.640056973,266251.905101537,85791.1006952877,187106.074779045,356009.822944987,221706.969700487,0,31049.1645582979,13717.538674002
"58",201339.50630493,225245.253987627,237199.564668054,30485.7774010421,95646.6670632861,256864.181887677,148368.498003825,292907.009824459,0,144062.495125202,125122.59864595
"59",454996.426831947,198018.683915192,368893.249304631,137658.488192775,212497.848965581,389011.028896362,124609.468562859,249036.116346944,0,72758.0322641422,38472.2412416488
"60",119743.781656855,128885.73489695,460101.965727385,256039.553943796,93014.6454312539,85489.5698839687,181355.902494688,175413.316584256,0,32466.3291033911,95418.9772369338
"61",7333.88847669507,114522.142659135,118446.02966403,33318.9917593397,107712.973042343,0,342203.872567402,85032.5502643538,0,0,0
"62",226344.625760081,117069.25523194,214242.059443053,188995.65298119,107925.812803183,26000.5243284059,330156.419630647,130741.272901359,0,204099.804534924,104593.018321087
"63",85833.1777791964,303814.219664066,190581.312940176,141709.12171383,210534.061143433,75665.0982782122,126160.014570176,156687.738636111,0,70854.5608569149,88570.2183407987
"64",224669.209595462,16000.0365127369,551247.840032387,82607.0615813851,206948.41662428,81757.7891941679,69959.9073201969,84749.3949550677,0,196601.973815104,0
"65",0,0,202662.548601647,0,122244.656942637,73517.7493075805,207767.146702553,0,0,103883.573351276,66717.8098207637
"66",69762.7999885388,0,407558.879380776,0,0,0,101889.719845194,130346.764355177,0,80576.5885400214,0
"67",83005.0984172492,81570.9159740875,11244.9257472854,77947.4956117567,106376.20044868,99613.1524299988,99613.1524299988,0,0,144016.271700885,0
"68",0,86221.773649392,405378.799035332,202653.546300523,0,0,194164.733818621,0,0,0,0
"69",0,0,467684.392275469,73811.0515990367,437888.118531131,66754.6055426159,94326.9758219708,0,0,174504.083938095,0
"70",133912.970685218,0,379086.154096431,0,0,0,112007.447030069,0,0,0,0
"71",0,0,88270.0735991226,0,115186.905862499,56690.2523013636,88270.0735991226,70862.8153767045,0,0,0
"72",0,0,85059.6316949602,0,0,0,82432.9545007006,0,0,100436.471440079,0
"73",0,0,0,0,0,0,0,0,0,52533.9955459295,0
"74",0,0,0,52044.4853964159,78533.9036799576,0,0,0,0,0,0
"75",0,0,0,0,75307.1225787093,49906.0947901661,0,0,0,75307.1225787093,3388.28063621364
"76",0,0,0,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0,0
