"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"15",0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0
"19",31597.6152606792,0,0,0,86885.7142857143,0,51071.4285714286,0,0,60809.5238095238,0
"20",0,85492.0634920635,0,0,75314.2857142857,0,57795.9183673469,0,37657.1428571429,127310.204081633,0
"21",158453.855153976,44952.380952381,57795.9183673469,0,86885.7142857143,0,203142.857142857,0,107448.979591837,0,49653.0612244898
"22",342121.415440092,117655.952380952,131146.93877551,0,295412.244897959,0,468020.408163265,0,99306.1224489796,381991.836734694,157734.693877551
"23",1052728.69920091,70204.0816326531,57795.9183673469,0,198820.408163265,51889.1962036107,226935.714285714,0,129453.06122449,223768.707482993,184181.632653061
"24",582168.765713341,405175.22675737,153248.979591837,0,288104.081632653,96672.2109610321,763257.142857143,0,249277.551020408,712992.517006803,775733.673469388
"25",1201175.15875639,628378.798185941,436387.755102041,177732.653061224,434887.074829932,185241.498853884,1197779.59183673,107448.979591837,342755.102040816,609910.884353741,735982.653061224
"26",830759.733050247,505224.829931973,518400,102142.857142857,208217.346938776,273154.109913426,2153916.32653061,151795.918367347,348092.857142857,467020.408163265,1020262.24489796
"27",1109151.98471306,1149657.99319728,1159402.04081633,255908.163265306,378629.591836735,241396.162881012,1900736.73469388,131767.346938776,266327.551020408,402502.380952381,1451742.06349206
"28",617770.709151214,1056201.8707483,1215263.26530612,395248.979591837,390753.287981859,290731.801976858,2293325.51020408,346863.265306122,276421.428571429,517307.823129252,1165358.16326531
"29",436558.077395215,1340814.62585034,1263142.40362812,757137.755102041,274402.267573696,293191.129309435,1733181.97278912,77500,317037.755102041,602091.156462585,822144.897959184
"30",335159.391561714,1190311.84807256,883554.081632653,653502.040816327,358023.469387755,427098.759434817,1412350,166663.265306122,401694.10430839,461131.632653061,962599.206349206
"31",314100.707764309,643170.238095238,1288439.11564626,374132.653061224,294224.716553288,72046.8297118609,1322475.85034014,408698.979591837,354004.081632653,367230.952380952,419574.489795918
"32",500365.327626858,1305653.51473923,1490975.96371882,956014.285714286,426419.727891156,359774.726055387,1027964.28571429,223195.918367347,398466.326530612,698119.727891156,577766.666666667
"33",585056.937071387,985410.260770975,2235991.26984127,1088448.97959184,381596.145124717,464148.09224313,1133625.51020408,251588.775510204,451740.816326531,523052.380952381,840577.551020408
"34",561904.303353065,1460118.48072562,2766567.68707483,1056878.57142857,706440.362811791,841603.395316488,1156324.82993197,653250.680272109,388746.145124717,840383.333333333,948288.775510204
"35",758272.899428713,996174.319727891,2035617.23356009,1932502.04081633,570903.741496599,670750.015335666,999528.571428571,182020.861678005,442861.224489796,462530.952380952,901599.433106576
