"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"15",0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0
"19",554210.384262291,0,0,0,1860118.02150122,0,895773.805076302,0,0,1066576.36278083,0
"20",0,1139832.04001725,0,0,1259676.46297839,0,1162772.35192467,0,502067.867013912,1697376.85237708,0
"21",1614889.63491057,458134.224591821,589029.717332341,0,1080836.95500522,0,2327902.79493627,0,1095071.13762527,0,506041.420292933
"22",2859206.53304197,1039565.18539247,1196813.18685065,0,2467236.87200474,0,4284491.46905082,0,778856.338479883,2995955.89830067,1698541.09231381
"23",6598520.15263584,427058.497617479,351578.391061831,0,1504982.04464326,315647.205375388,1834391.25335663,0,787476.006420695,1540152.70673701,1532525.25397773
"24",2892699.17111129,2237219.0045822,1009669.58917037,0,1741873.50368743,568745.15118441,3735785.09595955,0,1447105.62433607,3816061.15944416,4877974.03206842
"25",4526524.55245546,2784412.18418423,2152005.09961057,669770.109704579,1844925.04343776,908632.689515855,5246777.65891153,404912.173477088,1568113.77840326,2664439.38108193,3672668.92723253
"26",2548202.70193639,1642949.83981211,2145314.78323911,309329.845181954,817585.192090666,1054584.81591075,7034651.97444837,538420.184123041,1144358.95298053,1777294.69669369,3894248.93955021
"27",2885318.80444358,3375085.84577715,3745678.28458126,764382.534866831,1114922.64673491,810374.585415835,5203883.9140232,326827.379970337,697517.168045592,1055737.02134751,4811839.39625695
"28",1458556.94313886,2602330.62749442,3171158.93749817,1038732.78952607,874021.588563646,719920.815079286,5387547.87604973,857843.989559076,628949.462891321,1401925.3872511,3185387.95168226
"29",954627.420099966,2836879.9256865,2750669.7420842,1494438.05372247,543406.931625814,557191.879560039,3630455.71106086,138615.534439781,638885.601617469,1233763.82735621,1848086.22835736
"30",618698.601266698,2252232.69251486,1795705.36831022,1249733.38621614,621161.152467696,840888.547723396,2665399.73788896,305730.94296707,706391.139915191,881359.868746767,1903927.01917774
"31",577649.235373472,1170214.23257457,2315390.98807838,620500.932887201,493084.875776679,158257.385221312,2337394.78434565,670818.527526053,610571.091695543,579625.918916421,792016.777857632
"32",838954.143548016,2116361.55733104,2537927.69541393,1495661.71371229,718222.655883622,569034.5059655,1788522.61856595,357213.803695994,644196.334463485,1192299.69993195,947942.052603548
"33",870767.842183398,1702525.42297005,3615503.65398513,1635087.44627657,568396.411023857,770522.169133778,1820562.91864738,398792.041701859,632415.349336292,792179.781712552,1446927.9113063
"34",880466.096330558,2330102.38568062,4398897.53699438,1429789.54232535,1171126.92130694,1359604.36355656,1943967.16004021,1031605.32312403,561985.687836176,1399308.3489652,1452552.10885046
