"","length","day.night","expnumlen.rockhopper","expnumlen.chainsweep"
"1",25.5,"day",0,1
"2",26,"day",0,1
"3",26.5,"day",1,4
"4",27,"day",0,2
"5",27.5,"day",3,3
"6",28,"day",1,2
"7",28.5,"day",0,7
"8",29,"day",1,6
"9",29.5,"day",5,5
"10",30,"day",5,4
"11",30.5,"day",5,5
"12",31,"day",4,8
"13",31.5,"day",6,5
"14",32,"day",5,16
"15",32.5,"day",5,9
"16",33,"day",5,17
"17",33.5,"day",3,7
"18",34,"day",5,14
"19",34.5,"day",6,15
"20",35,"day",2,14
"21",35.5,"day",7,13
"22",36,"day",8,13
"23",36.5,"day",6,10
"24",37,"day",14,25
"25",37.5,"day",10,13
"26",38,"day",10,21
"27",38.5,"day",9,17
"28",39,"day",17,34
"29",39.5,"day",7,16
"30",40,"day",18,30
"31",40.5,"day",11,13
"32",41,"day",14,30
"33",41.5,"day",8,5
"34",42,"day",21,47
"35",42.5,"day",4,7
"36",43,"day",21,45
"37",43.5,"day",7,6
"38",44,"day",23,49
"39",44.5,"day",4,12
"40",45,"day",18,48
"41",45.5,"day",3,3
"42",46,"day",15,37
"43",46.5,"day",2,7
"44",47,"day",11,42
"45",47.5,"day",5,6
"46",48,"day",12,43
"47",48.5,"day",4,8
"48",49,"day",16,33
"49",49.5,"day",2,4
"50",50,"day",13,38
"51",50.5,"day",1,5
"52",51,"day",23,31
"53",51.5,"day",1,1
"54",52,"day",17,36
"55",52.5,"day",0,4
"56",53,"day",16,48
"57",53.5,"day",4,3
"58",54,"day",11,25
"59",54.5,"day",4,1
"60",55,"day",9,20
"61",55.5,"day",3,1
"62",56,"day",9,19
"63",56.5,"day",1,3
"64",57,"day",11,17
"65",57.5,"day",3,5
"66",58,"day",6,23
"67",58.5,"day",2,2
"68",59,"day",8,20
"69",59.5,"day",1,2
"70",60,"day",6,19
"71",60.5,"day",4,3
"72",61,"day",12,9
"73",61.5,"day",1,2
"74",62,"day",5,8
"75",62.5,"day",1,1
"76",63,"day",0,10
"77",63.5,"day",1,2
"78",64,"day",2,2
"79",64.5,"day",0,1
"80",65,"day",6,11
"81",66,"day",4,5
"82",66.5,"day",1,3
"83",67,"day",4,7
"84",67.5,"day",0,2
"85",68,"day",4,5
"86",69,"day",2,6
"87",70,"day",3,1
"88",71,"day",0,2
"89",71.5,"day",0,1
"90",72,"day",1,5
"91",72.5,"day",1,0
"92",73,"day",3,1
"93",73.5,"day",0,1
"94",74,"day",0,1
"95",74.5,"day",1,0
"96",76,"day",0,1
"97",77,"day",1,0
"98",15,"night",0,1
"99",15.5,"night",0,1
"100",17,"night",0,2
"101",18,"night",0,1
"102",18.5,"night",0,4
"103",19,"night",0,2
"104",19.5,"night",0,2
"105",20,"night",0,5
"106",20.5,"night",0,4
"107",21,"night",0,5
"108",21.5,"night",0,5
"109",22,"night",0,3
"110",22.5,"night",0,5
"111",23.5,"night",0,3
"112",24,"night",0,1
"113",24.5,"night",1,4
"114",25,"night",0,3
"115",25.5,"night",1,3
"116",26,"night",3,4
"117",26.5,"night",1,5
"118",27,"night",2,4
"119",27.5,"night",6,10
"120",28,"night",5,19
"121",28.5,"night",16,19
"122",29,"night",13,19
"123",29.5,"night",14,21
"124",30,"night",13,14
"125",30.5,"night",13,22
"126",31,"night",10,18
"127",31.5,"night",16,26
"128",32,"night",13,16
"129",32.5,"night",15,19
"130",33,"night",30,32
"131",33.5,"night",26,33
"132",34,"night",21,24
"133",34.5,"night",18,21
"134",35,"night",24,31
"135",35.5,"night",16,23
"136",36,"night",13,23
"137",36.5,"night",16,32
"138",37,"night",20,40
"139",37.5,"night",25,23
"140",38,"night",27,28
"141",38.5,"night",15,26
"142",39,"night",28,33
"143",39.5,"night",14,32
"144",40,"night",28,37
"145",40.5,"night",20,24
"146",41,"night",16,31
"147",41.5,"night",9,22
"148",42,"night",16,21
"149",42.5,"night",9,17
"150",43,"night",26,45
"151",43.5,"night",14,17
"152",44,"night",24,37
"153",44.5,"night",8,11
"154",45,"night",28,47
"155",45.5,"night",5,13
"156",46,"night",22,37
"157",46.5,"night",11,12
"158",47,"night",26,35
"159",47.5,"night",4,4
"160",48,"night",23,34
"161",48.5,"night",12,10
"162",49,"night",19,29
"163",49.5,"night",5,9
"164",50,"night",16,29
"165",50.5,"night",3,5
"166",51,"night",22,15
"167",51.5,"night",3,5
"168",52,"night",12,16
"169",52.5,"night",1,2
"170",53,"night",13,9
"171",53.5,"night",2,7
"172",54,"night",11,16
"173",54.5,"night",2,1
"174",55,"night",9,15
"175",55.5,"night",3,2
"176",56,"night",7,16
"177",56.5,"night",1,2
"178",57,"night",10,15
"179",57.5,"night",1,3
"180",58,"night",6,9
"181",58.5,"night",2,1
"182",59,"night",11,8
"183",60,"night",10,9
"184",60.5,"night",3,1
"185",61,"night",10,7
"186",61.5,"night",1,3
"187",62,"night",4,13
"188",62.5,"night",1,1
"189",63,"night",3,11
"190",63.5,"night",2,0
"191",64,"night",6,6
"192",64.5,"night",1,0
"193",65,"night",5,9
"194",65.5,"night",2,3
"195",66,"night",0,4
"196",66.5,"night",2,0
"197",67,"night",3,1
"198",67.5,"night",1,0
"199",68,"night",3,1
"200",68.5,"night",1,0
"201",69,"night",1,4
"202",70,"night",2,1
"203",70.5,"night",0,1
"204",71,"night",1,1
"205",72,"night",1,1
"206",73,"night",1,1
"207",74,"night",2,2
"208",74.5,"night",1,1
"209",75,"night",0,1
"210",75.5,"night",1,0
