"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,45428.5714285714,0,0,0,15142.8571428571,0,0,0,0,0
"8",0,499714.285714286,77402.5974025974,0,68979.5918367347,45428.5714285714,0,0,0,0,0
"9",0,1514285.71428571,116103.896103896,0,180000,90857.1428571429,60816.3265306122,0,0,0,0
"10",74579.5918367347,1014571.42857143,338638.961038961,18571.4285714286,308571.428571429,181714.285714286,60816.3265306122,0,42571.4285714286,35476.1904761905,0
"11",135151.020408163,595171.428571429,66171.4285714286,18571.4285714286,435959.183673469,212000,88673.4693877551,15142.8571428571,0,35476.1904761905,15142.8571428571
"12",145314.285714286,166571.428571429,103314.285714286,0,141428.571428571,15142.8571428571,121632.653061224,0,98000,35476.1904761905,39333.3333333333
"13",164142.857142857,30285.7142857143,37142.8571428571,0,95765.306122449,0,30408.1632653061,0,0,54047.619047619,52047.619047619
"14",115028.571428571,0,150914.285714286,0,77142.8571428571,0,0,0,85142.8571428571,35476.1904761905,39333.3333333333
"15",201028.571428571,0,47600,0,0,0,0,0,42571.4285714286,0,54476.1904761905
"16",199771.428571429,0,37142.8571428571,0,0,122904.761904762,0,0,42571.4285714286,0,86000
"17",169485.714285714,0,66171.4285714286,18571.4285714286,41785.7142857143,0,0,0,0,55714.2857142857,55714.2857142857
"18",198514.285714286,0,76628.5714285714,0,13928.5714285714,0,0,0,0,37142.8571428571,24190.4761904762
"19",27857.1428571429,18571.4285714286,74285.7142857143,37142.8571428571,0,27857.1428571429,0,0,27857.1428571429,92857.1428571428,118457.142857143
"20",0,0,0,0,0,111428.571428571,0,0,55714.2857142857,0,43000
"21",0,18571.4285714286,0,0,13928.5714285714,0,0,0,0,0,0
"22",27857.1428571429,0,61166.6666666667,37142.8571428571,0,0,0,0,27857.1428571429,0,27857.1428571429
"23",0,0,29028.5714285714,18571.4285714286,13928.5714285714,0,0,0,0,0,0
"24",0,0,90987.012987013,0,0,0,0,0,0,0,0
"25",27857.1428571429,0,98015.5844155844,0,0,15142.8571428571,0,0,0,0,0
"26",0,0,191402.597402597,0,0,15142.8571428571,0,0,0,0,0
"27",15142.8571428571,0,271885.714285714,0,0,0,0,0,0,0,15142.8571428571
"28",196171.428571429,0,367418.181818182,0,0,30285.7142857143,0,15142.8571428571,0,0,0
"29",309942.857142857,29028.5714285714,275467.965367965,0,0,50028.5714285714,89765.306122449,0,0,74238.0952380952,15142.8571428571
"30",394685.714285714,84742.8571428571,570618.181818182,0,0,136285.714285714,174795.918367347,0,12857.1428571429,105838.095238095,34885.7142857143
"31",422542.857142857,137028.571428571,561075.324675325,30285.7142857143,0,130342.857142857,177224.489795918,0,0,177380.952380952,15142.8571428571
"32",564171.428571429,66171.4285714286,485220.779220779,15142.8571428571,0,143838.095238095,282255.102040816,30285.7142857143,42571.4285714286,162095.238095238,15142.8571428571
"33",826600,165476.19047619,287028.571428571,15142.8571428571,30408.1632653061,61017.8571428571,161959.183673469,0,42571.4285714286,230247.619047619,80314.2857142857
"34",769714.285714286,200857.142857143,330415.584415584,0,30408.1632653061,65171.4285714286,250732.653061224,15142.8571428571,0,323057.142857143,115200
"35",1001942.85714286,271714.285714286,219428.571428571,54476.1904761905,91224.4897959184,65171.4285714286,217508.163265306,29071.4285714286,128750,301790.476190476,115200
"36",1241616.32653061,349428.571428571,210285.714285714,24190.4761904762,91224.4897959184,15142.8571428571,262354.591836735,0,85142.8571428571,301200,65171.4285714286
