"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,75613.4465944066,0,0,0,25204.4821981355,0,0,0,0,0
"8",0,831747.912538473,128832.516210024,0,114812.870390429,75613.4465944066,0,0,0,0,0
"9",0,2520448.21981355,193248.774315036,0,299600.44877029,151226.893188813,101225.548450733,0,0,0,0
"10",124133.77324106,1688700.30727508,563646.581657653,30911.1574128077,513600.769320498,302453.786377626,101225.548450733,0,70857.8839155131,59048.2365962609,0
"11",224951.702033602,990631.261640305,110138.831643173,30911.1574128077,725630.928189449,352862.750773898,147592.284569945,25204.4821981355,0,59048.2365962609,25204.4821981355
"12",241867.917848523,277249.304179491,171961.146468789,0,235400.352605228,25204.4821981355,202451.096901466,0,163115.799886047,59048.2365962609,65468.2462127671
"13",273207.075902431,50408.9643962711,61822.3148256155,0,159396.270505055,0,50612.7742253665,0,0,89959.3940090687,86630.5001338432
"14",191458.953452252,0,251188.820699155,0,128400.192330124,0,0,0,141715.767831026,59048.2365962609,65468.2462127671
"15",334601.390086946,0,79227.6742303657,0,0,0,0,0,70857.8839155131,0,90672.7284109027
"16",332508.942508233,0,61822.3148256155,0,0,204568.454570402,0,0,70857.8839155131,0,143142.436634694
"17",282099.978111962,0,110138.831643173,30911.1574128077,69550.1041788174,0,0,0,0,92733.4722384232,92733.4722384232
"18",330416.49492952,0,127544.191047924,0,23183.3680596058,0,0,0,0,61822.3148256155,40263.7640146316
"19",46366.7361192116,30911.1574128077,123644.629651231,61822.3148256155,0,46366.7361192116,0,0,46366.7361192116,154555.787064039,197165.628666924
"20",0,0,0,0,0,185466.944476846,0,0,92733.4722384232,0,71571.2183173471
"21",0,30911.1574128077,0,0,23183.3680596058,0,0,0,0,0,0
"22",46366.7361192116,0,101808.671017312,61822.3148256155,0,0,0,0,46366.7361192116,0,46366.7361192116
"23",0,0,48316.5168175579,30911.1574128077,23183.3680596058,0,0,0,0,0,0
"24",0,0,151443.055128763,0,0,0,0,0,0,0,0
"25",46366.7361192116,0,163141.739318841,0,0,25204.4821981355,0,0,0,0,0
"26",0,0,318579.467097874,0,0,25204.4821981355,0,0,0,0,0
"27",25204.4821981355,0,452539.344523505,0,0,0,0,0,0,0,25204.4821981355
"28",326516.933532828,0,611548.067550508,0,0,50408.9643962711,0,25204.4821981355,0,0,0
"29",515883.439406367,48316.5168175579,458501.811367118,0,0,83269.9025074251,149409.588879379,0,0,123565.370273249,25204.4821981355
"30",656933.428462348,141049.989055981,949763.685273413,0,0,226840.33978322,290938.531033734,0,21400.0320550207,176161.893501811,58065.4203092896
"31",703300.164581559,228076.786079732,933880.105925909,50408.9643962711,0,216948.769411121,294980.759310794,0,0,295241.182981305,25204.4821981355
"32",939033.40657431,110138.831643173,807624.240040086,25204.4821981355,0,239410.877131095,469798.640217404,50408.9643962711,70857.8839155131,269798.922649224,25204.4821981355
"33",1375831.83863068,275426.338485915,477743.826721641,25204.4821981355,50612.7742253665,101560.985461119,269572.467283563,0,70857.8839155131,383234.944416431,133678.866903696
"34",1281148.58569391,334316.056326213,549959.207620038,0,50612.7742253665,108474.384705561,417331.196547269,25204.4821981355,0,537711.472102488,191744.287212986
"35",1667680.72023437,452254.010762772,365227.213739021,90672.7284109027,151838.3226761,108474.384705561,362030.796252707,48387.8502577413,214297.543217638,502314.233895924,191744.287212986
"36",2066604.49238384,581605.315628675,350009.413166561,40263.7640146316,151838.3226761,25204.4821981355,436675.296951289,0,141715.767831026,501331.417608952,108474.384705561
