"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,27857.1428571429,0,0,0,0,0,0,0,0
"5",0,0,27857.1428571429,38952.380952381,0,0,0,30408.1632653061,0,0,87642.8571428571
"6",0,0,0,0,0,0,0,0,38952.380952381,0,160535.714285714
"7",0,0,0,0,0,0,0,13928.5714285714,0,0,0
"8",0,0,0,0,0,0,0,13928.5714285714,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0
"12",43607.1428571429,0,0,0,0,0,0,0,0,0,0
"13",0,0,45428.5714285714,0,0,0,0,0,0,0,0
"14",18571.4285714286,0,96047.6190476191,0,0,0,0,0,30408.1632653061,0,15142.8571428571
"15",0,15142.8571428571,80904.7619047619,0,0,18571.4285714286,0,0,0,0,60816.3265306122
"16",16126.9841269841,30285.7142857143,182083.333333333,0,0,87214.2857142857,0,0,30408.1632653061,0,15142.8571428571
"17",50825.3968253968,43000,104392.857142857,0,0,18571.4285714286,30408.1632653061,0,0,53844.1558441558,135438.775510204
"18",99804.9886621315,90600,161750,0,0,166511.904761905,13928.5714285714,0,30408.1632653061,15142.8571428571,121632.653061224
"19",240058.9569161,15142.8571428571,60571.4285714286,38952.380952381,0,79083.3333333333,30408.1632653061,0,30408.1632653061,15142.8571428571,29071.4285714286
"20",367614.512471655,60142.8571428571,35476.1904761905,27857.1428571429,0,43821.4285714286,0,15142.8571428571,30408.1632653061,27857.1428571429,74622.4489795918
"21",432122.448979592,75285.7142857143,0,24190.4761904762,0,18571.4285714286,13928.5714285714,0,91224.4897959184,122831.168831169,239063.775510204
"22",628090.702947846,156065.476190476,0,52047.619047619,0,71761.9047619048,13928.5714285714,0,30408.1632653061,15142.8571428571,60816.3265306122
"23",614408.163265306,55714.2857142857,0,0,0,80750,29071.4285714286,15142.8571428571,74744.8979591837,53844.1558441558,104140.306122449
"24",758414.682539683,27857.1428571429,43821.4285714286,52047.619047619,0,18571.4285714286,0,0,0,45428.5714285714,225852.040816327
"25",1129995.46485261,125779.761904762,0,27857.1428571429,13928.5714285714,18571.4285714286,13928.5714285714,0,24190.4761904762,178545.454545455,106892.857142857
"26",616192.46031746,117485.714285714,15142.8571428571,38952.380952381,13928.5714285714,43607.1428571429,33914.2857142857,27857.1428571429,41785.7142857143,186961.038961039,15142.8571428571
"27",708249.433106576,152371.428571429,0,0,38153.0612244898,18571.4285714286,13928.5714285714,15142.8571428571,0,113114.285714286,15142.8571428571
"28",545971.088435374,27857.1428571429,15142.8571428571,63476.1904761905,0,55714.2857142857,53261.9047619048,0,90166.6666666667,55714.2857142857,15142.8571428571
"29",297619.047619048,177827.380952381,87642.8571428571,30285.7142857143,74428.5714285714,141690.476190476,81119.0476190476,27857.1428571429,27857.1428571429,97971.4285714286,15142.8571428571
"30",296158.73015873,0,15142.8571428571,164761.904761905,24224.4897959184,43821.4285714286,112042.857142857,56928.5714285714,13928.5714285714,27857.1428571429,0
