"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,46366.7361192116,0,0,0,0,0,0,0,0
"5",0,0,46366.7361192116,64834.1711889147,0,0,0,50612.7742253665,0,0,145876.885175058
"6",0,0,0,0,0,0,0,0,64834.1711889147,0,267203.178020328
"7",0,0,0,0,0,0,0,23183.3680596058,0,0,0
"8",0,0,0,0,0,0,0,23183.3680596058,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0
"12",72581.775386612,0,0,0,0,0,0,0,0,0,0
"13",0,0,75613.4465944066,0,0,0,0,0,0,0,0
"14",30911.1574128077,0,159866.165388803,0,0,0,0,0,50612.7742253665,0,25204.4821981355
"15",0,25204.4821981355,134661.683190668,0,0,30911.1574128077,0,0,0,0,101225.548450733
"16",26842.5093430877,50408.9643962711,303068.046556984,0,0,145163.550773224,0,0,50612.7742253665,0,25204.4821981355
"17",84596.1760989832,71571.2183173471,173756.371380071,0,0,30911.1574128077,50612.7742253665,0,0,89620.7403031475,225430.655131976
"18",166120.107737157,150798.892547713,269224.292158858,0,0,277150.229957014,23183.3680596058,0,50612.7742253665,25204.4821981355,202451.096901466
"19",399565.395685507,25204.4821981355,100817.928792542,64834.1711889147,0,131630.011982873,50612.7742253665,0,50612.7742253665,25204.4821981355,48387.8502577413
"20",611874.849505441,100104.594390708,59048.2365962609,46366.7361192116,0,72938.442587529,0,25204.4821981355,50612.7742253665,46366.7361192116,124205.106681243
"21",719244.886877792,125309.076588844,0,40263.7640146316,0,30911.1574128077,23183.3680596058,0,151838.3226761,204445.96280443,397908.969042095
"22",1045423.64706457,259762.70391231,0,86630.5001338432,0,119443.882618208,23183.3680596058,0,50612.7742253665,25204.4821981355,101225.548450733
"23",1022649.7857912,92733.4722384232,0,0,0,134404.090212227,48387.8502577413,25204.4821981355,124408.916510339,89620.7403031475,173336.013607562
"24",1262340.9957937,46366.7361192116,72938.442587529,86630.5001338432,0,30911.1574128077,0,0,0,75613.4465944066,375918.737690319
"25",1880817.49099019,209353.739516039,0,46366.7361192116,23183.3680596058,30911.1574128077,23183.3680596058,0,40263.7640146316,297179.435042854,177917.488724103
"26",1025619.65355545,195548.737356101,25204.4821981355,64834.1711889147,23183.3680596058,72581.775386612,56448.5289984658,46366.7361192116,69550.1041788174,311186.728751595,25204.4821981355
"27",1178843.60000019,253614.15766539,0,0,63503.7459156528,30911.1574128077,23183.3680596058,25204.4821981355,0,188272.726457394,25204.4821981355
"28",908739.906171344,46366.7361192116,25204.4821981355,105652.750849417,0,92733.4722384232,88651.6142723729,0,150077.632208081,92733.4722384232,25204.4821981355
"29",495371.112384739,295984.239649882,145876.885175058,50408.9643962711,123882.407785176,235836.279184127,135018.350391585,46366.7361192116,46366.7361192116,163068.244259258,25204.4821981355
"30",492940.491459972,0,25204.4821981355,274237.447816192,40320.377856047,72938.442587529,186489.390452809,94754.5863769529,23183.3680596058,46366.7361192116,0
"31",195932.484844495,0,65468.2462127671,25204.4821981355,0,30911.1574128077,218101.993360753,23183.3680596058,115005.357451241,64416.2581050119,0
"32",334213.679629653,25204.4821981355,321664.278115907,183564.719405289,82231.6046558667,160856.907613573,185427.314787856,124744.353520725,46366.7361192116,64416.2581050119,65468.2462127671
"33",30911.1574128077,25204.4821981355,217566.992559378,214555.136196078,312963.579897981,89959.3940090687,246185.289394862,25204.4821981355,46366.7361192116,0,199079.742645179
"34",406399.158126358,76356.5032629837,189984.729021795,471239.273768621,149086.889983311,30911.1574128077,335784.336303321,90038.6533870502,46366.7361192116,50408.9643962711,50408.9643962711
"35",253686.15160039,229069.509788951,441712.513491224,311806.39297945,185070.647586939,25204.4821981355,184000.645984188,96979.5103445781,23183.3680596058,0,159634.048639
"36",208240.805750214,254273.991987087,253342.694295803,479535.088664024,217931.585698093,0,252224.853997056,518924.734967202,129668.342377829,0,50408.9643962711
"37",300974.277988637,264516.285106754,92733.4722384232,267500.400687759,501125.3432262,0,153224.229513948,198265.352536419,0,0,653647.844175805
"38",214535.321351583,305426.013051935,344619.775463815,777009.404619959,218914.401985064,72581.775386612,48387.8502577413,387244.336665469,200500.183926291,116701.508140046,632150.153244343
"39",465149.228491164,257242.255692496,331492.44098562,364529.731212783,773617.103242348,98142.9247856646,120400.656538129,526607.233247271,309949.458981025,46604.5142531563,860009.54217304
"40",244907.231924909,487044.914727777,177303.228544746,319462.848892469,763077.587455251,0,99000.6244831079,596086.003985905,357665.86907958,100817.928792542,1113073.41329987
"41",307057.435248722,710417.373655096,295320.442359286,564300.351436035,536150.062356251,233438.683000185,56448.5289984658,596432.480695368,222508.248638114,414520.782525151,1112869.60347078
"42",273387.768412949,905251.07819412,80527.5280292632,352012.033450229,737240.162510091,205658.271017648,152173.759686486,621769.439282415,238346.536912485,140029.704699419,1239838.88095913
"43",387844.915166484,1354162.04162131,245188.885785951,351087.340707111,898183.123162615,420451.185347671,48387.8502577413,1023640.52801597,309016.462874499,128832.516210024,1488656.7139798
"44",592322.31580861,453353.734632266,101927.560084284,242612.95600155,963904.999384923,373073.892159195,101560.985461119,751976.179292105,534047.424286083,25204.4821981355,1052519.24852196
"45",183084.917099293,457599.772738421,59048.2365962609,149086.889983311,882963.341105706,528224.124558095,72012.8062803872,1022017.975321,424959.34553958,141905.990338182,829047.432302958
"46",130094.36153448,289693.026522596,84252.7187943965,242295.918489624,1542959.29531942,749179.455526184,81653.0111966014,1314843.1626199,295728.062017477,138101.540195067,604270.66703933
"47",101560.985461119,130094.36153448,25204.4821981355,25204.4821981355,2198684.86747517,420451.185347671,137183.829825724,748270.803371467,425396.404395306,412644.496886388,632150.153244343
"48",25204.4821981355,154591.45378413,40263.7640146316,90672.7284109027,1148785.42446471,288464.506163881,62020.4632705694,873959.192697794,703745.149375084,376470.516775605,733783.321353267
"49",75613.4465944066,377621.398970887,135404.739859245,256430.507563002,1409834.11178477,761900.585692225,35032.6450678488,805951.249559132,377100.268560658,116701.508140046,278268.353324968
"50",227451.769270506,293712.892332296,130857.233047553,258411.992012541,1818733.24279163,988562.591874986,99000.6244831079,537663.067268078,486059.267748735,450922.453212681,1323347.41080812
