"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"6",0,0,58428.5714285714,87214.2857142857,0,0,0,0,0,0,0
"7",0,0,38701.2987012987,227690.476190476,0,0,0,77904.7619047619,0,0,0
"8",0,58964.2857142857,135831.168831169,218678.571428571,0,0,30408.1632653061,0,0,34885.7142857143,34885.7142857143
"9",0,131464.285714286,58428.5714285714,321071.428571429,0,0,0,29071.4285714286,0,0,135065.306122449
"10",0,43821.4285714286,0,43821.4285714286,0,0,0,38952.380952381,0,0,69771.4285714286
"11",0,34885.7142857143,0,262928.571428571,0,0,0,0,0,0,34885.7142857143
"12",0,43821.4285714286,0,87642.8571428571,0,0,0,0,0,24190.4761904762,69771.4285714286
"13",0,87642.8571428571,0,87642.8571428571,0,0,0,0,0,34885.7142857143,34885.7142857143
"14",0,34885.7142857143,38701.2987012987,0,0,0,0,0,0,0,0
"15",34885.7142857143,0,77402.5974025974,0,0,0,0,0,0,0,0
"16",0,0,77402.5974025974,0,0,0,0,0,0,0,0
"17",104657.142857143,0,77402.5974025974,0,0,0,0,29071.4285714286,0,0,34885.7142857143
"18",104657.142857143,0,232207.792207792,0,0,0,0,0,0,0,34885.7142857143
"19",78707.1428571429,0,193506.493506493,0,0,0,0,0,0,0,139542.857142857
"20",139542.857142857,34885.7142857143,155558.441558442,0,0,24190.4761904762,0,0,0,0,418628.571428571
"21",139542.857142857,0,310502.597402597,0,0,0,0,106976.19047619,0,0,209314.285714286
"22",279085.714285714,0,87214.2857142857,0,0,0,58142.8571428571,29071.4285714286,0,24190.4761904762,209314.285714286
"23",236121.428571429,0,213987.012987013,120390.10989011,0,0,29071.4285714286,116857.142857143,0,0,279085.714285714
"24",253135.714285714,43821.4285714286,316022.727272727,87642.8571428571,0,0,29071.4285714286,223833.333333333,0,34885.7142857143,309493.87755102
"25",113592.857142857,122528.571428571,237866.883116883,189569.047619048,58142.8571428571,24190.4761904762,0,145928.571428571,0,104657.142857143,209314.285714286
"26",183364.285714286,34885.7142857143,237866.883116883,43821.4285714286,0,0,77904.7619047619,262785.714285714,0,104657.142857143,50028.5714285714
"27",34885.7142857143,34885.7142857143,493850.649350649,306750,141047.619047619,24190.4761904762,87085.7142857143,116857.142857143,0,69771.4285714286,139542.857142857
"28",0,69771.4285714286,785136.363636364,228226.19047619,29071.4285714286,38952.380952381,29028.5714285714,155809.523809524,43607.1428571429,139542.857142857,174428.571428571
"29",419485.714285714,282164.285714286,557081.168831169,340059.523809524,38952.380952381,0,91971.4285714286,0,43607.1428571429,244200,34885.7142857143
"30",418628.571428571,514535.714285714,567239.61038961,742821.428571429,77904.7619047619,0,97095.2380952381,38952.380952381,43607.1428571429,279085.714285714,34885.7142857143
"31",578564.285714286,430385.714285714,295438.311688312,461011.904761905,102095.238095238,30408.1632653061,266928.571428571,0,43607.1428571429,0,0
"32",1493814.28571429,395500,266652.597402597,940583.333333333,228380.952380952,65293.8775510204,379642.857142857,0,174428.571428571,34885.7142857143,198619.047619048
"33",1317785.71428571,606921.428571429,523736.363636364,803209.157509157,262785.714285714,0,262214.285714286,24190.4761904762,130821.428571429,59076.1904761905,333684.353741497
"34",1693093.87755102,420478.571428571,474980.519480519,915685.347985348,282979.591836735,34885.7142857143,301123.80952381,63142.8571428571,43607.1428571429,128847.619047619,755819.047619048
"35",1760622.44897959,703914.285714286,856751.298701299,686211.538461538,360000,30408.1632653061,330809.523809524,0,104028.571428571,253695.238095238,582361.904761905
"36",1636818.36734694,398428.571428571,754321.500721501,933111.172161172,486961.904761905,38952.380952381,690690.476190476,339333.333333333,42571.4285714286,163733.333333333,547476.19047619
"37",1461886.73469388,587535.714285714,769790.25974026,1001908.79120879,462979.591836735,34885.7142857143,768595.238095238,179547.619047619,77521.4285714286,163733.333333333,1116342.85714286
"38",1583637.75510204,563828.571428571,1052252.81385281,1263533.88278388,639768.707482993,142227.210884354,1046298.63945578,263666.666666667,0,153038.095238095,741617.68707483
"39",2049239.79591837,594742.857142857,1566912.77056277,1160167.94871795,258285.714285714,241608.163265306,1651336.73469388,247571.428571429,130821.428571429,190723.80952381,454555.782312925
"40",1855767.34693878,646442.857142857,1861493.72294372,1536606.22710623,428908.163265306,247444.897959184,1898236.73469388,234146.258503401,113721.428571429,83266.6666666667,247000
"41",1179077.55102041,474352.380952381,1269902.81385281,1126680.4029304,388285.714285714,118152.380952381,1104708.84353741,311547.619047619,0,150219.047619048,209376.870748299
"42",1523835.71428571,324828.571428571,1330240.33189033,1160612.08791209,774979.591836735,124370.068027211,1247884.3537415,277476.19047619,113721.428571429,0,169951.020408163
"43",1101488.7755102,387104.761904762,852565.584415584,742111.721611722,469197.278911565,201714.285714286,1019511.56462585,194690.476190476,48380.9523809524,130342.857142857,104627.210884354
"44",666830.612244898,369240.476190476,1024124.81962482,680339.743589744,584717.68707483,182474.829931973,487912.925170068,163173.469387755,0,153628.571428571,251459.183673469
"45",574018.367346939,183450,740653.896103896,494392.857142857,306285.714285714,138160.544217687,556744.897959184,248789.115646258,0,116952.380952381,156518.367346939
"46",379921.428571429,260233.333333333,504415.584415584,650456.043956044,116857.142857143,108723.80952381,447057.823129252,118836.734693878,86178.5714285714,70952.3809523809,100179.591836735
