"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"6",0,0,83440.01819151,124547.997813978,0,0,0,0,0,0,0
"7",0,0,55268.1160726161,325157.658502612,0,0,0,111253.35758868,0,0,0
"8",0,84205.0550331192,193976.250336742,312288.038744875,0,0,43424.9483427698,0,0,49819.199125591,49819.199125591
"9",0,187740.040930897,83440.01819151,458512.080404447,0,0,0,41515.9992713259,0,0,245419.951353804
"10",0,62580.0136436325,0,62580.0136436325,0,0,0,55626.67879434,0,0,99638.3982511821
"11",0,49819.199125591,0,375480.081861795,0,0,0,0,0,0,49819.199125591
"12",0,62580.0136436325,0,125160.027287265,0,0,0,0,0,34545.6636033309,220185.299178975
"13",0,125160.027287265,0,125160.027287265,0,0,0,0,0,49819.199125591,110092.649589487
"14",0,49819.199125591,55268.1160726161,0,0,0,0,0,0,0,0
"15",110092.649589487,0,110536.232145232,0,0,0,0,0,0,0,0
"16",0,0,105802.369482099,0,0,0,0,0,0,0,0
"17",250389.123659734,0,101266.368789094,0,0,0,0,85311.6231243534,0,0,45641.2281612858
"18",186083.69402379,0,290746.53481779,0,0,0,0,0,0,0,43680.2763885653
"19",161390.094851537,0,231845.502088909,0,0,0,0,0,0,0,167190.171197645
"20",263624.014177142,39992.3660446911,178329.446982097,0,0,63669.6391622864,0,0,0,0,531735.667535481
"21",203492.575574801,0,445611.496443703,0,0,0,0,159353.970736833,0,0,229856.729205503
"22",489026.715081847,0,213606.688303658,0,0,0,142404.458869106,71202.2294345528,0,25527.5917991963,220884.02069399
"23",358509.95237861,0,218131.995101688,166742.920499151,0,0,68714.1097866639,276207.085039268,0,0,331387.146995261
"24",532630.383920682,43452.8074140766,369633.880284783,86905.6148281533,0,0,66339.8843660584,359989.714493803,0,34592.2593985901,481175.142350232
"25",164369.58864377,119030.193285898,284831.244689947,213976.882457781,128157.222890787,53320.1222182798,0,273634.826489044,0,101669.021337588,289347.362585728
"26",298343.564844835,33420.1729720388,278991.802260259,41980.4998328129,0,0,74631.9997027784,422808.174573063,0,100260.518916116,106571.936653565
"27",71865.4449929753,33156.2741131307,711300.591978243,291543.036811711,134055.260610283,49832.9867000156,82768.4877123852,240728.64047606,0,66312.5482262614,132625.096452523
"28",0,66135.7260154929,972200.745312413,317507.286652873,57953.4676030424,77651.0016368365,27515.9285961264,229147.244716033,86930.2014045635,132271.452030986,165339.315038732
"29",629776.751957405,364694.864980897,742572.924512842,441369.658336744,36957.5423548894,0,120551.204405522,0,84178.1492843474,231693.971521203,67342.5194274779
"30",622707.783383127,640992.307174328,699962.21528894,973486.82966562,109916.056498293,0,181612.137807913,37057.4352492137,81565.137419125,265508.822137643,65252.1099353
"31",771630.127370496,615188.192842175,394259.844896212,647683.315302095,130867.20717281,29004.0270510024,342236.328445703,0,79081.4529927608,0,0
"32",2149588.05148667,576425.329555191,289800.434239871,1384764.24173757,218180.736081212,62377.6462842454,448688.899308689,0,306867.583082746,33327.6078509374,209195.705704601
"33",1612612.40661031,785046.456155474,599681.132917059,1192718.38264937,273364.583594953,0,389283.461919971,41305.2256612853,223377.52204324,56551.2228103188,342235.825962322
"34",2156021.35662185,672813.578641478,486979.590575013,1189536.31476385,288881.799335028,33535.937555669,424745.957988707,104685.073952884,72296.6489233437,123862.325741372,750200.043727145
"35",2215283.39797373,900094.837032739,923513.036634431,1058251.10933461,348923.296311077,29472.5460036,407841.061348796,0,167512.797267691,245889.385373928,579950.161251646
"36",2059255.53511404,585347.020356766,912154.933821467,1329601.73860465,526212.463080068,60935.5432282278,853732.482289952,530839.463379403,41814.6556789819,160822.720454823,537743.955638988
"37",1843096.95513757,741950.289644547,891083.517251217,1379609.8965389,491618.631755368,53029.6200038825,910405.629168575,260362.548205123,117839.980733443,163830.571172987,1117005.83007288
"38",1928701.94177784,707500.925199623,1375887.09079592,1780856.36184899,677445.856525233,196354.68766884,1351786.10967606,389529.991968448,0,156811.627714933,784620.92306809
"39",2440862.5903542,765731.173897793,1904536.04271901,1595796.34212276,290888.024135084,328516.465517495,1918074.93191101,346302.206956898,187865.829352131,201178.308570089,500286.995936492
"40",2268640.56454216,843359.988317522,2319441.43927295,2057983.66120562,515680.23380163,326917.521210166,2276001.61169037,317620.472390664,158765.488809666,90866.3840907032,291664.93649241
"41",1459538.12640074,597594.382529063,1592605.84471978,1468628.9821924,472741.519625229,154978.686417527,1335344.09462235,414116.329346666,0,186200.172614585,257813.928775039
"42",1863440.69638694,414248.492577942,1667205.06143686,1520086.29939173,940804.447540191,156685.656928202,1537608.81999304,366276.065585461,140501.765984706,0,205206.775174879
"43",1382095.71856518,491880.012611327,1072792.74375174,948798.335156768,585591.249681593,257856.822975566,1283406.11445545,248839.517174678,59896.479500855,161366.775285178,131616.676794552
"44",854880.991300457,467900.745178593,1299572.43029402,855939.696078658,755752.57128822,232065.756776544,622103.802396921,205297.183370356,0,197803.333175346,323625.774434515
"45",784250.14062272,234318.154868308,961281.431898928,620497.142566572,411132.883176501,167832.927823903,715030.12058968,302220.912099489,0,159785.690538071,195417.842144628
"46",520847.627279865,322704.549829797,666101.99880961,776184.197694132,168147.537648217,128489.891556902,609339.254096293,148259.734886465,112791.641333867,102094.470699203,136331.573666727
"47",396189.305372685,93924.8906933855,809832.207755582,721155.187829771,266178.931275286,57522.8963949911,577735.360011363,308805.635268706,123527.823719949,272751.832581753,133106.41665099
"48",637951.825707323,113477.526598657,553195.370880881,421669.409873025,290230.598864302,55825.4229089479,422847.040485334,66404.4167925017,78438.7190415399,0,55651.2211054345
"49",331432.749270842,175040.381926058,316850.370317931,564814.04754197,49108.936725278,117293.102170211,267770.390547419,125076.254077196,0,254755.123028592,33100.5938723732
"50",403255.679563375,126838.167815154,338177.415608652,352203.698360124,138998.017775042,153449.151724624,513302.377285624,219758.928767504,0,164170.520510969,139324.817219349
"51",57330.9179481511,131545.598846402,114570.269635169,166016.94713609,119048.228276228,45608.2201842562,187372.875087716,57330.9179481511,91216.4403685124,140017.799997049,0
"52",173566.681967919,0,0,121002.810291322,77634.2661033233,48212.9672133108,120263.768586716,181890.567516891,84847.2297021651,70706.0247518042,0
"53",122356.047638886,0,0,0,164185.116418322,0,29680.4859965861,0,288892.335425557,117318.093577639,0
"54",41624.5758260634,0,0,22977.7609558709,57317.4889904999,121701.10228512,51383.3394603728,62637.3757893026,41421.0326679898,122765.5699378,91288.4984210044
"55",32247.602792162,0,0,60541.7100237151,0,0,13997.7309417247,98281.3470779532,114073.707967248,173476.847604344,71408.3447511515
"56",343534.767979714,0,54010.1127845794,57036.8539836242,0,0,0,0,0,0,0
"57",40507.5845884345,0,0,0,0,0,0,0,0,32793.4262628457,49701.9033173005
"58",82254.3291897698,0,0,0,0,0,0,0,0,0,0
"59",68444.224780349,0,0,0,0,0,0,0,0,0,0
"60",103323.159209508,0,54010.1127845794,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0
