"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",43821.4285714286,0,0,34885.7142857143,38952.380952381,0,0,0,30408.1632653061,0,30408.1632653061
"9",0,0,0,35476.1904761905,53619.0476190476,43607.1428571429,0,0,34885.7142857143,0,6142.85714285714
"10",87642.8571428571,34885.7142857143,0,0,70952.3809523809,36285.7142857143,0,0,0,0,43821.4285714286
"11",0,0,43821.4285714286,35476.1904761905,0,0,0,58142.8571428571,0,0,74229.5918367347
"12",175285.714285714,0,43821.4285714286,38952.380952381,0,43607.1428571429,0,0,0,0,0
"13",43821.4285714286,43821.4285714286,0,34885.7142857143,148857.142857143,0,0,29028.5714285714,100179.591836735,0,0
"14",87428.5714285714,0,43821.4285714286,0,116857.142857143,0,0,29028.5714285714,34885.7142857143,0,29071.4285714286
"15",43821.4285714286,0,87642.8571428571,69771.4285714286,155809.523809524,0,0,58057.1428571429,34885.7142857143,0,0
"16",0,0,305892.857142857,38952.380952381,113380.952380952,12857.1428571429,29071.4285714286,29071.4285714286,108723.80952381,70114.2857142857,0
"17",0,0,174857.142857143,34885.7142857143,112790.476190476,43607.1428571429,0,58057.1428571429,104657.142857143,140228.571428571,0
"18",0,0,0,0,113380.952380952,0,0,116200,104657.142857143,70114.2857142857,0
"19",87642.8571428571,34885.7142857143,43607.1428571429,0,106428.571428571,0,0,29071.4285714286,0,70114.2857142857,60816.3265306122
"20",131464.285714286,175285.714285714,0,38952.380952381,112790.476190476,0,0,58100,34885.7142857143,0,60816.3265306122
"21",293336.734693878,122528.571428571,43821.4285714286,35476.1904761905,18142.8571428571,0,0,58142.8571428571,0,0,0
"22",876214.285714286,166350,87642.8571428571,0,38952.380952381,0,0,29071.4285714286,0,0,60816.3265306122
"23",700928.571428571,210171.428571429,24190.4761904762,106428.571428571,113380.952380952,0,0,29028.5714285714,0,0,0
"24",1314214.28571429,131464.285714286,87428.5714285714,218628.571428571,77904.7619047619,0,29071.4285714286,29028.5714285714,0,0,30408.1632653061
"25",1374591.26984127,262928.571428571,462190.476190476,245704.761904762,106428.571428571,36285.7142857143,0,29028.5714285714,38952.380952381,0,0
"26",1182964.28571429,87642.8571428571,175285.714285714,142930.158730159,148266.666666667,43821.4285714286,29071.4285714286,58057.1428571429,30408.1632653061,0,0
"27",1257408.16326531,0,199476.19047619,429447.619047619,233714.285714286,218035.714285714,0,87085.7142857143,73838.0952380952,0,0
"28",963857.142857143,34885.7142857143,218678.571428571,253838.095238095,128266.666666667,87428.5714285714,0,87085.7142857143,147676.19047619,0,0
"29",468622.448979592,201235.714285714,243083.333333333,183152.380952381,249805.442176871,174642.857142857,58142.8571428571,87085.7142857143,112790.476190476,140228.571428571,104637.755102041
"30",585805.555555556,331842.857142857,393964.285714286,147676.19047619,404190.476190476,481178.571428571,0,116114.285714286,221514.285714286,70114.2857142857,131464.285714286
"31",131250,366614.285714286,218464.285714286,172457.142857143,226761.904761905,393107.142857143,58142.8571428571,87085.7142857143,260466.666666667,0,104637.755102041
"32",162734.126984127,585835.714285714,393321.428571429,98028.5714285714,343028.571428571,612214.285714286,87214.2857142857,116114.285714286,210408.163265306,0,89887.7551020408
"33",324392.290249433,1031157.14285714,424092.857142857,244000,601200,291035.714285714,53261.9047619048,0,89484.3537414966,0,147122.448979592
"34",279923.469387755,523057.142857143,310880.952380952,263857.142857143,625761.904761905,572806.12244898,58142.8571428571,117536.734693878,0,87214.2857142857,91224.4897959184
"35",599872.448979592,847907.142857143,393535.714285714,148266.666666667,343028.571428571,1098663.26530612,0,233779.591836735,85006.8027210884,70114.2857142857,29071.4285714286
"36",485617.346938776,323764.285714286,365988.095238095,105838.095238095,429714.285714286,699214.285714286,30408.1632653061,126123.80952381,108723.80952381,87214.2857142857,58142.8571428571
"37",488984.693877551,328222.448979592,890345.238095238,792777.777777778,872685.714285714,960428.571428571,88551.0204081633,58142.8571428571,89484.3537414966,0,88551.0204081633
"38",559846.93877551,406053.06122449,381773.80952381,621971.428571429,562247.619047619,822119.047619048,58142.8571428571,29071.4285714286,118152.380952381,38701.2987012987,155654.761904762
"39",323530.612244898,237760.204081633,598735.714285714,865000,627952.380952381,1005964.28571429,132372.448979592,174385.714285714,147265.306122449,70114.2857142857,60816.3265306122
"40",236102.040816327,423924.489795918,243083.333333333,502873.015873016,858780.952380952,1041607.14285714,152873.469387755,252333.333333333,104246.258503401,0,0
"41",236102.040816327,316467.346938776,166726.19047619,566371.428571429,734380.952380952,917464.285714286,59479.5918367347,59479.5918367347,147265.306122449,0,29071.4285714286
"42",326244.33106576,178867.346938776,208771.428571429,566961.904761905,786180.952380952,1210865.6462585,48380.9523809524,242452.380952381,312327.891156463,70114.2857142857,44214.2857142857
"43",292908.163265306,239683.673469388,103488.095238095,458885.714285714,382571.428571429,568392.857142857,145785.714285714,334970.74829932,229647.619047619,70114.2857142857,103301.020408163
"44",224418.367346939,223578.231292517,227771.428571429,352133.333333333,754942.857142857,734047.619047619,97083.3333333333,58142.8571428571,108312.925170068,0,58142.8571428571
"45",131250,257574.489795918,219640.476190476,361123.80952381,495253.06122449,602797.619047619,118443.87755102,126166.666666667,402693.87755102,38701.2987012987,30408.1632653061
"46",118051.020408163,87642.8571428571,193857.142857143,457761.904761905,545457.142857143,523714.285714286,133193.87755102,227272.108843537,294530.612244898,0,29071.4285714286
"47",118051.020408163,379151.020408163,0,265771.428571429,247742.857142857,516226.19047619,103301.020408163,193995.238095238,410827.210884354,70114.2857142857,43821.4285714286
"48",0,0,79297.6190476191,109695.238095238,254104.761904762,397306.12244898,43821.4285714286,88551.0204081633,775689.795918367,77402.5974025974,0
"49",30408.1632653061,60816.3265306122,79297.6190476191,446571.428571429,148266.666666667,305892.857142857,103301.020408163,29071.4285714286,614693.87755102,15142.8571428571,150188.775510204
"50",87642.8571428571,78707.1428571429,24190.4761904762,112790.476190476,219219.047619048,420666.666666667,43821.4285714286,103274.829931973,147265.306122449,125915.584415584,45551.0204081633
"51",0,30408.1632653061,24190.4761904762,0,74428.5714285714,166297.619047619,0,29071.4285714286,290463.945578231,38701.2987012987,0
