"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",138292.056763207,0,0,110092.649589487,55626.67879434,0,0,0,95962.3539770307,0,43424.9483427698
"9",0,0,0,111956.079639869,76571.6874357296,62273.9989069888,0,0,49819.199125591,0,19385.6835886485
"10",276584.113526415,110092.649589487,0,0,101324.879466463,114510.782128296,0,0,0,0,138292.056763207
"11",0,0,138292.056763207,111956.079639869,0,0,0,83031.9985426517,0,0,181717.005105977
"12",553168.22705283,0,138292.056763207,55626.67879434,0,62273.9989069888,0,0,0,0,0
"13",138292.056763207,138292.056763207,0,49819.199125591,212578.237055143,0,0,41454.7963239971,195600.752228213,0,0
"14",200566.055670196,0,62580.0136436325,0,166880.03638302,0,0,41454.7963239971,49819.199125591,0,91743.8746579062
"15",138292.056763207,0,276584.113526415,159911.848715078,222506.71517736,0,0,82909.5926479943,49819.199125591,0,0
"16",0,0,930878.100879922,53244.3915324343,154981.535744164,39126.224905636,88468.7418699658,39738.0208197446,148615.641499821,213368.346485402,0
"17",0,0,513127.403951885,45641.2281612858,204297.301928672,57051.5352016073,0,75956.5729924101,136923.684483857,411508.05532612,0
"18",0,0,0,0,197938.400765021,0,0,145493.598748808,131040.829165696,198416.534495743,0
"19",172096.222214776,95206.197917291,52246.928499264,0,236140.327985702,0,0,34831.285666176,0,191348.083283401,72865.7292279428
"20",215810.775833858,461354.216055859,0,102523.159123524,238997.120976246,0,0,66604.8127370018,39992.3660446911,0,69718.7614444713
"21",744692.691240645,311062.750821979,48122.13464632,90063.2503060021,19923.4265691366,0,0,63849.091445973,0,0,0
"22",1779830.14541659,407427.204250933,153571.810863387,0,41105.4529365011,0,0,30678.3362074987,0,0,64177.9163905553
"23",1539209.2812425,496767.559302899,24659.051781842,251557.797499089,167939.299872051,0,0,29590.8621382105,0,0,0
"24",2773079.03118309,243450.44406556,199508.644874829,353360.166532763,127512.556213172,0,66339.8843660584,28784.3861989906,0,0,30152.3730571541
"25",2813764.29646413,579541.446512268,856690.265158691,354519.156142023,147122.430471176,79980.1833274198,0,28199.7613101253,85857.9920758916,0,0
"26",2366120.56095077,186698.695422508,373397.390845016,222684.643182571,270179.637565005,93349.3477112541,61928.5811222175,55618.1748396256,64776.1220583391,0,0
"27",2395795.36308951,0,265053.242654986,607526.598451662,308571.112348719,207226.713207067,0,82768.4877123852,113399.154271817,0,0
"28",1829796.2580146,69544.1611236508,298698.303628343,240610.907110419,177029.212912281,128692.205601124,0,82547.7857883793,180709.348373509,0,0
"29",831754.338437595,345445.876251372,273438.717651868,208595.722338413,367512.733569674,208713.57158137,112237.53237913,82625.8599738652,145249.393253484,270693.763595464,142293.587475785
"30",1015169.44281375,620696.667357528,455154.527715538,176293.262032704,631940.849453014,739704.656172525,0,110465.586933597,246539.300049123,131145.518248343,245897.846715642
"31",200533.645994982,635698.932404013,283352.267711534,194991.669582332,277286.797009713,487971.339197528,105441.937323681,83064.418947676,412375.017192002,0,137478.113743379
"32",180604.881180284,995415.655622949,621500.694499636,124965.556773424,418384.241628775,866708.122669957,153433.791541373,110928.25414104,370165.529610753,0,109244.674047074
"33",465493.795298385,1676207.15095963,600225.423385771,313418.237296272,739528.166937106,398795.81765294,72796.0035809255,0,103808.386203189,0,228398.074835337
"34",421722.833461152,751978.156858222,437509.068180658,295211.931640006,891236.310105702,737022.999439771,96395.5318977916,134171.395649376,0,144593.297846687,87694.8876060843
"35",862322.046376525,1252986.17861023,549421.81924479,166445.873901214,454714.702203993,1573457.61497565,0,339201.7401877,136882.849731044,112902.061108188,28176.9407933746
"36",655555.106516943,480973.818287053,456539.485269959,145260.62723842,533429.838444259,865355.02981519,47569.3116014981,163480.903429264,106791.075890662,136434.532301344,90956.3548675625
"37",673146.886705942,437601.787556892,1126090.75865927,962729.836591925,1103971.58625148,1074825.48289008,118808.922050912,88382.7000064708,117901.582564404,0,118808.922050912
"38",773652.481575104,532678.121706437,536838.309904749,788168.959476766,710351.944654858,1001094.20604388,85897.8002877867,29788.2564938598,142967.790271907,39655.5748723263,199168.760118249
"39",419682.186544919,305320.593342788,770836.981044621,1047436.68183663,763672.550851544,1294992.50800539,161794.400727662,217193.604518087,196630.092046872,100687.468245728,64149.9649960977
"40",297724.139766848,546583.695027509,299358.673864498,608128.006432312,1115821.86363574,1307962.20372636,194887.179407517,325695.554725091,123029.84046526,0,0
"41",313698.256336013,399407.323959871,218392.626383775,701906.143224476,945426.707294249,1118723.98724656,73944.8657746291,74243.5624408995,191198.988890874,0,39462.5576121892
"42",420502.855928552,217593.156487839,258916.840511729,707269.773650319,1014816.90114152,1475043.70294929,57230.4986508726,296127.238768375,384308.115457481,92552.7508096848,58364.0512950233
"43",368032.491149759,301525.271487846,129228.075206848,577990.135065798,485800.484674906,715723.126720232,183148.367615807,423386.393682977,286091.934540862,90014.1088896709,131227.1408606
"44",281777.003936331,283971.984097265,290129.553330506,449140.576188247,948170.598164854,944826.175355358,123443.349828679,74072.3520955274,135256.214934072,0,72606.1342194144
"45",166043.759959856,342019.439699162,282697.119519388,455766.748543281,622988.089997497,810293.678751895,148487.940572185,166474.228347311,516070.408462247,47013.0767680839,41545.023074987
"46",139512.797397932,114843.528573775,238221.981021578,570135.299343903,701137.93595574,731046.280037528,187761.267981566,299176.504538199,348076.530736788,0,34356.6392762302
"47",135735.169371309,452034.289131983,0,345494.898593301,310900.378529454,734796.923834925,146024.033498919,269297.87943629,497624.812409313,80617.4687340423,50385.9179587765
"48",0,0,88712.3586552054,139516.829873264,321785.74296697,591458.086707988,70124.6866393111,113062.589485064,949420.22800061,105227.437326818,0
"49",51367.0170029233,84467.6108752965,86318.8697140462,669127.877331237,208192.649051053,437758.1509405,138771.481946684,49108.936725278,739317.735759336,16483.6514451684,218286.212650216
"50",124602.771377672,115137.914106214,25622.9549368533,201241.262165015,286160.265337923,597755.51337963,78186.3849984611,133977.859943923,184225.861672835,133371.882385609,70293.9445062669
"51",0,57330.9179481511,45608.2201842562,0,140326.079031481,313534.068776513,0,54810.6661860008,395783.640106168,39890.0340313852,0
"52",15188.4318233645,24263.2810260036,87338.5493662387,77634.2661033233,136929.442257777,158077.388689635,108469.352632883,190779.623236257,425511.260497981,38817.7760151167,135058.160905229
