"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,35476.1904761905,0,0,0,0,30408.1632653061,0,33914.2857142857,70952.3809523809,0
"6",0,0,0,32747.2527472527,30408.1632653061,0,33914.2857142857,30408.1632653061,0,530580.952380952,0
"7",0,0,0,15142.8571428571,0,0,0,0,0,212857.142857143,0
"8",0,0,38701.2987012987,0,0,0,0,0,0,141904.761904762,0
"9",0,35476.1904761905,38701.2987012987,0,0,0,0,0,0,141904.761904762,0
"10",0,0,38701.2987012987,0,0,0,0,0,0,106428.571428571,0
"11",0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,35476.1904761905,0
"14",0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0
"18",0,0,38701.2987012987,0,0,0,0,0,0,0,0
"19",30408.1632653061,48333.3333333333,77402.5974025974,0,0,0,0,0,0,0,0
"20",42392.8571428571,106428.571428571,12857.1428571429,32747.2527472527,0,0,0,0,0,0,0
"21",121632.653061224,0,77402.5974025974,0,0,30408.1632653061,0,0,0,0,0
"22",435737.755102041,0,38701.2987012987,0,30408.1632653061,30408.1632653061,0,0,0,0,75959.1836734694
"23",410984.693877551,0,38701.2987012987,0,33914.2857142857,91224.4897959184,0,0,0,0,216363.265306122
"24",184714.285714286,33914.2857142857,38701.2987012987,15142.8571428571,154210.204081633,0,0,30408.1632653061,0,35476.1904761905,301111.224489796
"25",343980.612244898,0,340161.616161616,96947.2527472527,120295.918367347,30408.1632653061,0,0,0,106428.571428571,450257.142857143
"26",169571.428571429,106428.571428571,152767.676767677,213960.43956044,123802.040816327,30408.1632653061,0,23428.5714285714,70114.2857142857,106428.571428571,443244.897959184
"27",119671.428571429,390238.095238095,230170.274170274,151428.571428571,98236.7346938776,125138.775510204,0,33914.2857142857,42571.4285714286,106428.571428571,341502.040816327
"28",103209.183673469,527457.142857143,299157.287157287,294597.802197802,287479.591836735,243265.306122449,30408.1632653061,53836.7346938775,42571.4285714286,212857.142857143,30408.1632653061
"29",350952.040816327,385552.380952381,544222.222222222,128527.472527473,424377.551020408,182448.979591837,121632.653061224,30408.1632653061,42571.4285714286,141904.761904762,95702.0408163265
"30",1151336.73469388,1187780.95238095,801604.617604617,566923.076923077,666306.12244898,1072269.3877551,167183.673469388,121265.306122449,0,70952.3809523809,60816.3265306122
"31",2191120.40816327,1634495.23809524,1781636.36363636,776942.307692308,651209.523809524,763710.204081633,243265.306122449,181836.734693878,42571.4285714286,106428.571428571,15142.8571428571
"32",4346579.59183673,2575304.76190476,1624005.77200577,1449804.3956044,716195.918367347,735567.346938776,379795.918367347,584952.380952381,85142.8571428571,461190.476190476,91224.4897959184
"33",5691530.6122449,3379600,2644658.00865801,1836681.31868132,698219.727891156,838551.020408163,364897.959183673,728081.632653061,282971.428571429,496666.666666667,60816.3265306122
"34",5195161.2244898,2373161.9047619,2996337.66233766,1840683.51648352,1113392.5170068,1024506.12244898,319224.489795918,500571.428571429,425714.285714286,425714.285714286,91224.4897959184
"35",4510709.18367347,2369602.38095238,2436946.60894661,1985648.35164835,850159.183673469,788253.06122449,638571.428571429,349020.408163265,85142.8571428571,674047.619047619,212857.142857143
"36",3901485.71428571,1882752.38095238,1499852.81385281,1390521.97802198,529626.530612245,591779.591836735,403850.340136054,408500,42571.4285714286,248333.333333333,45551.0204081633
"37",5557262.24489796,2002345.23809524,1702782.10678211,1259912.08791209,632263.945578231,683004.081632653,334367.346938775,334244.897959184,85142.8571428571,248333.333333333,60816.3265306122
"38",5951824.48979592,2117104.76190476,2019262.62626263,1706859.34065934,243265.306122449,436232.653061224,425714.285714286,319224.489795918,85142.8571428571,283809.523809524,30408.1632653061
"39",6457564.28571429,1879628.57142857,1801932.17893218,2330351.64835165,329714.285714286,337995.918367347,152040.816326531,243265.306122449,197828.571428571,212857.142857143,212857.142857143
"40",5701462.24489796,1317561.9047619,1954005.77200577,2320131.86813187,372105.442176871,345008.163265306,212857.142857143,212857.142857143,0,354761.904761905,152040.816326531
"41",2931841.83673469,830907.142857143,1283975.46897547,1405670.32967033,321170.068027211,500555.102040816,91224.4897959184,91224.4897959184,42571.4285714286,141904.761904762,182448.979591837
"42",2256632.65306122,354657.142857143,536724.386724387,1269758.24175824,544740.816326531,490036.734693878,145319.727891156,136775.510204082,42571.4285714286,106428.571428571,121632.653061224
"43",1618530.6122449,293542.857142857,344236.652236652,715516.483516483,190993.197278912,456122.448979592,152040.816326531,60816.3265306122,70114.2857142857,35476.1904761905,91224.4897959184
"44",986464.285714286,187114.285714286,191468.975468975,602131.868131868,91224.4897959184,121632.653061224,60816.3265306122,0,112685.714285714,141904.761904762,60816.3265306122
"45",479668.367346939,106428.571428571,37682.5396825397,261978.021978022,60816.3265306122,182448.979591837,0,91224.4897959184,0,35476.1904761905,91224.4897959184
"46",253096.93877551,0,30285.7142857143,15142.8571428571,30408.1632653061,121632.653061224,0,0,70114.2857142857,0,60816.3265306122
"47",207846.93877551,114773.80952381,0,0,0,60816.3265306122,60816.3265306122,0,0,0,0
"48",78707.1428571429,35476.1904761905,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0
