"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,84060.0117542612,0,0,0,0,72051.4386465096,0,80359.1145924629,168120.023508522,0
"6",0,0,0,81582.6690769687,102124.850966286,0,84490.0782903828,75755.3355714709,0,1321827.22595774,0
"7",0,0,0,39670.9646354061,0,0,0,0,0,557639.031195802,0
"8",0,0,106653.479468038,0,0,0,0,0,0,391062.758049473,0
"9",0,102892.804774721,112246.696117877,0,0,0,0,0,0,411571.219098882,0
"10",0,0,118210.871090047,0,0,0,0,0,0,325079.89549763,0
"11",0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,127264.151091865,0
"14",0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0
"18",0,0,176649.619120919,0,0,0,0,0,0,0,0
"19",143022.387166732,227332.004657635,364056.985515317,0,0,0,0,0,0,0,0
"20",203406.504560985,510658.284407528,61690.2625458758,157125.625971547,0,0,0,0,0,0,0
"21",588243.235363124,0,374336.604321988,0,0,147060.808840781,0,0,0,0,0
"22",2094469.00224723,0,186026.272746549,0,146163.500015145,146163.500015145,0,0,0,0,365114.461111659
"23",2028707.72431768,0,181951.11131675,0,159445.346339786,428884.762389483,0,0,0,0,1066978.06935474
"24",858904.343660932,206692.925991432,174964.63218832,68459.315815967,745021.048986172,0,0,137472.211005109,0,160384.246172627,1563737.80709074
"25",1540183.12045924,0,1516168.28605429,415652.162038212,561138.310753484,130372.11933985,0,0,0,456302.417689474,2132888.73552305
"26",742222.874229263,478274.428109558,615141.186920086,861542.713288156,541127.73955976,122442.875605986,0,94338.5377152163,380599.361767229,428550.064620952,1879860.12214279
"27",450055.760389635,1653356.67730328,865615.619345296,569486.816298213,369444.978292868,470617.150967302,0,127543.55678226,160101.010619686,400252.526549216,1452713.80998517
"28",361973.395718164,2023126.63481034,1049199.0657416,1033208.12196345,1045365.77981506,853175.713472838,106646.964184105,188815.229206489,149305.749857747,746528.749288733,106646.964184105
"29",1150134.57707125,1303995.67644698,1783516.61364441,421208.236639905,1425451.57759196,597918.962066271,398612.641377514,99653.1603443785,139514.42448213,465048.081607099,313633.241690556
"30",3560372.36113648,3958764.92031278,2509039.24956003,1745152.75524107,2148830.84007131,3407057.49303563,563448.169013925,373289.590262099,0,218411.894223813,252375.798015035
"31",6476838.75453315,5002870.14584287,5311049.86274833,2265571.48182083,1964222.50726519,2292275.60771608,709364.047511362,530237.723433409,167349.890144751,310346.770786221,44156.7217494489
"32",12360759.0847453,7429713.56846987,4663379.59065091,4097543.80195759,2034141.44157679,2282769.8924925,1223571.39931387,1716512.11530135,237901.592635253,1288633.62677429,314045.038476246
"33",15644032.759628,9595766.70614694,7416249.38377223,5097602.3667239,2067165.99739979,2546648.66155769,988670.539342549,2058732.37981271,832821.711936999,1345690.45632736,164778.423223758
"34",14198020.8945957,6430279.43302928,8273170.69378098,5067330.94422866,3069076.24389093,3074104.50623735,861706.762204941,1385497.10211268,1209198.31030096,1130495.92091674,298465.118328028
"35",12256838.6371215,6460356.61851883,6585036.36855369,5320685.40975158,2320299.94749743,2430384.18737993,1705559.25422412,972617.616107443,223699.936735253,1770957.83248742,614869.299257586
"36",10661241.4236477,5220812.62146993,3930454.01509546,3836988.45616213,1387918.00403307,1813227.62592509,1093845.75697242,1180230.83596404,111560.975058011,650772.354505063,119369.17369582
"37",15200180.6931945,5560996.14680513,4678048.58459486,3487342.3621506,1857678.33040561,2056082.61732496,905527.517748673,905317.942114304,223534.620097549,651975.975284518,215245.939831527
"38",16255452.5723074,5709109.2372497,5565164.92374543,4586383.88451768,722284.34228493,1374478.82308301,1118054.61889619,893977.495876715,223610.923779239,745369.745930796,107659.707083525
"39",17421274.8485815,5292652.0738664,4854997.88761324,6135706.56985696,887310.73479153,967284.96339854,396437.981692192,717097.928550936,554465.682966499,555013.174369068,637810.332212498
"40",15205876.2606007,3518507.44857599,5393326.91952643,6026289.8644296,1004402.72930876,1025646.90618381,597691.192559995,570658.406995069,0,906042.702383571,496435.157566949
"41",7525785.77251964,2195688.93102601,3375447.14804177,3461798.56237071,843092.684879704,1479365.29501933,224662.071157592,276796.836313788,104842.299873543,349474.33291181,475391.524893282
"42",5608126.42444552,915518.234501415,1290502.50004017,3019305.85011999,1353060.03380906,1302059.89845132,385266.679495299,345861.185656661,99917.0901243984,249792.725310996,285477.400355424
"43",3725956.36985889,732834.60804288,793468.976155186,1625749.44111688,447584.321481745,1130287.61484694,337591.977822936,135036.791129174,155682.013289729,78771.4614920184,249559.859245014
"44",2170843.63495765,450713.649883925,401011.516084023,1261101.50603062,191060.044414246,299083.851840857,127373.362942831,0,236008.309001723,297204.513533272,127373.362942831
"45",987416.529275196,210306.589427366,100381.34773752,517677.758590439,141090.959186501,402357.112331497,0,201178.556165748,0,70102.1964757886,222094.321393755
"46",472125.619367868,0,56494.8026804214,28247.4013402107,56723.2183246818,226892.873298727,0,0,130790.797903542,0,152935.768128728
"47",419027.628406289,202194.509263376,0,0,0,125785.650283947,107138.791934125,0,0,0,0
"48",130983.472495834,79589.8231834016,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0
