"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,30408.1632653061
"8",74229.5918367347,0,0,0,0,0,0,0,0,0,0
"9",329056.12244898,33914.2857142857,0,0,0,0,0,0,0,0,162559.183673469
"10",648403.06122449,0,0,35476.1904761905,38952.380952381,48448.9795918367,0,0,0,0,259459.183673469
"11",182448.979591837,67828.5714285714,79083.3333333333,144111.111111111,137605.442176871,0,0,0,34885.7142857143,0,175972.448979592
"12",0,0,0,70952.3809523809,35476.1904761905,43607.1428571429,0,0,0,0,132151.020408163
"13",30408.1632653061,0,35476.1904761905,215742.857142857,35476.1904761905,0,0,0,0,0,162559.183673469
"14",0,0,70952.3809523809,70952.3809523809,38952.380952381,0,0,0,0,0,33914.2857142857
"15",0,0,0,34885.7142857143,0,35476.1904761905,0,0,33914.2857142857,0,33914.2857142857
"16",0,0,0,0,0,35476.1904761905,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,33914.2857142857,0,0,33914.2857142857
"20",0,0,0,0,0,0,0,0,0,0,0
"21",0,60816.3265306122,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0
"23",0,0,33914.2857142857,35476.1904761905,35476.1904761905,0,0,0,0,0,0
"24",30408.1632653061,152040.816326531,0,0,0,0,33914.2857142857,0,0,0,0
"25",30408.1632653061,189461.224489796,33914.2857142857,0,35476.1904761905,0,29071.4285714286,0,0,0,0
"26",30408.1632653061,232704.081632653,0,79301.5873015873,74428.5714285714,167850.340136054,0,30408.1632653061,30408.1632653061,0,0
"27",128190.476190476,459585.714285714,209733.333333333,188746.031746032,207076.19047619,86095.2380952381,127308.163265306,0,0,0,0
"28",45551.0204081633,226270.408163265,245209.523809524,465603.174603175,395259.863945578,136091.836734694,64322.4489795918,0,30408.1632653061,0,64322.4489795918
"29",312639.455782313,474045.918367347,419466.666666667,648076.19047619,253530.612244898,178365.646258503,113379.591836735,0,64322.4489795918,0,0
"30",1243338.43537415,1289484.69387755,844704.761904762,1420276.19047619,657190.476190476,305127.551020408,294098.979591837,30408.1632653061,133682.993197279,67828.5714285714,0
"31",2540277.21088435,3012659.18367347,1323640.47619048,1995393.65079365,627224.489795918,450474.489795918,255341.836734694,89887.7551020408,30408.1632653061,0,33914.2857142857
"32",4003651.36054422,4868189.79591837,2294054.76190476,2820717.46031746,1058409.52380952,438198.979591837,449846.93877551,154210.204081633,185955.102040816,0,91224.4897959184
"33",4690336.73469388,6718242.5170068,2903702.38095238,4326196.82539683,1427980.95238095,637185.37414966,567978.571428571,154210.204081633,91224.4897959184,0,149367.346938776
"34",5152775.51020408,5007064.28571429,2921588.0952381,5295485.71428571,1377247.61904762,504811.224489796,426747.959183673,159053.06122449,133682.993197279,0,125138.775510204
"35",3636610.54421769,5376273.46938775,2477452.38095238,3792952.38095238,1322776.8707483,1031141.15646258,365369.387755102,177897.278911565,190993.197278912,0,30408.1632653061
"36",4031379.25170068,3804752.04081633,1432645.23809524,2430333.33333333,476333.333333333,520651.360544218,453230.612244898,159053.06122449,91224.4897959184,0,79465.306122449
"37",3559687.07482993,5254693.87755102,1855740.47619048,2317422.22222222,505062.585034014,274278.911564626,252261.224489796,287893.197278912,121632.653061224,0,91224.4897959184
"38",3326198.97959184,4539816.32653061,2343614.28571429,2842196.82539683,405545.578231293,247147.959183673,256046.93877551,162754.421768707,130176.870748299,0,46771.4285714286
"39",3115704.08163265,4073558.16326531,2445850,2643269.84126984,406687.074829932,423056.12244898,264083.673469388,125138.775510204,130176.870748299,38701.2987012987,216363.265306122
"40",2675139.45578231,3814133.67346939,1761680.95238095,2261453.96825397,474619.047619048,320270.408163265,123802.040816327,250155.102040816,194499.319727891,0,189461.224489796
"41",1373707.4829932,2028032.65306122,948011.904761905,1783793.65079365,444333.333333333,285778.911564626,140721.428571429,169129.25170068,64322.4489795918,0,121632.653061224
"42",1033755.10204082,1787588.7755102,800202.380952381,1266158.73015873,336523.80952381,129916.666666667,188124.489795918,99768.7074829932,167597.278911565,0,219869.387755102
"43",456270.408163265,742479.591836735,196123.80952381,537079.365079365,357272.108843537,179913.265306122,147293.87755102,89887.7551020408,77904.7619047619,0,125138.775510204
"44",499821.428571429,313790.816326531,0,109904.761904762,30285.7142857143,109583.333333333,112042.857142857,72866.6666666667,30408.1632653061,0,152040.816326531
"45",248804.421768707,344429.591836735,135657.142857143,228434.920634921,59700.6802721088,131464.285714286,60816.3265306122,0,33914.2857142857,0,33914.2857142857
"46",239683.673469388,148459.183673469,0,0,0,43821.4285714286,0,30408.1632653061,0,0,121632.653061224
"47",91224.4897959184,121557.142857143,79083.3333333333,76634.9206349206,0,48448.9795918367,0,38952.380952381,0,0,0
"48",0,87642.8571428571,0,0,0,0,0,0,0,0,0
"49",74229.5918367347,0,0,0,0,0,0,0,0,0,0
