"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,107392.346925146
"8",204562.754081799,0,0,0,0,0,0,0,0,0,0
"9",969660.483243234,98362.7591416859,0,0,0,0,0,0,0,0,502175.148434422
"10",1980509.52440591,0,0,108359.965165877,118977.787255956,147984.596723178,0,0,0,0,855742.571824973
"11",587372.769723285,218366.010900706,254599.377003192,506176.65804137,443004.33952135,0,0,0,112310.404090043,0,600598.57572686
"12",0,0,0,240994.873462175,120497.436731088,148114.80226375,0,0,0,0,484812.203478284
"13",109083.558078742,0,127264.151091865,773936.863002422,127264.151091865,0,0,0,0,0,621121.118282895
"14",0,0,268841.961949383,268841.961949383,147592.432801742,0,0,0,0,0,128502.849194866
"15",0,0,0,139395.307362016,0,141754.714693833,0,0,135513.701751608,0,135513.701751608
"16",0,0,0,0,0,149001.03398416,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,159513.156371594,0,0,159513.156371594
"20",0,0,0,0,0,0,0,0,0,0,0
"21",0,294121.617681562,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0
"23",0,0,159445.346339786,224845.583315676,166788.518707021,0,0,0,0,0,0
"24",137472.211005109,735213.46775809,0,0,0,0,153323.033723685,0,0,0,0
"25",130372.11933985,913523.996640548,145404.287193934,0,152100.805896491,0,168027.018057527,0,0,0,0
"26",122442.875605986,998437.973220159,0,421860.536435977,299697.427741632,793505.44656658,0,165063.75859622,165063.75859622,0,0
"27",649904.91226039,2020709.09824978,835198.168952514,805599.220967215,824432.309030797,390047.866105606,516832.403603034,0,0,0,0
"28",178242.236227655,830694.029929705,903304.042482116,1854890.16751577,1677059.62105788,643440.797334791,304115.873890649,0,143769.481596887,0,266993.356477867
"29",1257600.21860482,1774771.23888685,1496077.85103237,2455171.10912275,913768.717361085,697548.803888765,427527.687050815,0,284172.251652454,0,0
"30",4591329.9147671,4242379.72934445,2804863.4410118,5086669.22756615,2368866.05273203,1176292.27141216,1039409.5582513,93605.0975244914,513020.079924949,281475.235665359,0
"31",8813050.5184695,9362234.9104865,4187547.15013851,7216055.35901721,2105646.59559344,1600459.44190364,774087.637713811,292978.716058608,119535.635817679,0,98894.3938048978
"32",12773760.1615764,14811388.4535616,7397897.82534594,9662142.46657928,3612361.10093822,1457331.75449728,1421539.20794038,490036.334101889,667461.933217207,0,343620.275945483
"33",14722626.8802532,19906942.2780601,8906872.19117015,14635570.0868035,4336895.90789825,2001767.0887747,1811605.73097748,417823.892418015,333203.696886334,0,488217.090067115
"34",15760234.151333,14685877.1225713,9020815.11029224,17432233.6096599,4180909.66833935,1635488.46362665,1393154.94407461,478585.743580131,383106.838335578,0,360417.43474543
"35",11045055.6111903,15816563.3477521,7369384.62980861,12145137.9000026,4084193.38605184,3163208.95034776,1148750.81675503,572490.260481872,613044.557518594,0,79892.8345483045
"36",11864940.8895997,11418513.2141569,4241159.24367439,7502766.89575422,1410064.2640703,1650465.81385488,1428393.32902573,444545.93606977,266797.107353181,0,222056.677526479
"37",10479660.6441555,15488321.6439538,5551931.18024531,7631158.28589063,1574538.06539151,764369.846616374,865033.646153918,845790.953528445,402702.702639273,0,267290.555699727
"38",9644828.73619981,13791646.1176144,7097969.53056307,9592429.1274832,1237680.97833329,790671.988709521,739807.914038515,490850.707658911,460889.520078374,0,134589.730688321
"39",9218161.02523626,12207572.8265068,7326820.77097889,8708629.12184109,1114599.47598333,1326074.99697373,828547.749429392,326292.404851031,422226.116128073,100911.486248921,591754.246480822
"40",7767275.01446768,11267513.5179363,5226046.28918777,7101507.51736838,1338304.35697508,1071134.6761547,369060.928282312,692839.304614837,604871.877080983,0,483873.71228273
"41",3731259.8485969,5831611.40478554,2684514.3197738,5404177.25240654,1276748.52381853,850392.790268652,400554.563961712,509372.33477595,158409.377153132,0,299549.428210123
"42",2674598.54086471,4717189.87797721,2221975.77564803,3668498.16118402,827223.253198274,382076.170835369,514973.120267507,290827.773581832,443044.093571945,0,516043.510145838
"43",1164485.53426686,1880859.50249898,534632.843078905,1341333.77204124,902219.24376174,501088.235169144,350554.194092976,223089.432426112,203086.139489908,0,277858.589210024
"44",1278198.18965917,809770.484354288,0,310308.127364262,63430.2250359601,309400.597095758,255855.951615977,181009.107723186,85855.2444490129,0,318433.407357077
"45",641866.610657597,815325.641901403,291390.666641848,510614.636565766,134633.06287848,350203.629864816,141090.959186501,0,90343.2129637679,0,67015.8178926935
"46",582991.619088455,373332.632635045,0,0,0,110198.432253158,0,76467.8840643642,0,0,226892.873298727
"47",179355.04625101,261813.563084566,187814.767449073,158113.706052214,0,85351.5073998704,0,92507.8908766173,0,0,0
"48",0,145854.179827923,0,0,0,0,0,0,0,0,0
"49",157337.910586041,0,0,0,0,0,0,0,0,0,0
