"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"3",0,0,0,0,194761.904761905,295352.380952381,174428.571428571,0,0,0,350571.428571429
"4",43821.4285714286,1647725.56078004,58428.5714285714,0,2166414.28571429,2134885.71428571,614510.204081633,145928.571428571,141303.776081425,0,2922805.78231292
"5",131464.285714286,5181527.67839904,87214.2857142857,251425.824175824,12211448.2993197,3812828.57142857,979846.258503401,917061.224489796,211955.664122137,63720.8668592256,7305159.86394558
"6",1007892.85714286,10800251.0466001,349100,240351.648351648,13530791.8367347,2596122.44897959,1273917.00680272,934149.659863946,941370.189991518,116010.640602434,6244662.92517007
"7",1650943.87755102,8936178.12191216,364535.714285714,481607.142857143,17817635.3741497,1962200,929222.448979592,1023465.98639456,1515380.79219678,156595.762842996,2698428.57142857
"8",2294871.42857143,6674018.24082592,291285.714285714,936961.538461538,13481397.9591837,1755847.61904762,752707.482993197,996302.721088435,1338931.01272265,536001.792059235,1653890.47619048
"9",2462251.02040816,2152233.28165639,414785.714285714,914719.78021978,5420665.98639456,942723.80952381,486246.258503401,637517.006802721,1612059.29262087,573427.010980446,2113134.3537415
"10",2681550,1928635.70649767,329464.285714286,672827.838827839,2097887.75510204,703857.142857143,426238.095238095,438792.517006803,695312.178117048,343015.468904018,906983.333333333
"11",930171.428571429,1738838.71738958,379357.142857143,1081656.59340659,3260302.04081633,296076.19047619,373965.986394558,266224.489795918,916747.114503817,170077.935951218,350443.87755102
"12",453590.476190476,1236051.38562359,175285.714285714,503406.593406593,2235737.41496599,43380.9523809524,118959.183673469,321207.482993197,263649.007633588,131590.094674827,589542.857142857
"13",266464.285714286,788427.342782832,251714.285714286,310703.296703297,1818329.25170068,44952.380952381,38952.380952381,244799.319727891,127980.972010178,0,196758.163265306
"14",75964.2857142857,843771.34484991,142777.777777778,485559.340659341,1838270.74829932,185714.285714286,6000,169455.782312925,189052.821034775,122138.348462967,256158.163265306
"15",425162.925170068,459676.404647518,638904.761904762,290031.868131868,880904.761904762,108057.142857143,0,96908.1632653061,157023.389312977,58242.4042362974,26261.9047619048
"16",953302.721088435,213559.562506389,742214.285714286,169390.10989011,1017523.80952381,111142.857142857,20857.1428571429,87214.2857142857,43941.5012722646,37933.4296128189,26571.4285714286
"17",780007.482993197,522217.60877713,1005595.23809524,228857.142857143,606653.06122449,195857.142857143,3571.42857142857,90071.4285714286,244899.1942324,190688.432707517,69857.1428571429
"18",1324569.3877551,618966.605903665,105833.333333333,190357.142857143,141309.523809524,272904.761904762,71809.5238095238,22428.5714285714,88530.7888040712,124499.461293354,93107.1428571429
"19",1348152.72108844,888824.335866072,383285.714285714,64285.7142857143,200761.904761905,280000,79380.9523809524,64000,179288.042974272,131877.027027027,526394.897959184
"20",975430.272108844,268821.641282497,391869.047619048,192214.285714286,194333.333333333,209952.380952381,213673.469387755,115666.666666667,278327.364433135,247087.661325448,1103840.81632653
"21",1348672.10884354,626561.376878258,536194.444444444,258583.333333333,807836.734693878,690912.925170068,481659.183673469,159738.095238095,390984.592592593,432054.468399697,1891413.26530612
"22",1142001.70068027,643852.010289959,949598.124098124,301333.333333333,1082795.91836735,1314470.74829932,728328.571428571,432765.306122449,547458.563189143,801817.86844096,2308336.39455782
"23",1333772.10884354,1158530.26678933,1141863.997114,998946.886446886,2305506.80272109,1814870.74829932,1103057.82312925,997676.19047619,204153.43850721,1091082.15390963,2175473.1292517
"24",2064574.14965986,1408131.25830522,1591937.3015873,1156876.37362637,3431945.57823129,1798559.18367347,1428028.57142857,1261680.27210884,417491.046649703,972839.276872292,1668125.51020408
"25",3415642.85714286,1424788.19096619,1451607.93650794,1812813.18681319,5623874.14965986,1752178.23129252,2015291.83673469,1841138.7755102,616966.028837998,1592389.44765376,1829831.63265306
"26",3161151.02040816,1596566.87507808,1670430.37518038,1621219.5970696,3214163.26530612,1754736.05442177,2040049.65986395,841187.074829932,445302.670059372,833723.287027485,2002238.0952381
"27",3077859.86394558,1270924.2029825,1622140.4040404,2214558.97435897,4370350.34013605,2621560.54421769,2569580.27210884,1807754.42176871,642913.467345208,987108.08231896,1780700.34013605
"28",2711757.4829932,1069747.10495531,1104235.93073593,1270040.29304029,2961755.10204082,1091537.41496599,1739505.44217687,1422173.46938776,611956.481764207,625065.107855948,1007869.72789116
"29",2314612.92517007,1150643.94527923,750976.911976912,1410410.25641026,2406672.78911565,915609.523809524,1014472.78911565,861485.034013605,582690.938083121,532152.521605575,924832.31292517
"30",1205585.71428571,436299.352618488,719444.444444444,712966.483516483,1663587.75510204,557187.755102041,598036.734693878,738689.795918367,682658.753180662,519418.074754143,786106.12244898
"31",976151.020408163,205241.938964417,528730.158730159,273527.472527473,1349336.73469388,426361.904761905,111579.591836735,526006.802721088,305531.98812553,166024.408568874,444674.149659864
"32",122384.353741497,242239.942871421,350914.502164502,211340.10989011,311619.047619048,184380.952380952,65479.5918367347,233605.442176871,6381.89426067289,399113.17538913,278645.918367347
"33",258933.333333333,159302.248798937,140169.552669553,144532.967032967,108312.925170068,194761.904761905,35404.7619047619,156574.829931973,246129.98812553,197983.323017674,34885.7142857143
"34",79586.7346938775,0,97129.8701298701,61818.6813186813,0,77904.7619047619,77904.7619047619,29071.4285714286,6046.00508905852,80382.3963276253,136001.020408163
"35",116622.448979592,0,58428.5714285714,87642.8571428571,0,24190.4761904762,30408.1632653061,0,0,44754.1520528162,0
"36",43821.4285714286,0,58428.5714285714,0,116857.142857143,0,60816.3265306122,0,0,36231.2885404488,0
"37",0,0,0,0,0,34885.7142857143,0,0,0,0,0
"38",27857.1428571429,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,30408.1632653061,0,0,0,0,0,0
