"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"3",0,0,0,0,533606.226448917,1970154.82783615,477897.21454337,0,0,0,960491.20760805
"4",120061.400951006,6772337.79285719,160081.867934675,0,5935514.71648546,7558591.26239055,1683627.35779986,399813.271626578,387142.315279616,0,10077754.5160203
"5",360184.202853019,14760764.5992411,924581.177064028,688853.322903589,34370949.8100891,13380690.1174664,2684570.5023232,4340906.37222744,580713.472919424,878248.561282538,24741329.611436
"6",2761412.22187314,32384606.3165398,2327724.94562861,658512.434731467,38518903.0444623,9498667.87174424,4635940.21416991,3473548.29363738,2579154.25189006,1021511.4282333,20824455.2631918
"7",6590240.66547834,25593398.0848463,1684382.95243857,2008502.98744025,50940029.7553771,6600903.01355121,2545872.02326749,6917874.70503161,5262676.83257045,429039.109012066,9631169.25116631
"8",9451477.41351194,18285391.5558693,798060.95041272,3945079.02688426,37393253.5968246,5359155.36307241,2062258.53105553,5015099.61163459,3668386.41287568,2172197.92282664,8246714.42634618
"9",7435046.26720116,7555854.09405371,1822057.27284449,4573143.10793522,15841793.4735147,4292321.01260101,1944657.42596224,5403368.14652995,4416699.8520523,1571068.14008223,7266896.58767274
"10",9569586.75344706,5206126.64555088,889350.327195451,2950080.86878568,6113299.45063233,2476803.08204106,1150579.91381774,2475974.39658587,1876913.94765513,925930.162176793,3323120.20090927
"11",2473860.30214118,5116805.4026027,1616929.1607154,7545744.68951446,9143872.59817114,787436.714921624,994590.437499688,708043.8901197,2438157.33746687,452334.957939982,932031.634355152
"12",1424784.82826244,3702194.15312947,459310.474155146,1748851.79016481,6303485.52760115,624853.287390348,311715.072051502,1223187.20213408,690853.508514278,344812.519522827,1544810.48471349
"13",687933.542684386,2478788.69879448,649853.318434467,1206494.26951745,5542381.89972441,597020.587946226,100563.756049829,632000.88077735,330409.770431884,0,1314192.12599775
"14",193225.565006712,2146247.9810356,446681.086128711,1615395.34813681,5868192.07069479,472389.721690128,15261.8217776811,431033.991476231,1274645.51485121,1244192.75257043,651573.372442205
"15",1065511.55576314,2021695.72068738,1601175.37663781,1205330.5110598,2207657.69489625,336317.11309566,0,242863.997997146,393520.285831944,145962.761744522,65815.6234788518
"16",2888918.26158075,1279441.134015,1832650.86962512,418252.434870951,3939248.9013341,274430.252443141,51499.764597299,513658.013468553,108498.895897362,93663.9648493062,65609.2891445042
"17",2469497.07205077,4201774.26787616,2446365.18014266,891833.091019436,2761305.5533276,476472.119612964,43114.4436073184,219121.569231199,1606229.68226351,1423029.57097335,169945.19802388
"18",5220305.01197988,4773965.86084322,253669.471368067,770884.831567027,707628.379404492,929952.2747569,360891.904900503,108063.17731934,212197.402164347,353870.390038005,223166.359456654
"19",4898767.61045493,7240151.60459331,1401434.32489221,151812.612200209,1115606.35395043,866298.318609746,708831.85750325,304030.354386735,423394.00662514,369057.070383584,1776036.54145323
"20",3523716.30368562,1770021.33460057,1606632.36447926,548145.777276627,547764.586335459,894453.877581684,1356872.97653917,870848.87801137,647585.233034674,1167386.80520138,3672361.3643399
"21",5767759.51724376,2694331.10763455,1880593.45666088,640079.399798715,2079004.07676483,3137092.92753806,2097811.70130938,706211.330932599,896289.531156125,2004067.451943,6848365.24477324
"22",3067579.80053085,1764542.14656154,3670599.21732818,794223.777661833,3005487.46253479,6059702.96760842,2976110.75168309,1187382.17752856,2383562.55885141,4380416.47202828,8062686.02933488
"23",5754532.57438943,4197506.47871658,3598437.28457541,2413429.43107654,5392364.44590611,7998792.57589902,4243184.21266984,2922180.57347714,454297.848478464,5463911.89359958,6663429.21107747
"24",6133387.44572857,4708205.26442603,4106474.50773142,2954279.16669685,7546300.80743218,6529010.96269524,6431570.73166729,5218242.10698433,2214939.06879776,5266018.04088418,6816773.85851132
"25",10717352.2696012,4351622.13006814,3761884.26125023,5485261.72770049,12871536.4560178,6448729.01667704,7889423.4393039,5810049.8536224,1898731.64308824,8613606.05184291,6936115.48858206
"26",10649185.171886,5884204.65167799,4520581.06261755,4220575.66906514,7015474.85097376,5747470.38225115,7632875.34549683,2952993.26464671,1555998.59310128,4449431.10685864,7601142.53015858
"27",9858032.76632106,4344499.83721989,5058080.70182218,5288404.3011231,9528863.77809813,8839294.96265393,8656996.02669821,5964440.35927649,2494308.60229458,5085572.91056504,6869489.78418833
"28",8487201.43992794,3703259.17231195,2450246.06572294,2736479.13572259,6396340.25736408,4161697.74934212,5010712.64936309,4550666.40923074,1998964.10324726,2549795.45018813,3221395.94106678
"29",8517718.8348331,3891943.58966532,2108291.04272355,3290703.19258429,5341920.16649827,3468892.29553713,3151706.68418714,2570667.29957883,1372552.19361757,2613589.31877186,2309551.59292179
"30",3623072.43210123,1098641.89030273,1589393.4002979,1837432.00960734,3734128.84281562,1748011.23049903,1966899.98394912,2650527.90308555,1891762.20921169,2197043.82416016,1992217.23901282
"31",3283483.85652821,405537.755460613,1181017.0709798,540463.210517793,2666155.82326562,1542312.28256148,220470.228731009,1596475.72151913,837970.825728469,496487.6483161,993078.389590379
"32",238253.195139421,597093.817136546,818444.631766623,614393.512668789,606648.084430483,579523.361777807,148448.850197932,821028.034031927,34734.7868377717,1341111.5773512,782978.344738136
"33",842251.369466729,420046.523299455,268852.557690133,355520.651170103,306368.019184384,499891.852946424,88448.1225393784,583167.493199414,472090.23337466,1021831.43171479,180052.131824165
"34",150400.341440992,0,183552.770293206,116822.870212274,0,147221.805686881,264253.642987394,54938.2104962351,11425.5376005309,286367.126610306,358905.122766235
"35",338928.120716703,0,108788.015352706,163182.023029059,0,112270.664888175,56616.8853913838,0,0,207708.949915352,0
"36",80387.7674856913,0,257147.76825878,0,214367.379961843,0,111563.882690586,0,0,66464.1134222531,0
"37",0,0,0,0,0,63051.9766862245,0,0,0,0,0
"38",110246.62208716,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,120342.466600636,0,0,0,0,0,0
