"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,6333.33333333333
"5",118051.020408163,0,0,0,24224.4897959184,0,33914.2857142857,0,34885.7142857143,12000,0
"6",134178.004535147,219107.142857143,43821.4285714286,38952.380952381,47809.5238095238,0,29071.4285714286,0,39314.2857142857,43357.1428571429,99159.1836734694
"7",191412.698412698,43821.4285714286,0,232444.444444444,26571.4285714286,0,33500,0,129219.047619048,6000,307436.734693878
"8",233863.095238095,0,19928.5714285714,781476.190476191,43380.9523809524,87428.5714285714,43821.4285714286,0,13285.7142857143,114815.584415584,74229.5918367347
"9",104637.755102041,178867.346938776,0,588714.285714286,254482.993197279,0,33914.2857142857,38952.380952381,118131.972789116,333602.597402597,166409.183673469
"10",72650.7936507937,219107.142857143,100928.571428571,345761.904761905,241619.047619048,0,8857.14285714286,0,54771.4285714286,6642.85714285714,345154.081632653
"11",20642.8571428571,289122.448979592,214971.088435374,204571.428571429,570224.489795918,216299.319727891,64387.7551020408,103274.829931973,14857.1428571429,0,137215.306122449
"12",43821.4285714286,174773.80952381,88869.0476190476,147761.904761905,204748.299319728,283061.224489796,87642.8571428571,4428.57142857143,45914.2857142857,147516.883116883,361240.816326531
"13",82571.4285714286,132527.210884354,522085.714285714,217666.666666667,247904.761904762,314608.843537415,106795.918367347,38952.380952381,44952.380952381,0,89887.7551020408
"14",87792.5170068027,132040.136054422,473725.850340136,368263.492063492,339496.598639456,623425.170068027,86971.4285714286,38952.380952381,209371.428571429,112529.87012987,183863.945578231
"15",27190.4761904762,150006.802721088,297816.666666667,203142.857142857,645816.326530612,474465.986394558,51027.2108843537,0,73828.5714285714,38701.2987012987,121557.142857143
"16",94872.4489795918,143297.619047619,244847.619047619,464533.333333333,341418.027210884,571290.816326531,9571.42857142857,72866.6666666667,205304.761904762,128257.142857143,67828.5714285714
"17",136158.163265306,249381.972789116,382109.523809524,299533.333333333,495130.952380952,377829.931972789,116028.571428571,68023.8095238095,344180.952380952,52142.8571428571,59479.5918367347
"18",112081.632653061,187122.448979592,200935.714285714,317523.80952381,454775.510204082,199698.979591837,162614.285714286,3571.42857142857,118171.428571429,0,164254.421768707
"19",114336.734693878,382575.850340136,227090.476190476,399523.80952381,365375.850340136,122571.428571429,67828.5714285714,0,218312.925170068,58785.7142857143,81342.8571428571
"20",259214.285714286,476984.013605442,242452.380952381,249714.285714286,212829.931972789,122892.857142857,37485.7142857143,4428.57142857143,171260.544217687,21500,0
"21",287797.619047619,627267.346938776,111423.80952381,138342.857142857,140904.761904762,139321.428571429,150123.80952381,29071.4285714286,135876.19047619,6000,82009.5238095238
"22",92726.1904761905,349439.795918367,365357.142857143,200428.571428571,149357.142857143,56857.1428571429,293622.448979592,69319.0476190476,760476.190476191,252780.952380952,169033.333333333
"23",474221.088435374,984463.265306122,548773.469387755,395882.53968254,252843.537414966,135119.047619048,325334.353741497,43380.9523809524,964885.714285714,177442.857142857,149435.37414966
"24",297251.700680272,798283.673469388,1273797.61904762,779653.968253968,593953.741496599,260154.761904762,706784.693877551,136047.619047619,885908.163265306,504161.038961039,584215.306122449
"25",871302.154195011,1110288.7755102,1854004.76190476,859228.571428571,1225496.59863946,452440.476190476,1106107.82312925,302523.80952381,1303337.41496599,340674.025974026,831242.857142857
"26",796181.972789116,1166071.42857143,1427157.14285714,1274028.57142857,1008933.33333333,347583.333333333,1385896.2585034,405190.476190476,1746765.98639456,493061.038961039,611292.857142857
"27",1152134.3537415,2329700,2378945.23809524,1077025.3968254,1691798.97959184,704488.095238095,1365502.04081633,546149.659863946,1685120.40816327,183305.194805195,615640.816326531
"28",978004.25170068,1973912.75510204,2371814.28571429,1196269.84126984,1482594.89795918,692154.761904762,651113.945578231,922303.401360544,1540164.62585034,184929.87012987,889478.231292517
"29",773073.129251701,2729169.04761905,1146066.66666667,973193.650793651,883497.959183673,447255.102040816,449679.931972789,188652.380952381,877520.408163265,287903.896103896,436297.959183673
"30",965100.340136054,1873573.1292517,781014.285714286,555790.476190476,642601.360544218,420746.598639456,598709.523809524,231095.238095238,996723.80952381,178929.87012987,345312.925170068
"31",360569.727891156,1129525.51020408,447961.904761905,456536.507936508,311829.931972789,171568.027210884,376777.210884354,178814.285714286,260374.829931973,105259.74025974,135045.918367347
"32",254439.62585034,556015.306122449,433185.714285714,292949.206349206,352183.673469388,58964.2857142857,263623.129251701,180261.904761905,407832.653061224,66558.4415584416,104637.755102041
"33",196010.204081633,1107228.57142857,227985.714285714,38952.380952381,122877.551020408,158595.238095238,103301.020408163,0,211373.469387755,0,60816.3265306122
"34",104637.755102041,227166.326530612,79297.6190476191,24190.4761904762,0,43821.4285714286,79812.2448979592,97095.2380952381,78251.0204081633,38701.2987012987,104637.755102041
"35",60816.3265306122,118051.020408163,106428.571428571,72568.253968254,38952.380952381,0,0,0,0,38701.2987012987,64322.4489795918
"36",74229.5918367347,118051.020408163,35476.1904761905,35476.1904761905,0,0,30408.1632653061,0,0,0,0
"37",0,43821.4285714286,6642.85714285714,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,87642.8571428571,0,0,0,0,0
"39",0,0,0,0,35476.1904761905,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0
