"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,17351.9873148425
"5",323434.706625263,0,0,0,66369.9536285223,0,92917.9350799312,0,95579.4429086739,32877.4496491753,0
"6",621182.84873211,3356314.09119305,120061.400951006,106721.245289783,130987.934316556,0,79649.5357572283,0,107712.78742206,268157.30399564,341305.25992782
"7",777993.745910872,120061.400951006,0,636848.376537729,72800.0670803167,0,161413.051158616,0,354032.727650802,16438.7248245877,842311.313767069
"8",640735.178207564,0,367935.819306247,3568122.8228141,118854.589803169,239535.704586849,120061.400951006,0,36400.0335401584,1017406.21809515,681479.087347635
"9",286685.210397507,490058.516071764,0,1612952.02386014,836489.658060584,0,92917.9350799312,719167.264498232,801762.280617703,1197013.16921972,893922.032679719
"10",434927.389850753,1889305.87210093,1767036.99617847,1510166.84565302,914542.859981187,0,155069.064066618,0,147849.069028395,17931.6163532091,2693299.99159707
"11",342718.018114939,3212895.75301878,1764328.93853265,1581806.90282431,1516554.5675611,575264.176063524,171244.037817375,698638.475011857,39513.6797245797,0,1805227.65500336
"12",114827.618538787,457969.102898105,1125402.0938301,1482038.17233311,594629.878768286,1015432.82197933,804732.593107076,69721.4481226307,120311.643352456,386546.32983874,2143735.7045911
"13",1232730.54697364,342146.841335092,3769758.20939895,1815522.81010912,640018.232268224,2464154.97382391,1100734.20684615,100563.756049829,597020.587946226,0,591025.119196935
"14",463047.130485399,729724.114022591,2441681.01013585,2311171.50691241,1315927.71977047,3548025.99834555,615085.683796611,551452.338661679,936270.631537637,1143639.7383174,805302.780502506
"15",68142.7398121929,375935.840780252,1668088.60491053,1463710.34992311,2431162.04305862,1416804.69967695,459899.084823412,0,185023.649395488,519559.305100596,304637.42892922
"16",993751.05849325,353825.722863977,604569.610973498,3900563.71950549,1449567.10833181,2930387.93521008,23633.4536165687,579623.018821905,1221608.59942748,851743.11482268,167480.056375326
"17",928186.740059857,933594.493169442,1278428.74907554,2511133.3038168,1580004.81093514,1321263.16439336,282268.895368089,540958.480072367,837307.363515337,629470.876666849,437812.306413715
"18",268645.87563942,448509.474460641,995680.666805577,2082478.69777751,1521338.06921337,1252818.41275034,786384.333936524,8560.27462434423,283242.366770302,0,944132.54331294
"19",628578.807731811,903464.165408813,894041.142276854,2213950.84882255,1068609.2996125,517581.312361686,160179.173939243,0,773840.142229894,581726.975150118,192093.558637331
"20",1130100.00814386,2427434.17151869,904625.407791421,1196016.89856697,956812.341849138,452112.00346165,87218.1399433231,45588.0813269601,917707.156255051,125714.228503065,0
"21",813931.517572651,1944571.2106322,255426.929576704,317135.909998821,323008.797221021,475166.60194187,344142.45830314,66643.0789805453,602426.808215531,13754.3455389823,277629.008468809
"22",405712.024247443,1195866.46674123,971151.852138253,598646.748075627,337335.717884344,274378.554413489,705160.131337058,156562.921895182,2124826.71248897,1247750.43929637,627211.9843176
"23",2301690.53909627,4727222.63849791,1311818.41211327,1516830.61684115,710550.622345935,874974.750676939,1298965.16237412,380797.059472951,3068260.15840807,496426.297796423,610423.074619913
"24",998288.289149079,2495532.79411379,3273401.44812517,3670545.45548483,1808306.41154835,839070.059224079,2191183.6897438,775952.196236373,2412107.9052533,2202461.79106945,2903683.38640913
"25",4691964.78920558,4868277.30389873,5542229.82162969,2612838.74956951,3426099.36268934,1756443.7363786,4153772.79541521,1581192.78900766,4811094.01074842,1192351.9380155,2964526.64735873
"26",2748368.70334378,5087653.3746922,4366014.31216948,4403814.2632936,2524204.80450483,1678738.42989703,4278132.5508926,1781062.37478284,5181787.11007442,2150369.13548098,2468553.66533063
"27",4547914.3214196,10654080.4892793,6433760.61691248,3843439.21849053,4158247.80744088,3043001.16273468,5117539.90695856,2469951.29822551,5105750.16068786,526902.118441334,1885858.35743974
"28",3259454.69699748,7583358.39202287,6283173.23482999,3504381.40628048,3767109.17284064,3882052.11774066,2485775.49417769,3218732.15021348,4408067.52192513,917664.634398036,4251324.34928898
"29",2292813.63356227,13229705.7241242,3456320.3238893,2276405.83405918,2408840.59251379,2263093.11388414,1651542.87623279,698783.936387992,2718335.14547437,1690434.26431119,1495434.27552503
"30",3960905.08967275,8357920.79134575,2529093.53160502,1328416.89113146,1571097.18145431,2030479.3005121,1541649.43355594,692794.47890804,3060586.09807994,358839.613774471,1088418.93575089
"31",991825.76502642,5644864.64282116,1538214.70541064,1134940.55118535,817949.469772493,503930.826807925,929109.360847441,479402.267226109,876898.371143989,499300.646655748,381283.653196973
"32",692937.556902496,2282091.84714371,1843358.11363642,876935.665706511,894328.112153846,320925.388555597,725822.059372791,777848.613474106,1382984.30890548,362258.161190999,416315.392764074
"33",660196.530427712,5076098.24922665,836581.739215787,74712.7107686264,235685.591095651,304193.989260282,292419.695671883,0,504043.551296437,0,116648.905740748
"34",329401.736420306,692612.937376606,388102.473135353,45714.3504211096,0,214473.082661948,288726.224727025,300519.161136424,341131.974978883,189413.880516442,289101.784412397
"35",197744.520951041,547887.790533448,493946.724458801,135114.655960201,72525.3435684706,0,0,0,0,179616.990712291,119761.811662123
"36",248642.767539378,441503.593733463,65078.9315695083,65078.9315695083,0,0,55781.9413452928,0,0,0,0
"37",0,79202.2680118729,27723.4975221864,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,251460.668461966,0,0,0,0,0
"39",0,0,0,0,140399.544367409,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0
