"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,24142.8571428571,0,0,0,0,0,72428.5714285714
"10",0,0,72428.5714285714,0,24142.8571428571,0,0,0,0,0,0
"11",0,0,72428.5714285714,0,0,0,0,0,0,0,27523.8095238095
"12",0,0,181071.428571429,0,34761.9047619048,0,0,0,0,0,0
"13",72428.5714285714,0,56785.7142857143,0,0,0,0,45714.2857142857,0,0,0
"14",181071.428571429,0,0,0,0,0,0,0,0,0,0
"15",36214.2857142857,0,72428.5714285714,0,0,0,0,0,0,0,0
"16",0,60952.3809523809,36214.2857142857,0,0,0,0,0,0,0,20571.4285714286
"17",36214.2857142857,0,0,0,34761.9047619048,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0
"20",108642.857142857,0,36214.2857142857,45714.2857142857,34761.9047619048,0,0,0,0,0,0
"21",108642.857142857,0,0,0,0,43020.4081632653,0,0,0,0,0
"22",181071.428571429,0,72428.5714285714,0,0,107607.709750567,0,0,0,0,0
"23",108642.857142857,0,36214.2857142857,45714.2857142857,0,43020.4081632653,0,0,0,0,0
"24",36214.2857142857,0,0,0,0,0,0,0,0,0,0
"25",144857.142857143,72428.5714285714,0,0,0,172081.632653061,0,0,0,30009.6566896312,0
"26",349942.857142857,0,217285.714285714,0,0,110183.673469388,0,0,0,120038.626758525,0
"27",471123.809523809,0,72428.5714285714,72428.5714285714,24142.8571428571,86040.8163265306,0,0,0,180057.940137787,0
"28",338466.666666667,0,36214.2857142857,72428.5714285714,0,110183.673469388,0,0,0,180057.940137787,0
"29",349942.857142857,0,0,94000,0,241934.240362812,0,0,0,210067.596827418,0
"30",604166.666666667,289714.285714286,36214.2857142857,96571.4285714286,69857.1428571429,575179.138321996,0,0,0,270086.910206681,0
"31",724285.714285714,72428.5714285714,52142.8571428571,48285.7142857143,0,292913.832199547,0,43020.4081632653,0,300096.566896312,0
"32",1153904.76190476,289714.285714286,96442.8571428571,48285.7142857143,0,249775.510204082,0,0,0,180057.940137787,0
"33",1521000,72428.5714285714,36214.2857142857,0,0,163734.693877551,0,0,0,150048.283448156,0
"34",2317714.28571429,144857.142857143,129214.285714286,43020.4081632653,24142.8571428571,545766.439909297,91428.5714285714,0,24142.8571428571,240077.25351705,0
"35",1835452.38095238,0,72428.5714285714,137142.857142857,107190.476190476,244510.204081633,0,0,0,60019.3133792624,0
"36",1702071.42857143,145089.285714286,36214.2857142857,72428.5714285714,142285.714285714,287530.612244898,45714.2857142857,43020.4081632653,0,30009.6566896312,0
"37",1291514.28571429,34761.9047619048,0,88730.1587301587,48285.7142857143,249775.510204082,109948.979591837,0,24142.8571428571,90028.9700688936,36214.2857142857
"38",1581952.38095238,72428.5714285714,0,64587.3015873016,72428.5714285714,249775.510204082,45714.2857142857,91306.1224489796,0,30009.6566896312,36214.2857142857
"39",869142.857142857,0,138653.06122449,69857.1428571429,72428.5714285714,67163.2653061225,0,0,24142.8571428571,30009.6566896312,36214.2857142857
"40",643166.666666667,98142.8571428571,72428.5714285714,73238.0952380952,214714.285714286,110183.673469388,43020.4081632653,0,0,30009.6566896312,0
"41",748300,72428.5714285714,93000,24142.8571428571,96571.4285714286,64587.3015873016,27523.8095238095,24142.8571428571,24142.8571428571,0,0
"42",801867.965367965,0,97166.6666666667,24142.8571428571,72428.5714285714,139591.836734694,46357.1428571429,118785.714285714,24142.8571428571,150048.283448156,36214.2857142857
"43",724285.714285714,144857.142857143,102438.775510204,48285.7142857143,72428.5714285714,88730.1587301587,0,43020.4081632653,0,90028.9700688936,97166.6666666667
"44",869142.857142857,0,56785.7142857143,118142.857142857,120714.285714286,48285.7142857143,0,134326.530612245,0,120038.626758525,0
"45",847166.666666667,25714.2857142857,163636.054421769,94000,196365.079365079,137015.873015873,44714.2857142857,110183.673469388,60952.3809523809,30009.6566896312,36214.2857142857
"46",727047.619047619,72428.5714285714,144857.142857143,41142.8571428571,153412.698412698,48285.7142857143,46357.1428571429,110183.673469388,99952.3809523809,30009.6566896312,0
"47",486000,98142.8571428571,0,72428.5714285714,96571.4285714286,241934.240362812,46357.1428571429,115448.979591837,24142.8571428571,60019.3133792624,36214.2857142857
"48",688071.428571429,0,93000,96571.4285714286,72428.5714285714,48285.7142857143,92809.5238095238,24142.8571428571,24142.8571428571,30009.6566896312,0
"49",543214.285714286,123857.142857143,159224.489795918,96571.4285714286,268793.650793651,91306.1224489796,0,110183.673469388,24142.8571428571,0,36214.2857142857
"50",434571.428571429,0,165428.571428571,68857.1428571429,72428.5714285714,215242.630385488,24142.8571428571,129061.224489796,48285.7142857143,0,36214.2857142857
"51",243000,72660.7142857143,93000,20571.4285714286,123936.507936508,91306.1224489796,66285.7142857143,67163.2653061225,72428.5714285714,30009.6566896312,36214.2857142857
"52",306344.155844156,209919.047619048,97928.5714285714,0,75650.7936507937,274564.62585034,67163.2653061225,244510.204081633,235831.746031746,30009.6566896312,94342.8571428571
"53",253500,72428.5714285714,108642.857142857,24142.8571428571,75650.7936507937,357383.219954649,70500,397714.285714286,136603.174603175,81327.9453482313,0
"54",206785.714285714,144857.142857143,129214.285714286,48285.7142857143,75650.7936507937,225632.653061224,20571.4285714286,335816.326530612,48285.7142857143,30009.6566896312,0
"55",181071.428571429,98142.8571428571,84309.5238095238,0,103015.873015873,328092.970521542,0,0,72428.5714285714,90028.9700688936,0
"56",0,0,153020.408163265,0,123936.507936508,155893.424036281,48440.4761904762,220367.346938776,96571.4285714286,0,0
"57",125666.666666667,144857.142857143,0,24142.8571428571,48285.7142857143,174770.975056689,141154.761904762,201489.795918367,96803.5714285714,60019.3133792624,0
"58",98142.8571428571,98142.8571428571,0,96571.4285714286,99793.6507936508,69857.1428571429,0,268653.06122449,72428.5714285714,30009.6566896312,0
"59",175285.714285714,0,41142.8571428571,72428.5714285714,148079.365079365,260811.79138322,29476.1904761905,344462.585034014,169000,0,36214.2857142857
"60",108642.857142857,0,97928.5714285714,166428.571428571,51507.9365079365,91306.1224489796,24142.8571428571,328622.448979592,144857.142857143,120038.626758525,0
"61",122880.952380952,25714.2857142857,150190.476190476,0,24142.8571428571,64587.3015873016,20571.4285714286,263387.755102041,96571.4285714286,0,36214.2857142857
"62",78558.4415584416,0,97928.5714285714,24142.8571428571,48285.7142857143,0,0,352765.306122449,99793.6507936508,60019.3133792624,0
"63",36214.2857142857,60228.5714285714,56785.7142857143,43020.4081632653,80984.126984127,0,24142.8571428571,247846.93877551,123936.507936508,89906.3608770087,0
"64",223415.584415584,0,288857.142857143,44714.2857142857,0,24142.8571428571,0,201489.795918367,48285.7142857143,81327.9453482313,0
