"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,40184.5046366501,0,0,0,0,0,120553.51390995
"10",0,0,120553.51390995,0,40184.5046366501,0,0,0,0,0,0
"11",0,0,120553.51390995,0,0,0,0,0,0,0,45811.9204733407
"12",0,0,301383.784774875,0,57859.3459265376,0,0,0,0,0,0
"13",120553.51390995,0,94516.8082430083,0,0,0,0,76089.002862296,0,0,0
"14",301383.784774875,0,0,0,0,0,0,0,0,0,0
"15",60276.7569549751,0,120553.51390995,0,0,0,0,0,0,0,0
"16",0,101452.003816395,60276.7569549751,0,0,0,0,0,0,0,34240.0512880332
"17",60276.7569549751,0,0,0,57859.3459265376,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0
"20",180830.270864925,0,60276.7569549751,76089.002862296,57859.3459265376,0,0,0,0,0,0
"21",180830.270864925,0,0,0,0,71605.1866221964,0,0,0,0,0
"22",301383.784774875,0,120553.51390995,0,0,179107.32295785,0,0,0,0,0
"23",180830.270864925,0,60276.7569549751,76089.002862296,0,71605.1866221964,0,0,0,0,0
"24",60276.7569549751,0,0,0,0,0,0,0,0,0,0
"25",241107.0278199,120553.51390995,0,0,0,286420.746488786,0,0,0,49949.4811758659,0
"26",582461.316910875,0,361660.54172985,0,0,183394.877881043,0,0,0,199797.924703464,0
"27",784160.581998345,0,120553.51390995,120553.51390995,40184.5046366501,143210.373244393,0,0,0,299696.887055195,0
"28",563359.80681732,0,60276.7569549751,120553.51390995,0,183394.877881043,0,0,0,299696.887055195,0
"29",582461.316910875,0,0,156458.012135596,0,402686.705475543,0,0,0,349646.368231061,0
"30",1005603.35814102,482214.055639801,60276.7569549751,160738.0185466,116273.507498946,957355.155358771,0,0,0,449545.330582793,0
"31",1205535.1390995,120553.51390995,86789.0188898063,80369.0092733001,0,487539.530988942,0,71605.1866221964,0,499494.811758659,0
"32",1920613.24724912,482214.055639801,160524.01822605,80369.0092733001,0,415738.083049839,0,0,0,299696.887055195,0
"33",2531623.79210895,120553.51390995,60276.7569549751,0,0,272527.709805447,0,0,0,249747.405879329,0
"34",3857712.4451184,241107.0278199,215070.322152958,71605.1866221964,40184.5046366501,908399.279558828,152178.005724592,0,40184.5046366501,399595.849406927,0
"35",3055013.09461017,0,120553.51390995,228267.008586888,178412.859836488,406974.260398736,0,0,0,99898.9623517318,0
"36",2833007.57688383,241493.41728756,60276.7569549751,120553.51390995,236827.021408896,478579.447020932,76089.002862296,71605.1866221964,0,49949.4811758659,0
"37",2149656.99774023,57859.3459265376,0,147686.640972304,80369.0092733001,415738.083049839,183004.242375277,0,40184.5046366501,149848.443527598,60276.7569549751
"38",2633075.79592535,120553.51390995,0,107502.136335654,120553.51390995,415738.083049839,76089.002862296,151974.195895496,0,49949.4811758659,60276.7569549751
"39",1446642.1669194,0,230780.663145732,116273.507498946,120553.51390995,111789.691258846,0,0,40184.5046366501,49949.4811758659,60276.7569549751
"40",1070516.78870792,163353.578019992,120553.51390995,121900.923335637,357380.535318846,183394.877881043,71605.1866221964,0,0,49949.4811758659,0
"41",1245505.6434156,120553.51390995,154793.565197983,40184.5046366501,160738.0185466,107502.136335654,45811.9204733407,40184.5046366501,40184.5046366501,0,0
"42",1334666.67932646,0,161728.76077137,40184.5046366501,120553.51390995,232343.205168797,77159.004465047,197712.518374997,40184.5046366501,249747.405879329,60276.7569549751
"43",1205535.1390995,241107.0278199,170503.906190757,80369.0092733001,120553.51390995,147686.640972304,0,71605.1866221964,0,149848.443527598,161728.76077137
"44",1446642.1669194,0,94516.8082430083,196642.516772246,200922.52318325,80369.0092733001,0,223579.382517693,0,199797.924703464,0
"45",1410063.96398091,42800.0641100415,272363.529665342,156458.012135596,326839.255003286,228055.650245604,74424.5559246832,183394.877881043,101452.003816395,49949.4811758659,60276.7569549751
"46",1210132.18302243,120553.51390995,241107.0278199,68480.1025760664,255347.29606392,80369.0092733001,77159.004465047,183394.877881043,166365.434383291,49949.4811758659,0
"47",808921.211679784,163353.578019992,0,120553.51390995,160738.0185466,402686.705475543,77159.004465047,192158.700532147,40184.5046366501,99898.9623517318,60276.7569549751
"48",1145258.38214453,0,154793.565197983,160738.0185466,120553.51390995,80369.0092733001,154476.527686057,40184.5046366501,40184.5046366501,49949.4811758659,0
"49",904151.354324626,206153.642130033,265020.714433765,160738.0185466,447392.768913236,151974.195895496,0,183394.877881043,40184.5046366501,0,60276.7569549751
"50",723321.083459701,0,275347.079107934,114609.060561333,120553.51390995,358259.936988832,40184.5046366501,214815.559866589,80369.0092733001,0,60276.7569549751
"51",404460.605839892,120939.90337761,154793.565197983,34240.0512880332,206285.741093336,151974.195895496,110329.054150329,111789.691258846,120553.51390995,49949.4811758659,60276.7569549751
"52",509893.59205036,349399.115956103,162996.910819075,0,125916.731820036,456998.250673382,111789.691258846,406974.260398736,392529.427474401,49949.4811758659,157028.679657063
"53",421937.298684825,120553.51390995,180830.270864925,40184.5046366501,125916.731820036,594845.406007689,117343.509101697,661974.324901975,227368.73563643,135366.049577199,0
"54",344183.848884917,241107.0278199,215070.322152958,80369.0092733001,125916.731820036,375553.578413189,34240.0512880332,558948.456294232,80369.0092733001,49949.4811758659,0
"55",301383.784774875,163353.578019992,140328.728716349,0,171464.454366771,546093.340036842,0,0,120553.51390995,149848.443527598,0
"56",0,0,254694.349759596,0,206285.741093336,259476.33223115,80626.6022517402,366789.755762086,160738.0185466,0,0
"57",209165.498493332,241107.0278199,0,40184.5046366501,80369.0092733001,290897.014216696,234944.611181834,335369.073776539,161124.40801426,99898.9623517318,0
"58",163353.578019992,163353.578019992,0,160738.0185466,166101.236456686,116273.507498946,0,447158.765035386,120553.51390995,49949.4811758659,0
"59",291753.770350116,0,68480.1025760664,120553.51390995,246470.245729986,434107.387461089,49061.5549705846,573339.694782027,281291.53245655,0,60276.7569549751
"60",180830.270864925,0,162996.910819075,277011.526045546,85732.2271833856,151974.195895496,40184.5046366501,546974.628834875,241107.0278199,199797.924703464,0
"61",204528.824881411,42800.0641100415,249984.078153835,0,40184.5046366501,107502.136335654,34240.0512880332,438394.942384282,160738.0185466,0,60276.7569549751
"62",130756.357475576,0,162996.910819075,40184.5046366501,80369.0092733001,0,0,587159.133471525,166101.236456686,99898.9623517318,0
"63",60276.7569549751,100247.261271075,94516.8082430083,71605.1866221964,134793.78215397,0,40184.5046366501,412528.078241586,206285.741093336,149644.367033642,0
"64",371863.385295477,0,480787.386836133,74424.5559246832,0,40184.5046366501,0,335369.073776539,80369.0092733001,135366.049577199,0
"65",60276.7569549751,143047.325381116,94516.8082430083,80369.0092733001,40184.5046366501,143210.373244393,0,80369.0092733001,220800.775181025,85416.5684013328,60276.7569549751
