"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,28971.4285714286
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0
"11",24142.8571428571,0,0,14485.7142857143,0,0,0,0,0,0,0
"12",96571.4285714286,0,0,0,0,0,0,0,0,0,0
"13",72428.5714285714,0,0,14485.7142857143,0,0,0,0,0,0,0
"14",362142.857142857,24142.8571428571,0,74685.7142857143,0,0,0,0,0,0,0
"15",72428.5714285714,0,0,66571.4285714286,0,0,0,48440.4761904762,0,0,0
"16",96571.4285714286,69857.1428571429,0,147050.793650794,0,0,0,94154.7619047619,0,0,0
"17",72428.5714285714,72428.5714285714,0,91428.5714285714,0,0,0,133142.857142857,0,0,0
"18",24142.8571428571,73238.0952380952,0,49828.5714285714,0,0,24142.8571428571,48440.4761904762,0,141666.666666667,0
"19",72428.5714285714,163857.142857143,0,64314.2857142857,43020.4081632653,0,43020.4081632653,0,0,121904.761904762,0
"20",120714.285714286,90714.2857142857,73102.0408163265,66571.4285714286,0,0,155897.959183673,115571.428571429,0,0,0
"21",96571.4285714286,72428.5714285714,0,89171.4285714286,20857.1428571429,0,0,88734.693877551,0,0,0
"22",48285.7142857143,139714.285714286,0,114142.857142857,16095.2380952381,0,24142.8571428571,66571.4285714286,0,96571.4285714286,0
"23",142285.714285714,160571.428571429,0,197304.761904762,0,57946.4285714286,43020.4081632653,45714.2857142857,0,48285.7142857143,0
"24",0,383714.285714286,0,225914.285714286,79972.7891156463,0,43020.4081632653,0,0,96571.4285714286,0
"25",120714.285714286,338000,0,86914.2857142857,0,45714.2857142857,0,45714.2857142857,0,48285.7142857143,0
"26",144857.142857143,579428.571428571,0,57942.8571428571,16095.2380952381,0,91306.1224489796,0,50190.4761904762,48285.7142857143,0
"27",144857.142857143,796714.285714286,0,43457.1428571429,16095.2380952381,0,0,43020.4081632653,0,0,0
"28",217285.714285714,1059714.28571429,0,57942.8571428571,0,0,67163.2653061225,69857.1428571429,0,0,0
"29",159551.020408163,2052142.85714286,0,14485.7142857143,48285.7142857143,24142.8571428571,0,137020.408163265,51507.9365079365,0,0
"30",72428.5714285714,1979714.28571429,0,28971.4285714286,145063.492063492,45000,137663.265306122,45714.2857142857,0,0,0
"31",149415.584415584,1226142.85714286,124167.346938776,57942.8571428571,112666.666666667,0,187877.551020408,112877.551020408,0,0,28971.4285714286
"32",48285.7142857143,1303714.28571429,28971.4285714286,100676.19047619,91904.7619047619,0,182612.244897959,0,58447.619047619,0,49542.8571428571
"33",72428.5714285714,1011428.57142857,28971.4285714286,123936.507936508,158238.095238095,48285.7142857143,177346.93877551,131755.102040816,0,0,0
"34",172222.222222222,1512285.71428571,0,88723.8095238095,314761.904761905,24142.8571428571,263387.755102041,99333.3333333333,34761.9047619048,0,57942.8571428571
"35",164109.461966605,963142.857142857,57942.8571428571,57942.8571428571,177047.619047619,24142.8571428571,225632.653061224,153204.081632653,29476.1904761905,0,77411.9047619048
"36",69857.1428571429,842428.571428571,0,192165.079365079,332734.693877551,48285.7142857143,376265.306122449,263797.619047619,28971.4285714286,0,28971.4285714286
"37",111265.306122449,1111380.95238095,86914.2857142857,72428.5714285714,180269.841269841,51666.6666666667,311673.469387755,155897.959183673,79161.9047619048,0,57942.8571428571
"38",120714.285714286,1255428.57142857,28971.4285714286,81990.4761904762,274031.746031746,72428.5714285714,586744.897959184,239244.897959184,79161.9047619048,0,0
"39",149415.584415584,965714.285714286,0,197488.43537415,325333.333333333,106232.142857143,733530.612244898,287530.612244898,57942.8571428571,0,28971.4285714286
"40",217285.714285714,965714.285714286,110187.755102041,154419.047619048,402603.174603175,154517.857142857,674714.285714286,337950.680272109,0,96571.4285714286,28971.4285714286
"41",96571.4285714286,676000,57942.8571428571,115885.714285714,242607.709750567,206366.666666667,819726.190476191,208448.979591837,80479.3650793651,0,0
"42",169000,336071.428571429,153138.775510204,258374.603174603,112873.015873016,124095.238095238,456040.816326531,220367.346938776,70257.1428571429,0,0
"43",303426.303854875,603571.428571429,202800,173104.761904762,212666.666666667,184306.12244898,650571.428571429,448693.87755102,129352.380952381,48285.7142857143,0
