"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,48221.4055639801
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0
"11",40184.5046366501,0,0,24110.70278199,0,0,0,0,0,0,0
"12",160738.0185466,0,0,0,0,0,0,0,0,0,0
"13",120553.51390995,0,0,24110.70278199,0,0,0,0,0,0,0
"14",602767.569549751,40184.5046366501,0,124310.408426276,0,0,0,0,0,0,0
"15",120553.51390995,0,0,110804.610418218,0,0,0,80626.6022517402,0,0,0
"16",160738.0185466,116273.507498946,0,244758.243165584,0,0,0,156715.605114036,0,0,0
"17",120553.51390995,120553.51390995,0,152178.005724592,0,0,0,221609.220836437,0,0,0
"18",40184.5046366501,121900.923335637,0,82937.0131199026,0,0,40184.5046366501,80626.6022517402,0,235796.649495136,0
"19",120553.51390995,272731.519634542,0,107047.715901893,71605.1866221964,0,71605.1866221964,0,0,202904.007632789,0
"20",200922.52318325,150989.115054869,121674.467969975,110804.610418218,0,0,259483.880743339,192362.510361242,0,0,0
"21",160738.0185466,120553.51390995,0,148421.111208266,34715.6075559225,0,0,147694.189484492,0,0,0
"22",80369.0092733001,232547.014997892,0,189984.729021795,26789.6697577667,0,40184.5046366501,110804.610418218,0,160738.0185466,0
"23",236827.021408896,267262.622553815,0,328403.306728789,0,96448.7555813088,71605.1866221964,76089.002862296,0,80369.0092733001,0
"24",0,638672.067775397,0,376022.341020109,133110.463935886,0,71605.1866221964,0,0,160738.0185466,0
"25",200922.52318325,562583.064913101,0,144664.21669194,0,76089.002862296,0,76089.002862296,0,80369.0092733001,0
"26",241107.0278199,964428.111279601,0,96442.8111279601,26789.6697577667,0,151974.195895496,0,83539.3843925625,80369.0092733001,0
"27",241107.0278199,1326088.65300945,0,72332.1083459701,26789.6697577667,0,0,71605.1866221964,0,0,0
"28",361660.54172985,1763838.1976016,0,96442.8111279601,0,0,111789.691258846,116273.507498946,0,0,0
"29",265564.207311353,3415682.89411525,0,24110.70278199,80369.0092733001,40184.5046366501,0,228063.198757792,85732.2271833856,0,0
"30",120553.51390995,3295129.3802053,0,48221.4055639801,241450.485124487,74900.1121925726,229133.200360544,76089.002862296,0,0,0
"31",248694.311912135,2040849.72364714,206669.960363742,96442.8111279601,187527.688304367,0,312712.214442097,187878.694121142,0,0,48221.4055639801
"32",80369.0092733001,2169963.2503791,48221.4055639801,167570.176928611,152970.599504407,0,303948.391790993,0,97282.9605345646,0,82461.4568520132
"33",120553.51390995,1683469.1883283,48221.4055639801,206285.741093336,263378.913032718,80369.0092733001,295184.569139889,219299.376106689,0,0,0
"34",286654.750366636,2517119.32593833,0,147676.073055239,523904.4884581,40184.5046366501,438394.942384282,165335.062469531,57859.3459265376,0,96442.8111279601
"35",273151.491403587,1603100.179055,96442.8111279601,96442.8111279601,294686.367335434,40184.5046366501,375553.578413189,255000.064503239,49061.5549705846,0,128848.00781572
"36",116273.507498946,1402177.65587175,0,319848.577865312,553819.242261997,80369.0092733001,626273.636505425,439077.139173338,48221.4055639801,0,48221.4055639801
"37",185195.198038052,1849834.62271159,144664.21669194,120553.51390995,300049.585245519,85996.4251099908,518763.951657582,259483.880743339,131760.789956543,0,96442.8111279601
"38",200922.52318325,2089594.2411058,48221.4055639801,136468.797008647,456111.300491207,120553.51390995,976605.748568054,398210.437747632,131760.789956543,0,0
"39",248694.311912135,1607380.185466,0,328709.021472432,541500.070370006,176817.764854609,1220922.78119621,478579.447020932,96442.8111279601,0,48221.4055639801
"40",361660.54172985,1607380.185466,183401.671542013,257022.310918597,670111.621041415,257186.774127909,1123026.1266207,562500.974843048,0,160738.0185466,48221.4055639801
"41",160738.0185466,1125166.1298262,96442.8111279601,192885.62225592,403807.659535568,343486.366358679,1364390.74741904,346952.26573013,133953.632747366,0,0
"42",281291.53245655,559373.060104848,254891.365927722,430050.817010871,187871.145608954,206549.939019941,759055.740161101,366789.755762086,116939.286273991,0,0
"43",505036.982242395,1004612.61591625,337549.83894786,288123.690838561,353972.382065639,306767.76109348,1082841.62198405,746827.150415375,215300.174349105,80369.0092733001,0
"44",160738.0185466,723321.083459701,385771.244511841,462356.939476154,233683.066082294,120553.51390995,836605.380131914,667021.448864158,374553.400548184,0,0
"45",440395.298114293,723321.083459701,144664.21669194,293085.327900206,348952.621460141,85996.4251099908,719686.474840832,447416.358013826,179982.195520523,0,0
"46",522398.560276451,964428.111279601,91021.4696740215,161784.242335957,323438.650262268,400053.784424117,840239.988750782,396749.800639115,0,160738.0185466,34240.0512880332
"47",281291.53245655,884059.102006301,144664.21669194,184690.202572627,214660.81536672,166365.434383291,1407952.26769612,921458.205645314,556728.43885953,0,0
"48",415938.11862284,763505.588096351,144664.21669194,168774.91947393,148849.111849366,120553.51390995,786162.447430794,884761.113639852,334432.303413919,80369.0092733001,48221.4055639801
"49",375753.61398619,361660.54172985,91021.4696740215,239902.285274581,133631.311276907,262814.1899646,1537269.60425717,621789.820265325,407261.103861907,80369.0092733001,48221.4055639801
"50",450759.405349405,918299.153294334,337549.83894786,216996.32503791,297618.964320751,177120.931975388,1887213.91150611,590074.746304418,303225.244323314,80369.0092733001,0
"51",531069.055867767,562583.064913101,187464.280801982,136468.797008647,80369.0092733001,262814.1899646,906715.961340744,687450.553538904,85732.2271833856,0,48221.4055639801
"52",394847.575567557,767048.482292127,326707.156039983,401686.527610537,126180.929746641,136633.260217959,1276325.08640532,521107.76469218,228203.601084503,68717.880710011,48221.4055639801
"53",239472.774931043,80369.0092733001,289328.43338388,167570.176928611,251833.463640071,120236.476398024,1381321.11669431,512819.498308965,371558.056555298,80369.0092733001,48221.4055639801
"54",377750.195460107,606310.463745527,351334.177055682,216996.32503791,80369.0092733001,45811.9204733407,1144188.38054178,650000.497442618,235796.649495136,0,0
"55",104826.188764752,297674.445885338,144664.21669194,216996.32503791,152970.599504407,45811.9204733407,1615586.36177916,443948.760227133,152257.265102573,0,0
"56",215015.59543959,315056.027476694,297691.430037763,353465.122046557,114609.060561333,183247.681893363,1164059.83887858,415421.045537913,457179.981104326,68717.880710011,0
