"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"30",1792452.38095238,1563977.58041807,910571.428571429,581142.857142857,361571.428571429,587000,596428.571428571,798571.428571429,371873.06336147,738195.238095238,664833.333333333
"31",1188142.85714286,1634547.36633091,822357.142857143,713857.142857143,227000,579714.285714286,396095.238095238,600238.095238095,366601.666844748,309728.571428571,550214.285714286
"32",1647404.76190476,877359.200693166,707000,530523.809523809,344285.714285714,584952.380952381,502095.238095238,609595.238095238,423468.85350999,570933.333333333,565285.714285714
"33",1092357.14285714,685161.106899166,557523.809523809,330047.619047619,348619.047619048,456238.095238095,278190.476190476,425357.142857143,515957.901485201,333176.19047619,284738.095238095
"34",763142.857142857,646219.538611502,736595.238095238,505714.285714286,277666.666666667,418714.285714286,279809.523809524,376571.428571429,342853.759304769,371533.333333333,317357.142857143
"35",822357.142857143,522513.26762699,617142.857142857,261666.666666667,307000,426095.238095238,181857.142857143,316571.428571429,269959.397371514,194257.142857143,222928.571428571
"36",166666.666666667,302465.070941189,358809.523809524,197285.714285714,126000,335380.952380952,187190.476190476,233190.476190476,196053.353278484,174204.761904762,81547.6190476191
"37",290595.238095238,82093.0358496696,280690.476190476,118047.619047619,141761.904761905,158809.523809524,216571.428571429,123571.428571429,87696.8693236457,140947.619047619,160190.476190476
"38",211190.476190476,0,142976.19047619,136761.904761905,132333.333333333,265571.428571429,165904.761904762,126142.857142857,122147.309185454,91804.7619047619,194047.619047619
"39",85809.5238095238,82093.0358496696,317357.142857143,24142.8571428571,117904.761904762,70666.6666666667,54714.2857142857,180095.238095238,161975.638422908,45828.5714285714,31309.5238095238
"40",276357.142857143,82093.0358496696,224214.285714286,58000,24142.8571428571,158380.952380952,113952.380952381,91952.3809523809,26995.9397371514,3571.42857142857,62571.4285714286
"41",43404.7619047619,130992.635113181,129666.666666667,7190.47619047619,0,120714.285714286,54619.0476190476,24142.8571428571,7081.77511842433,9571.42857142857,115071.428571429
"42",7190.47619047619,0,108642.857142857,28571.4285714286,0,144857.142857143,0,6333.33333333333,80987.8192114542,18333.3333333333,6642.85714285714
"43",75166.6666666667,31196.4330842269,12000,0,48285.7142857143,48285.7142857143,0,6333.33333333333,80987.8192114542,12642.8571428571,6000
"44",22833.3333333333,0,100642.857142857,0,24142.8571428571,48285.7142857143,0,0,26995.9397371514,6642.85714285714,0
"45",86809.5238095238,0,36214.2857142857,0,0,24142.8571428571,24142.8571428571,30476.1904761905,53991.8794743028,6642.85714285714,0
"46",0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,26995.9397371514,0,0
"50",0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,24142.8571428571,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0
