"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"30",1834803.1289644,2239584.20901705,1404780.03591419,721854.913113551,439787.166260373,919781.902117294,855136.153128994,1251223.11480172,626714.327264566,1023859.75685923,677592.303673299
"31",1215213.94425054,2560087.28022196,1189412.99718969,948211.539781538,266256.262372985,784361.279234024,531563.861645671,777574.039800024,587838.450173336,408391.709926835,621029.511459339
"32",1696656.50516185,1405661.89328265,1000883.54782107,612412.633692125,372436.258570541,790092.369224646,639538.646171824,856434.661147679,676378.33888901,718417.868465591,727642.654524104
"33",1212168.62029629,1037561.60811718,770824.298406447,367564.778799474,387057.283486742,564314.668910883,373263.212794615,550812.311394037,806615.382966273,405210.0190099,389284.105523521
"34",790156.483995885,957000.823773064,903524.7606827,593025.809857562,294322.949869873,540042.351856594,349623.024440894,434978.478941911,484964.364083319,502767.453717723,371951.735068381
"35",839163.664728146,736133.381460373,787684.30696322,304103.989901715,335985.081182663,566434.341288802,254527.897831504,402710.169125356,417399.064917373,239836.941233927,270052.931581642
"36",175623.846217647,377585.533744834,455898.955249393,224382.401140606,132131.832054415,417432.525989889,218874.226090931,258928.160074958,302575.446957628,199713.079836128,80097.9841725464
"37",294503.281187614,82141.7892054717,325818.80752768,130659.980371566,144963.104413793,194749.454675875,250220.27448433,160455.221130031,129822.260293526,182366.343375799,197912.375855398
"38",222908.160413724,0,159177.229466067,183852.019611193,138851.469267144,348626.094644104,177583.672709942,150314.562323206,165028.282378416,108824.308391417,248014.993775643
"39",93944.2576761257,117889.526451026,398101.243096219,25466.2444934173,128452.334018613,79695.9722916055,69368.2783250919,217379.599772903,191437.795310325,64450.4744702749,33025.7509949149
"40",304323.550017862,89585.6364293989,290945.80414402,71959.2809439633,26346.3666556025,213754.993816563,137010.126176228,104467.189554385,29459.8490277679,3897.39151710096,68282.2993796089
"41",49220.2163826505,159470.0194488,158345.289850725,8153.87018516756,0,158466.944700893,63352.2128864411,27377.5641316553,8030.6051319193,12194.5420075052,148109.745715559
"42",9491.62277388101,0,128515.140425163,33797.53857335,0,187905.037523543,0,8360.17105249123,103204.610144972,22555.1372532982,7857.92771830387
"43",93057.6701693894,38621.7389855443,15405.8377072786,0,59778.5730451447,61990.1564888117,0,8130.85878995262,101500.829228031,16231.1504415971,7428.1067097517
"44",28875.8715452869,0,127839.68619962,0,31366.1383911725,60296.9861576464,0,0,35072.8323820515,8295.29543293064,0
"45",113117.462186112,0,43991.9344187255,0,0,29327.9562791503,32985.0753675904,40678.6023599513,73766.1745318588,8069.52643183723,0
"46",0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,45602.9153549794,0,0
"50",0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,24884.4205585051,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0
