"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"30",674309.523809524,561976.19047619,248285.714285714,1089780.95238095,466833.333333333,767142.857142857,638857.142857143,777761.904761905,669428.571428571,697214.285714286,331342.857142857
"31",809119.047619048,451071.428571429,244038.095238095,592219.047619048,467416.666666667,536190.476190476,243476.19047619,390285.714285714,223352.380952381,641785.714285714,353409.523809524
"32",500523.809523809,446166.666666667,196080.952380952,431533.333333333,355666.666666667,669380.952380952,339571.428571429,523333.333333333,264514.285714286,816428.571428571,249409.523809524
"33",423547.619047619,192357.142857143,110400,447409.523809524,254297.619047619,379333.333333333,290476.19047619,325952.380952381,326495.238095238,581428.571428571,304661.904761905
"34",355190.476190476,211880.952380952,170423.80952381,198361.904761905,193523.80952381,358904.761904762,228666.666666667,248380.952380952,73190.4761904762,213428.571428571,238428.571428571
"35",351928.571428571,126047.619047619,108538.095238095,364485.714285714,155178.571428571,289000,165833.333333333,182047.619047619,142609.523809524,148214.285714286,167676.19047619
"36",194857.142857143,106285.714285714,71595.2380952381,127904.761904762,140285.714285714,97619.0476190476,223571.428571429,177285.714285714,141819.047619048,130285.714285714,50590.4761904762
"37",159238.095238095,182238.095238095,26047.619047619,127628.571428571,72190.4761904762,126285.714285714,126666.666666667,103571.428571429,96514.2857142857,40571.4285714286,35400
"38",50523.8095238095,75119.0476190476,67328.5714285714,26190.4761904762,56952.3809523809,96095.2380952381,111476.19047619,160476.19047619,65257.1428571429,44428.5714285714,99342.8571428571
"39",55071.4285714286,63000,11690.4761904762,71228.5714285714,24095.2380952381,34428.5714285714,52571.4285714286,34571.4285714286,35304.7619047619,54714.2857142857,12333.3333333333
"40",22761.9047619048,62785.7142857143,12976.1904761905,41400,0,28476.1904761905,120714.285714286,70714.2857142857,33400,54928.5714285714,6000
"41",37976.1904761905,24142.8571428571,0,0,32190.4761904762,8857.14285714286,48285.7142857143,101000,16428.5714285714,19714.2857142857,35304.7619047619
"42",23476.1904761905,10285.7142857143,6333.33333333333,0,11619.0476190476,14904.7619047619,30476.1904761905,8857.14285714286,6333.33333333333,0,28971.4285714286
"43",44095.2380952381,16142.8571428571,0,0,4428.57142857143,4428.57142857143,0,0,0,0,41285.7142857143
"44",24142.8571428571,0,0,7190.47619047619,16095.2380952381,0,0,24142.8571428571,7190.47619047619,0,0
"45",37000,0,0,47028.5714285714,0,0,24142.8571428571,6000,4428.57142857143,0,4428.57142857143
"46",31333.3333333333,0,0,3571.42857142857,0,0,0,0,0,0,0
"47",0,0,5357.14285714286,4428.57142857143,0,0,0,0,0,6642.85714285714,0
"48",24142.8571428571,24142.8571428571,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,24142.8571428571,0,0,0,0
"50",0,0,28971.4285714286,0,0,0,0,0,0,0,0
"51",0,4285.71428571429,0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0
"53",6333.33333333333,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0
