"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"30",1116790.69830322,861443.493832018,406394.106540192,1424468.77104348,786553.845634003,1305530.66321157,928194.41810326,1131375.18032788,918081.131121005,1159282.85885677,484644.78845545
"31",1320863.45432135,700528.217361524,383060.802018625,766200.028126676,717449.140810164,859148.8469632,376617.655551265,539695.510151052,324059.550929677,1086690.46978761,489621.109657396
"32",737495.866911626,681068.268437964,310390.764068546,529374.135902982,527806.966886368,1088808.37393204,524853.330441957,781643.744170316,379109.728138735,1349323.7984178,330776.430277497
"33",640109.291168704,309693.713703796,175646.680040817,586201.729180462,403078.079118644,580975.805903682,378414.564723923,477180.948324647,413480.028969893,900616.600496406,423764.86197636
"34",532349.179958961,297840.057026088,248446.848482219,246594.116846701,277058.478419338,555524.063449131,305633.696829865,369167.596632768,113846.36538136,324140.017979743,276738.082377399
"35",511201.099809496,174214.531362469,171340.223215379,400749.666463822,222221.770776919,453398.622321979,208304.173082451,256513.491750337,173294.916936172,191227.239268285,202108.025401776
"36",248525.79125165,138160.236019421,97655.214819442,168054.944482704,193954.226679142,130479.256246847,269494.511662671,257407.420922202,158314.452583267,189343.499445674,62276.3881085065
"37",214399.843457294,221432.640918051,39594.8705188694,147499.855915763,100583.298436619,183431.685031982,159717.880126959,136361.544486523,121641.271216291,55549.750558718,38760.6771018082
"38",57590.0309999907,89377.4365923967,97043.2063928289,28841.0826061852,66850.2020716947,141967.044210281,128021.491217277,219684.118033323,84702.6097546655,62726.6780368517,107418.818493283
"39",69826.6906985344,79578.6429311656,16788.0830306481,82343.7050591924,34601.9145153074,46173.3642695507,55453.1241040093,49646.2251741367,37239.9875097033,57713.4416625966,17711.2566392581
"40",29847.1587424475,87654.5849278917,18115.9456904441,46528.4867069055,0,38405.43547634,146450.362095653,95065.7347133033,45279.5227585122,76685.2967116595,8376.54736512276
"41",49943.4582216628,27377.5641316553,0,0,40099.9395159765,12022.990525581,54755.1282633106,126311.31381072,19970.4182105789,23840.006906295,40034.9626177697
"42",29141.4424433109,12754.7417073524,8360.17105249123,0,14351.5477681403,18499.4326244962,39361.011202905,11691.6677876945,8360.17105249123,0,34270.7041133769
"43",54885.1305766262,20724.5197728867,0,0,5482.65019053102,5685.48772530521,0,0,0,0,53003.4178262325
"44",31366.1383911725,0,0,9341.78875161154,20098.9953858821,0,0,30148.4930788232,8979.13699191775,0,0
"45",44946.3945343192,0,0,64252.584680537,0,0,32985.0753675904,7288.60451907879,6050.51678340415,0,5379.68428789148
"46",38878.5359531289,0,0,5138.98342445652,0,0,0,0,0,0,0
"47",0,0,8126.16418568589,5091.9754090369,0,0,0,0,0,7637.96311355535,0
"48",27009.2573716794,27009.2573716794,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,26280.538624844,0,0,0,0
"50",0,0,30687.0192590188,0,0,0,0,0,0,0,0
"51",0,4417.35276186481,0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0
"53",13347.5675327853,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0
