"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,48293.3235430094,0,63721.3909512025,0,0
"6",0,0,0,87813.0557034408,0,0,254773.945953786,96983.5105563261,409204.15252185,24887.2719004036,0
"7",0,66940.9458540698,0,0,48535.6505964705,67357.7279256344,267530.626127474,729315.467869996,659314.952699526,91080.5020243938,104160.657004831
"8",0,428669.597055651,435739.112749018,169386.327306188,555768.987807683,838858.807168743,399262.013905886,1937197.43279836,2622123.7215145,777300.31989362,188405.655394525
"9",26788.2842457371,412311.380888925,1581324.08244388,914598.117006803,1036785.91600118,743483.289346148,708959.383753501,5276118.76877612,1788052.42006188,1119170.08306617,539963.608925696
"10",572781.884909304,260312.671761261,1004302.3137364,1096994.18554668,1040673.19215222,1534710.25602099,1668153.58751915,5658607.63158338,1754980.58231707,957070.53277605,1191837.60901771
"11",388365.631249263,977467.994861375,1612666.49785411,1628662.78058431,1731710.03825298,1562786.62711713,3005671.53653695,5733681.08949729,1211870.08846257,1674736.867157,2438512.51824247
"12",604377.177939137,333104.873405673,915316.912932123,1310620.82671136,695768.47855664,1215919.35844885,1854373.0895724,2674800.26035009,1460679.38906307,374453.037102005,2324356.26519439
"13",205711.699437056,78430.1433194637,674685.062792863,307988.089151796,559672.449702586,1247848.77478172,1213124.81484503,1292316.43994815,1424477.6450386,1523711.70021707,1710747.52169312
"14",205380.566479019,187438.617026098,111586.503494072,130385.87826087,248972.708928982,438256.602165104,709696.061570259,221509.345951973,785754.236969869,26154.6792657019,896667.909638831
"15",126996.310498309,0,0,130385.87826087,185794.355384666,502669.293441238,510163.030286548,353246.048866148,424922.426342705,237660.484528073,1034420.81913964
"16",70468.0699464252,0,0,0,140463.482073022,67357.7279256344,682729.188762884,55833.7294788466,556932.681577485,231935.547849595,108043.077432712
"17",180106.564412173,0,71315.1595220712,21753.6397515528,110174.56005784,116629.841996473,400006.132912712,50104.0131262861,0,210159.184936742,100132.205198988
"18",175249.947694288,0,0,135899.821670117,72684.7804397121,68406.8639472465,446816.179235448,84457.5072747546,28673.3857296964,320061.509327611,0
"19",201924.133692312,133048.478420494,233880.322327682,21753.6397515528,118177.511189983,0,833892.004206213,113130.893004451,28673.3857296964,251465.143160328,0
"20",370690.324440456,164939.292998753,0,77618.1951690821,211076.487298301,792196.219243031,332277.661109751,46581.8498273096,270098.191043408,271439.154040712,0
"21",26788.2842457371,43010.0785945446,83555.1113119865,216851.560708535,213314.615991324,942494.274075198,220358.441888082,210617.569746345,82994.0732279967,224714.617834577,184004.571796641
"22",362564.544885916,132006.711810938,185382.948579773,21753.6397515528,147283.0754872,229680.90527963,252580.035081994,107649.216320833,355879.875807928,231751.19768737,230135.380538302
"23",152276.513556879,43010.0785945446,167110.222623973,424780.100667127,238268.536987742,414475.298081302,547197.83325628,120044.112920249,28673.3857296964,295951.1416823,247800.141706924
"24",319012.499614733,86813.8841297037,101471.102921577,188773.251621808,262734.1880443,757699.881273526,304832.071741318,279583.22798375,0,341093.887657198,193501.646928916
"25",218413.810883577,149518.312438244,268581.32554555,734752.2023333,330061.487265438,556912.821096721,210436.855130402,345129.482213597,148067.280374933,160557.469413021,504885.864826317
"26",57346.7714593928,447017.091367291,30547.0299420166,312016.540957639,571670.581944855,949776.982245526,705858.887891726,213257.420508657,386354.383876528,404085.885444066,375743.771060502
"27",152961.103043159,74560.7244839683,471523.531388705,269926.413250518,284969.803279766,148359.549695788,391664.558846192,318460.965693721,260124.515955249,191393.32601237,545150.240625719
"28",210288.031329036,278548.548221878,274614.099711435,319577.081757534,448877.436130007,891725.676643583,867800.267148931,465427.304280936,65899.1792445133,937731.665813958,198199.828847481
