"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,226656.976558091,0,240184.801538379,0,0
"6",0,0,0,330993.423743076,0,0,1073795.13084546,435373.736142309,1644164.78154659,116804.423259479,0
"7",0,314176.604178211,0,0,182945.246988984,253891.232950076,1143698.62510993,3114331.16515621,2663218.44430962,343309.396988801,443563.612457836
"8",0,1688718.80990381,1814325.33379408,701924.775053674,2229020.31105635,3816844.54976808,1599801.49594372,8257435.97520226,11246755.6123755,3174731.75340763,848733.626571896
"9",102301.438450302,1688374.58578374,6670281.83231243,3946067.43894758,4345276.07312647,3222188.07029228,2797390.24214868,22787603.6032833,7093002.8040405,4361492.30995655,2192985.69387285
"10",2370813.28113654,1150558.87992891,4454683.3608476,4694745.32634349,4589357.82332627,6271530.33075996,6592334.82216497,23905016.8407466,7145209.95204191,3766219.37717378,4901825.31190084
"11",1565145.38555898,4081107.80602057,7028799.38661406,7403441.70721271,7371168.01404758,6504285.74722453,12054384.3201672,24093491.4680202,4833492.16379718,6898962.13485634,10351990.5047931
"12",2581832.78779095,1422396.99562979,3886648.70175712,5410888.53252738,2962106.6774592,5270013.84548484,7317513.74977287,11167947.9504862,6158452.44903665,1561817.81265026,9535867.52256431
"13",856545.360661231,306713.504624468,2804454.78441446,1232339.6908151,2297592.16423086,5633855.76078881,4963040.65759921,5313535.34452963,5860818.62631533,7307102.95909371,6839925.2180527
"14",807255.76019808,801236.665692005,438594.796237234,576752.838553978,978596.256017109,1932002.47561143,3045674.43388276,953235.940004313,3149620.51983114,102801.91478354,3659138.98031539
"15",624397.659061998,0,0,514847.961339223,769220.287001075,2141685.60700861,2165288.46576288,1506149.63528256,1705961.48576659,992161.784282477,4187108.43689092
"16",279386.104489603,0,0,0,693421.937855448,267054.472000169,2827467.16096674,249234.193676343,2237416.57335226,1032274.34734443,428360.455223811
"17",716549.060874984,0,283725.419717328,107763.091720428,438326.486318917,464008.649686521,1644393.72878635,227303.268456572,0,1016812.57920777,419590.079522835
"18",764638.805143573,0,0,608636.41093352,316574.252536957,272912.439208312,1958898.33476425,364990.90966694,142437.501989966,1298874.86745419,0
"19",860558.57301446,662125.25114447,1034569.79324825,108258.541208424,543544.71238856,0,3862106.25112911,508346.277107097,142695.151066929,1118672.92837595,0
"20",1634793.12056569,736387.452452841,0,386439.148254216,977766.934921715,3493841.77664729,1471353.52161316,210910.975591328,1203730.98209923,1218164.93346953,0
"21",106968.251430394,171743.470352133,333643.770281309,983179.009510548,896319.448906437,4143452.28054378,879912.912692241,918326.772483948,331403.490079721,1014652.93986497,734748.336986803
"22",1495926.53585749,601761.438817033,737641.033222918,107777.706016198,630417.300219391,913903.147943172,1133259.48487418,533344.567714126,1550660.19896186,990519.46192441,1056852.02599242
"23",602211.391213976,170092.935946872,660874.597807692,1869991.98974742,1102819.59142585,1639134.88725979,2457767.54262307,591124.050594196,113395.290631248,1320602.94711026,1034878.76834675
"24",1444882.75242422,382291.409393913,397648.173397266,798751.56783656,1029611.06124543,3255912.32467387,1357613.21723157,1257535.36012992,0,1534206.54893231,779199.153504339
"25",872485.593435894,578649.673582537,1039434.52693455,3292597.07709246,1320529.82438925,2555865.33606458,814410.058174228,1557056.52465316,686309.441553928,726313.966345201,2145652.52212733
"26",271872.458816139,1826183.57306293,116306.372683098,1388632.36811598,2410201.98493373,4376028.15364523,2837641.67689781,912493.369493651,1551773.48528555,1768461.42845457,1450931.44302755
"27",710515.908057943,278151.365954044,1759034.87047585,1203401.35422851,1154431.18922328,627539.934484145,1564286.16133397,1318904.15995769,1129181.90512928,865116.965561813,2199282.93617945
"28",814455.840373535,1014251.61205093,1063584.34216411,1366079.49724694,1817956.78689158,3634960.17836946,3332877.43634224,1896450.87494949,266893.464781656,4162512.75985652,741103.867104943
"29",1340649.82997368,622405.426230775,591892.810898516,942757.225481475,1798465.70605435,627960.693617653,1485773.25657927,1369227.41356723,1210092.26178436,1617442.37794676,1388562.15491734
"30",1119316.7992553,2289440.77783175,984150.925225333,1401746.31462372,3354167.5617132,4420964.46555141,2635997.29380897,1487808.66672464,2328634.39847717,732128.63388537,2484867.93141741
"31",206504.514464977,2103370.16891387,277654.98330757,1408129.8740433,2512954.14403246,0,1209003.07853266,1993321.70043437,1074890.68930337,1387789.88779682,1071112.89487126
"32",942787.809124234,2119232.56822251,1120809.78316383,779209.487359398,3006271.15446255,1277800.41556291,1967123.35708964,1407458.2563817,584933.140269347,1289385.16350782,1548944.58752095
"33",881774.696148495,531806.080903799,117574.674074064,112026.512642395,2119057.79235278,1425971.6405147,2164578.28420809,2124234.7762745,787901.405509992,877839.433304363,1792356.66119836
"34",0,1210746.28274369,392757.665540689,1399651.08560603,1558120.39994269,758372.145602972,1157667.81650151,2564076.33900737,533137.014978656,985172.371309458,2316311.77942044
"35",177780.37636209,656429.909315956,87388.7871538048,591553.612499783,1046248.70611029,1377218.98369546,2356252.56366914,3379065.04078425,510024.242074327,2398814.02629715,2842259.77054375
"36",172534.661392752,730818.634420027,526081.564390697,1109614.43361154,1249528.08578564,1327461.8034032,1297799.64924958,2609689.38544829,890937.816481763,1312548.99027948,1636008.48898637
"37",745355.549864605,1279052.98026733,455591.669144975,779063.202163942,825399.179885175,1583635.95598237,3135176.65771704,3214408.45192577,2333664.18990028,427304.685754399,3388531.42423886
"38",492822.502392608,410918.489712733,413325.513049645,685897.937243345,1002373.88674225,1142734.68641589,1799313.27927489,3188529.014191,1602446.76386884,2100442.08229042,2348360.03043707
"39",0,982364.073190507,793226.783402982,1085692.33438563,424307.664431699,2803905.54357747,1230096.73238965,2989900.51098082,1842421.73818876,2138100.70788744,1349091.13751102
"40",416507.603000989,837951.305373073,371349.411349023,704059.622359264,899217.339880978,2017357.32759832,2177304.18349621,2855491.30777758,2076581.35981244,1139622.18726971,1561779.38152523
"41",504547.673906654,805709.991583903,769968.762453432,270267.570885572,541068.751773243,1162135.98592694,1568784.85819436,2590262.23221625,1125379.43451,3151682.39973752,1384342.78678702
"42",246322.01969152,703321.183670905,659113.186692973,306870.378240832,889751.335945055,1688327.99019527,1557836.3530378,2440259.35331322,1712055.70479315,676690.74514308,1697749.39575505
"43",755461.492376897,494439.558670578,1391913.39202516,794022.90322885,749275.231846349,532191.626272408,535995.685861678,2919502.75766261,2648338.24989447,979855.038606786,1104545.91163105
"44",625590.620576062,712482.563111084,1605786.73124983,533942.427743533,271155.871573925,285841.360410785,1095645.77160894,1891247.93289724,1883465.07069174,515080.415001436,890945.571626972
"45",153100.82982859,853433.535182723,679995.384391099,744210.282375382,814353.099509119,965545.116335798,175694.276199204,1857128.23313014,1927359.37514335,2253538.36701545,1803309.89816644
"46",210384.602810986,304595.805436285,728737.99765296,699980.439089582,166179.574908817,1318301.5461382,592892.397301321,1258739.74669411,3256472.88540599,2792336.53233097,1206987.01546901
"47",440097.755540538,784209.542423256,2071654.69639921,642540.114887333,124937.449314995,135738.091622124,540658.78273864,1630570.86330489,2776882.66869207,156837.429279794,724838.740854889
"48",687165.420552175,516108.614887772,619272.770019794,564467.03038064,851475.77322381,881488.333084285,1081084.99929909,1357704.99739357,2756872.85571183,1005812.54882997,1201801.9137057
"49",347761.432205258,208071.790100153,604105.584586152,1018373.52400773,140401.879555277,685489.143345651,509507.156539233,1497609.8772051,2958820.86557255,1326588.90275237,836027.418178676
"50",544281.790383655,274447.297934708,422442.797142652,1066297.69893822,465833.615415497,130509.742075884,1220849.72468581,1098700.47273041,3668060.04665343,1042763.38494448,1553084.49828097
"51",210956.884040464,451178.847759145,952624.557018017,666537.306018872,225950.012690774,128880.504955487,818946.436609426,1143208.24684495,1815324.68151651,1388020.67336488,1017554.5774604
