"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,99455.3323583436,0,0,47791.0432134019,147707.622854967,100927.341292504,50463.670646252
"9",0,0,0,0,351086.220603584,77618.1951690821,99910.3786498418,28673.3857296964,426032.935374797,0,47814.9613243356
"10",0,52286.7622129758,27569.7170462388,66940.9458540698,358484.788785715,0,0,105161.732783728,435686.63929002,147583.603020496,140098.120154211
"11",98393.7932454535,52286.7622129758,163404.076374511,78430.1433194637,691225.048670175,230269.182687568,124088.045379964,73490.6104836757,87825.8859789871,35717.7123276495,209152.363987666
"12",72477.1912648555,0,0,281177.768712663,297020.539818601,242261.02047389,258528.026343223,96331.5205693928,195370.925638864,210734.502733132,19830.7715319137
"13",219366.283212314,196539.546821965,139321.487922705,109028.31688015,949285.197181624,421371.023326432,249540.663281494,118761.393489435,0,658123.653603836,285178.294230314
"14",168808.711834248,67284.8941950027,163404.076374511,385453.645535884,460764.858018444,124572.678431759,55833.7294788466,159501.90911316,222184.013851495,187245.146084324,274679.129386382
"15",496234.36267711,115784.91746213,275999.304347826,614592.691704514,652269.720911837,585175.786782346,207715.859962108,54426.9902135611,166070.826345641,434342.264284355,286270.200287235
"16",337131.088746178,300815.423645186,233423.604324822,593405.143183487,747314.702252734,911536.493634362,516815.454207573,91303.402137554,212315.755622637,683870.171240017,501368.960995401
"17",364170.956084699,212007.773033701,210247.417529331,739217.742967737,366760.074276874,464901.322554142,373423.721592197,118942.108105378,69451.1073037629,183301.315348146,194004.227062993
"18",285626.891688714,171858.418620954,127379.646100759,537420.46384897,512543.261467497,159728.114101679,253831.395211806,211087.073405414,64291.8821897691,349487.893539293,460453.754576264
"19",186222.868305898,198067.94363916,102448.564987348,276212.014540444,332610.054343516,437752.434848335,199547.913663847,185264.37215663,106379.253215849,383221.288515406,561144.217984929
"20",17858.8561638248,264307.76402902,146106.911433172,90658.4989983048,428083.267241297,670237.266029117,244820.468381527,389771.307487396,55784.1215450582,390464.046848513,139750.510275308
"21",177889.621285407,104573.524425952,0,441181.07229947,211686.721739838,401938.778927996,386860.38480117,281055.166247729,0,503545.331919175,408456.31291999
"22",0,0,118937.162101942,333538.942826321,331893.923868319,425440.479016727,80960.1479426722,499679.988021098,0,540329.614823276,148718.384505906
"23",75932.0295108335,67284.8941950027,0,260573.467756034,132050.119441528,189229.329915541,212768.428018457,435233.435380625,0,377392.356295269,192662.686796401
"24",48040.3230806886,67284.8941950027,118937.162101942,109028.31688015,74768.3617952077,0,163513.064902336,242540.275139182,84174.7420521607,183301.315348146,95280.8954002313
"25",214067.09285656,63498.1552491547,148627.211594203,95634.1747572816,108491.596899913,184495.899043675,196124.966232448,508093.316420419,160015.35122787,378384.514971037,202623.605558728
"26",0,168071.679675106,0,290742.178347067,101929.237636295,54384.099378882,192620.520052681,641544.859302944,115308.681297762,403114.069964555,95247.232873732
"27",0,54618.3351010307,63689.8230503796,320387.879579016,77428.89501518,178863.260179434,121341.006046432,610178.471453306,92925.5815724348,712022.673664935,237981.660366412
"28",144061.43972152,256787.201266699,203011.310973085,159355.565708484,65775.4991006196,136154.477373558,115078.004405646,264854.986784358,0,504314.254892896,459939.072263209
"29",201047.667804986,229651.661484443,297017.391961616,142151.534270666,184414.447824832,29105.5642972165,269716.918638005,311998.469290629,246243.86173887,426107.34727548,408166.992363288
"30",246530.170385306,215529.936332678,163404.076374511,273508.382148976,293287.980978183,337803.668079792,343935.348378834,509612.559392689,216955.337630198,254476.298351056,404644.829064312
"31",395358.401030315,0,148627.211594203,33783.0029099018,150734.614567108,106149.705083966,308504.653382389,434253.678688304,98645.3763382376,577361.937396318,286850.790283751
"32",73642.9777088829,95148.0170061552,76590.9399585921,414295.698240461,168355.764441639,53074.852541983,293313.109515651,390417.982338567,198530.951021185,467443.158104666,304578.185423037
"33",145928.824086269,194380.420560889,218651.415426074,217158.73015873,233219.824755645,96682.8433402346,264403.200244499,675398.022004918,224162.130211308,205500.865718456,515486.670266812
"34",174244.32400792,215811.047957479,251075.77658155,164723.144144389,604045.205366462,376689.018502087,95629.9226486711,661298.561366294,560440.671181094,456008.529366439,408836.699469432
"35",192798.577100743,399065.117654397,306323.115633113,186937.576894836,332523.250649553,391157.634782609,481306.803886603,577844.37455241,660767.756474758,209147.048851903,743651.274878884
"36",100601.346299037,119571.656407979,161528.328502415,436450.601470362,541741.854024371,130975.039337474,227117.522866752,247915.649107539,431662.195661436,0,509349.991685995
"37",214409.033257316,257517.619034669,191069.469151139,428056.939073364,88301.0576840716,559965.591508101,410641.188060985,695767.216789628,203349.94838928,408868.59028401,531543.695406965
"38",167940.572992951,609477.641274417,283502.295836209,248684.57208126,137106.434614884,595033.264477965,571326.600737382,441414.938273044,705252.844300611,768823.757852656,486276.987338625
"39",350225.811554395,186856.550602981,395284.280101219,94205.4662641756,177350.797228576,304266.806796148,280314.945007129,483690.642276328,624924.370714845,0,893323.371911872
"40",347485.859068547,100101.723537311,417214.164619278,61414.6220300418,119485.284740353,533665.556147097,512833.886007477,613500.431305208,449468.136695887,376499.413487078,502199.716715165
"41",221114.077022395,119571.656407979,196626.214860824,276825.026865115,204173.138663207,659234.557034408,119685.341256244,629880.793870947,668335.446774179,383283.298432642,687300.205519101
"42",55404.9751939611,285395.624225958,227093.899424891,93729.2300998069,349211.260813979,304266.806796148,587388.941013299,308856.33819871,280140.136097589,432494.368750737,441589.451897264
"43",307776.479782852,132775.634784658,308734.791468665,66940.9458540698,306525.544307572,197512.833941306,327511.578871031,348331.851510831,466258.35528602,519643.106433512,672242.4259024
"44",75695.505969378,122901.529906461,230726.699714089,230342.392905382,214730.637941482,873976.216109632,192694.931953364,248642.936851116,438406.807659418,517708.397015764,624891.298758986
"45",290308.640439995,242012.30498672,387028.47168162,363472.370074243,492936.477093558,409510.1102238,530915.623530966,857553.748424936,547943.605860899,455946.519449204,650745.890822348
"46",101465.941716492,404878.695037886,126030.114745802,274920.08220764,80054.706757567,119770.907752473,352989.682151178,311187.911086765,755734.704522586,925150.759203358,317487.232821931
"47",147906.054590121,440289.310632559,102448.564987348,299899.802924406,114852.137575067,550477.868138946,216866.397691763,331812.409559293,444772.332363366,851706.213229628,325628.249098992
"48",17858.8561638248,124955.298365301,124680.583390844,443463.037253736,264903.173052215,87813.0557034408,605463.060175526,439302.171807234,270817.978539852,819113.800730648,459992.755134416
"49",251366.058073715,53229.3129549554,376650.172716816,226003.824753202,135316.108426893,87813.0557034408,242867.155988609,488957.58747512,447374.681890016,623398.099951955,472175.400645695
"50",89634.4495079585,264717.383825159,436678.780505439,465930.470466504,175875.134431201,423836.291958329,195343.64127528,244943.602360038,418832.343785411,1176935.82714639,472446.47256961
"51",0,103010.874511617,265351.602668507,663798.80122923,55749.6724478692,350072.461927766,239549.62541651,248860.857417401,560565.104415013,578354.096072086,143574.218943241
