"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,418186.757586224,0,0,225780.961772226,697820.489089715,382937.519169936,191468.759584968
"9",0,0,0,0,1548806.98516904,369081.352403843,430497.382146256,136344.473870592,1953535.61432545,0,182599.948472007
"10",0,200945.331124153,131928.978802363,320331.565673307,1377707.12005649,0,0,503228.959222745,2044363.35716556,665707.954168448,622865.404751387
"11",380458.599963397,202176.861893542,631833.412201853,303265.292840314,2809118.59750734,1108657.10024126,552292.575124652,353828.880455703,402533.162642574,138109.431274526,893694.318156611
"12",299905.621879375,0,0,1361672.81413033,1332457.68489269,1173208.84582406,1144578.92801715,395378.02198001,851935.716911018,944902.55166839,96035.410629605
"13",955906.199356335,936190.343083909,678406.054651769,518056.848329871,4280255.32206763,1977393.47348475,1067365.12800815,490117.136992552,0,2915693.97315956,1260327.38398319
"14",744838.392483737,329299.522168301,799717.156640421,1834826.81920427,2072255.13016995,609672.1110078,245627.430674028,728994.674749068,1036742.78551102,878181.187856929,1225512.33886448
"15",2211660.65348908,518660.858160508,1356994.69426568,2900153.88370141,2813136.344052,2633605.37137189,941438.01912704,214913.036036138,781458.389421684,1816293.18297652,1264247.58051317
"16",1568671.1339095,1434206.45427871,1077892.76262321,2816546.76375614,3359954.38331585,4452969.86530982,2458771.95634689,398660.994943696,1018798.02156278,2956847.47035034,2123922.95941028
"17",1673235.17799856,1050243.23983501,941602.340646117,3531863.75580377,1587597.85796873,2196033.53873486,1776067.56669975,536131.025530875,318258.064145602,873200.995284334,914608.931688645
"18",1174455.36259507,802582.98113543,632769.313188122,2557798.68163485,2309939.46433481,793463.101451899,1136952.4449555,999237.740232842,298415.465876718,1588202.57544944,2067178.89994601
"19",784790.005059507,985699.261522305,409462.747798468,1335217.77522397,1415881.94726974,2006426.5007971,993064.43800471,921981.37399695,529403.948006787,1907128.10033223,2544914.66096646
"20",71408.4315602038,1185029.03450834,684629.968695544,389120.352847585,1963268.75661552,3289536.99782066,1093470.53848199,1861785.59836691,223052.17024847,1944010.59389923,594787.08702643
"21",847714.199493818,468756.320294678,0,2108870.76972041,1016323.54795843,1951120.53474704,1827454.0003541,1315358.48108004,0,2330071.57119311,1815424.1994863
"22",0,0,473252.431324479,1652507.92674006,1568829.29809177,1970401.24780177,322141.424741742,2336599.97524695,0,2326844.83368052,690202.403779517
"23",321139.277405758,331325.862075181,0,1283122.01231937,650244.31091911,799805.648074468,997027.249351752,2023821.98903685,0,1743008.64014231,848828.18224242
"24",217257.33998063,263678.175396885,466094.719552266,519139.578648736,364834.750051708,0,707304.564725011,1110320.94950288,329866.64636036,860110.885068124,464926.351512952
"25",942796.309202916,305987.831345612,655785.690361866,444523.972356405,449158.049626188,805744.365782128,895488.751094187,2194757.76138544,750756.948543402,1563597.52306476,840862.707900115
"26",0,747998.336731262,0,1315882.62808768,462813.623151617,257826.873987274,913185.050744272,2861004.3815265,546661.196602277,1683149.23896493,407101.105015672
"27",0,253706.303032949,295844.051581674,1488225.96503905,308856.332761056,786623.1732737,515819.770378164,2609355.00324978,374264.293190407,3013320.66739767,953549.118773371
"28",604568.251348532,1117559.67292406,863569.357640507,665612.860175413,278689.713134343,617303.097691196,479234.86243592,1124614.24953125,0,2241579.88951725,1847459.02317993
"29",855653.676956902,967417.036637116,1147208.49095501,571592.13720746,722695.060120827,103089.888782158,1023043.27858144,1328727.47151329,1030039.21773179,1690846.03384676,1740152.38002056
"30",931577.493361951,897725.274438575,698917.240622827,1169858.96545598,1121676.55795825,1444864.85774981,1383028.16446448,2076070.103775,914683.746647903,1007962.85802072,1579855.53673183
"31",1539354.10532142,0,545774.764402353,139782.377356836,605867.86073129,395973.967810867,1276485.51522924,1635045.48812098,362716.57877977,2388923.9337262,1072067.30203729
"32",280094.377834968,380031.654719828,245683.340841072,1654742.62837704,609478.327813528,211986.80403645,1092826.02891641,1529704.91194802,677420.957574118,1763768.37514492,1087175.56704997
"33",451090.991717358,691474.705282816,675888.978360049,759298.714251916,818572.736691281,372129.59216851,945502.155673055,2211867.97451297,862793.844421871,790967.153096339,1877969.06332257
"34",551068.256683197,706746.713951994,883623.440644734,610193.291307419,2156564.1651407,1354092.33306139,319374.532218929,2226131.10602401,1938788.95794953,1472524.31395091,1462042.42259359
"35",582988.591344413,1351313.73203444,935896.255435444,647106.649711322,1036562.6356867,1299202.14542364,1616683.928649,1871944.22868452,2212940.26117641,745006.708968983,2432329.35144004
"36",306847.085677565,374157.760757086,553061.950238026,1413816.27225211,1854887.05968874,448449.577607078,766248.012058106,784074.089523138,1309208.92796085,0,1626061.22238311
"37",624845.370036122,745759.943741659,546337.837853258,1343447.3143231,233411.553118583,1677215.30021685,1194326.39182022,2220211.86429508,634529.886107711,1313145.32594517,1594488.78930233
"38",496899.687591898,1864143.74729383,720810.84197216,778942.450884956,379016.508693328,1798904.18465663,1542233.86718228,1292533.99617832,2148993.39891441,2227177.37594962,1390120.47931932
"39",989523.890614347,529226.423922162,1128525.29370474,268743.9834505,492585.158115829,842962.35872545,727711.938919651,1474471.52798467,1728835.25424987,0,2419144.88738654
"40",898288.403434294,294296.598049077,1189733.5112894,180557.473889791,310371.848916884,1422476.23246994,1343435.65826925,1748322.27480795,1165656.97384344,1010029.73310801,1377966.729214
"41",597063.388722835,310498.733480631,541253.565137369,723185.38360535,493218.240094831,1585150.28076578,340072.190971864,1648794.46189156,1758940.66981114,1035584.74962227,1723057.99645562
"42",122510.671681983,742136.930573425,625248.049060498,243539.543804797,913603.059547143,698994.868612333,1501278.79238863,792323.901863392,742210.815853629,1084246.15424944,1137533.4738244
"43",685108.535154646,355329.280419451,751582.409258615,179144.902297032,735951.764450896,424508.322363164,848924.89909135,887229.299904851,1151673.66860961,1311869.54673401,1613694.97424699
"44",158704.641606493,282253.934386234,562189.531529495,549984.185975388,524248.475734026,2236472.42270255,453652.098339864,649108.626305462,1078353.17901156,1351532.40493989,1532576.37914215
"45",623984.610033485,592248.866150699,878052.37980233,890194.990601123,1259898.77000906,879138.393831781,1262767.24615263,2032327.96647685,1331760.25732405,1103234.17358582,1572977.51945916
"46",204532.897680049,912870.310297551,254048.837746292,601908.157564494,200933.094737898,241431.660771758,808734.499872851,781065.255901087,1795540.02357079,2130503.57935017,709282.218584604
"47",320622.355446397,1013245.03375353,253121.863440464,734453.345068274,260026.479212275,1314589.72443484,488009.253356572,749816.843490636,1009155.22264388,1864678.28940766,762402.99013081
"48",34944.3485724277,293635.143922606,243961.971934613,1049878.34011217,603048.174219981,171823.43592233,1329384.17491913,987155.236301302,618326.93684222,1754171.38658889,986258.068824445
"49",563458.502836301,102820.639219109,865572.026833682,543584.355645772,303198.518853164,211207.944617605,514873.580829306,1115192.14791974,999222.626728346,1303230.32761663,941301.594451516
