"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"3",0,0,0,29071.4285714286,0,0,0,0,0,0,0
"4",0,0,261642.857142857,58142.8571428571,0,174428.571428571,0,0,0,0,0
"5",34885.7142857143,45428.5714285714,87214.2857142857,227642.857142857,136095.238095238,1705687.24489796,67214.2857142857,220329.931972789,0,248318.393104447,24190.4761904762
"6",132980.952380952,210657.142857143,130821.428571429,360755.102040816,217489.795918367,2491955.95238095,490836.734693878,1378909.86394558,51507.9365079365,862435.930893538,1004419.04761905
"7",518878.787878788,393033.333333333,226571.428571429,677357.142857143,676646.258503401,2316623.58276644,2375365.6462585,3822568.87755102,245541.666666667,1816266.0888127,8211661.9047619
"8",960904.761904762,426742.857142857,781506.462585034,710388.888888889,2782024.94331066,2773436.45124717,4886017.85714286,4683652.21088435,1814367.06349206,4199192.51610354,12328147.6190476
"9",1624075.32467532,744700,567918.367346939,1186914.39909297,6032959.18367347,2272511.28117914,2146409.86394558,1582094.3877551,4953900.79365079,8460792.83533347,7285071.42857143
"10",906172.789115646,570109.523809524,429531.632653061,993000.566893424,3712811.79138322,1827671.31519274,406670.578231292,337678.571428571,6265587.3015873,4890682.60157535,1973947.61904762
"11",1755238.0952381,511490.476190476,237230.952380952,1293319.72789116,1921425.17006803,951509.467120181,206487.244897959,45714.2857142857,2676934.52380952,1631310.78444142,199609.523809524
"12",1034600,382652.380952381,315526.530612245,629757.936507936,178065.759637188,417258.73015873,15142.8571428571,55142.8571428571,631406.746031746,780135.946030444,168385.714285714
"13",869619.047619048,156190.476190476,217778.571428571,687333.333333333,169793.650793651,698945.578231292,224750,0,291511.904761905,166842.586485059,15142.8571428571
"14",897714.965986395,155119.047619048,80392.8571428571,223119.047619048,48642.8571428571,604414.965986395,140035.714285714,0,79190.4761904762,324364.155222204,0
"15",706985.714285714,16214.2857142857,0,251993.197278912,0,97897.9591836735,409185.204081633,48095.2380952381,176571.428571429,170518.48080818,0
"16",327329.87012987,156214.285714286,0,36785.7142857143,0,233346.93877551,582838.095238095,330653.06122449,590645.238095238,404816.416609047,93842.8571428571
"17",813426.19047619,347000,113228.571428571,84880.9523809524,24142.8571428571,981292.517006803,966319.897959184,601195.578231292,1093997.22222222,385326.460390984,500533.333333333
"18",765514.502164502,542657.142857143,862476.19047619,479236.961451247,321448.979591837,1267337.58503401,1089216.83673469,890655.612244898,1034376.19047619,1555265.02232366,1291580.95238095
"19",1394011.03896104,1221238.0952381,902517.006802721,997924.319727891,890795.918367347,6059738.94557823,2701974.48979592,1795790.81632653,3147983.33333333,3315001.14263978,2561428.57142857
"20",1942988.74458874,932875,1733843.53741497,1065403.62811791,2621902.49433107,12585740.6462585,2972631.80272109,2635853.7414966,5059502.38095238,5600024.06309249,7232057.14285714
"21",2648899.78354978,1950827.38095238,1774820.40816327,1860216.83673469,3553088.43537415,14725191.0430839,4342089.79591837,4498662.41496599,5230544.04761905,6334647.24897283,8312033.33333333
"22",3925057.57575758,2702408.33333333,2776389.11564626,3856030.89569161,7192734.69387755,18053249.1496599,6758143.19727891,6095730.44217687,9041068.25396825,6129909.92098214,11698900
"23",4373103.92702536,3824090.47619048,5605526.53061224,4282943.02721088,7968637.18820862,19078533.1632653,7188366.32653061,10225832.4829932,14870138.0952381,5975353.01967448,15438452.3809524
"24",5540463.45083488,3712351.19047619,5147552.38095238,4473591.26984127,11336399.0929705,21895432.5396825,11214314.1156463,12001079.0816327,15143380.1587302,5164207.82548938,12629923.8095238
"25",9010484.30735931,5279932.14285714,8451736.05442177,6484332.76643991,15535815.1927438,20813042.7437642,15718616.8367347,16161550.170068,19669653.1746032,7511336.35619837,16420990.4761905
"26",7815758.25602968,6120077.38095238,8480050.34013605,6495907.31292517,19041461.4512472,17721678.5714286,15284484.1836735,10928266.1564626,14962918.6507937,10462261.0804634,15769795.2380952
"27",8058934.58565244,8457977.38095238,12126610.8843537,8358350.05668934,20611955.7823129,23495683.3900227,23538461.0544218,12504704.9319728,17995032.1428571,13064700.6879353,15742800
"28",10855454.7619048,8088160.71428571,13465863.2653061,8302418.36734694,21076075.9637188,16737504.478458,24809393.0272109,11779328.2312925,14428763.8888889,18315044.828918,15348147.6190476
"29",10247841.3265306,6864478.57142857,10102963.9455782,8865102.04081633,14881603.1746032,16370039.2857143,26637135.2040816,13442085.0340136,17055559.1269841,16239144.9610563,17571490.4761905
