"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"3",0,0,0,127677.424836913,0,0,0,0,0,0,0
"4",0,0,1149096.82353221,255354.849673825,0,766064.549021476,0,0,0,0,0
"5",153212.909804295,199515.582791834,383032.274510738,999773.840184867,808211.72013337,9860829.07368944,1229543.93157774,1948294.78698002,0,1090577.74348163,442513.862728651
"6",584032.721702805,925175.089260499,574548.411766107,2222412.70407418,2036438.40487849,14400698.0186051,6937357.76812437,20135479.7629771,942229.320573801,3787691.35726382,14777599.3335119
"7",3126140.77244838,1984306.64395685,995068.283986946,3311125.48889657,6298146.20501986,20053340.2151602,22508786.9326257,54139092.0015327,1787005.00933323,19535733.0534119,93610623.2269092
"8",6680769.01545515,1874191.66325713,5346349.64795474,3835937.24646396,29191952.9859963,28102939.603822,42163777.2546021,56399175.1580791,24940365.3219239,48544979.4713739,156239751.342501
"9",11434211.6025425,5089001.39454607,4690862.23349938,9686587.82401108,71869156.0916398,22543389.4868505,16562324.3395166,16144610.0553391,49350538.0790463,100309989.661098,75231109.4691876
"10",6640455.81434885,5313502.57248909,3413213.85138168,6469326.57127259,40050364.6437279,13396873.6562121,4547120.11031856,3818906.22694844,65755830.2166978,52886551.2608927,21426803.8261655
"11",10303957.3384672,3755564.07109247,1805864.44188683,11384358.9159374,19044740.2224903,5289005.66640233,2290352.8886613,191613.49373967,25378232.5679659,11818296.146006,2070695.93878201
"12",4138433.46918499,3985622.70198237,2395327.78310758,5018767.85565159,712268.798954562,1669048.41890443,252293.493640888,220573.212436195,4504358.76164994,4308823.79844957,2172051.3709389
"13",4025760.24824226,596119.446623554,831177.704638972,7105566.75459502,648037.573224813,5694262.61679995,1589507.16264407,0,1356497.09373722,1069378.44779878,57794.5073250884
"14",5122096.61042923,1455062.7781494,529738.664087132,1933372.52441274,177093.198050579,6604556.84840276,509825.57236147,0,288307.379694678,1424245.71336371,0
"15",3493313.11033431,56290.7876494249,0,1765694.30726861,0,844220.840192751,2595658.25638643,469417.109726258,1282775.63474773,591985.349377361,0
"16",1448654.55571574,1824795.3158979,0,337213.797120323,0,772219.982243307,3337243.98162621,3117336.68207327,4438393.4702257,1962688.9694261,310556.160954119
"17",7023352.56737246,1985217.68167129,1163588.67725023,840194.883144475,76136.0268884848,6499591.92650213,5751759.88627123,6749829.41662485,8038019.1178841,2699396.3513643,4315567.40770894
"18",5438462.46530513,4197299.54427969,8854189.53319955,2488760.10501313,2874592.19743146,8046730.12626638,9051844.37420503,7769374.39518293,7638741.00584429,11659226.756651,11403125.1026653
"19",9290494.58103767,7108834.16885354,8414675.85690296,5929243.41051825,3023946.39377688,32105163.5553372,16067602.8755354,15217760.0935893,17191958.1605944,29375583.007302,18652532.3661958
"20",11061564.0715106,5107524.1053283,12560556.5609693,5899997.87086691,10764975.3765097,72574189.7730767,22536787.2863849,17562562.9402745,32863700.7986318,45141202.6360907,50595745.6004127
"21",20264229.2116695,8534050.62662124,15752893.2589907,10808532.4186217,14913630.9697798,81879132.6890473,23674110.3781344,24692948.1885019,27130628.2773903,43677263.7489517,56440901.5524547
"22",18190252.7153394,15664010.9500599,23280864.0147088,22940741.9373636,30219726.1396157,111719192.374816,41501115.6337011,39006946.6273659,45958237.0733155,39802327.4448251,69856052.0398746
"23",21444169.263099,20760695.3806096,44613692.7288221,23809403.47203,40714984.1209151,117397790.740409,41735177.626935,68680592.2504353,76228518.0377344,36336078.2231137,92452017.1156867
"24",23348597.6950737,13300781.7811169,38544588.6662743,27366381.2375187,47411955.4441246,122651684.215744,46021528.1444044,77491583.5658945,77831764.0060851,23896208.7391142,64504312.5335441
"25",35103837.7741168,23178782.992536,62599127.4442726,35168163.6737721,73847044.6511741,113836665.134641,64335914.3811913,102163453.906156,94903749.5477599,32356509.5269399,73330418.4577503
"26",30746571.2944458,27006172.0452744,55000181.7388538,30255883.4405346,68703076.0179747,87044986.2447364,64038159.5763891,64740058.9320122,66094671.2284634,45748220.7121893,74953576.397376
"27",30343697.13705,34678042.0251852,75196388.6415573,40299197.5651884,74979649.7111373,119145030.387936,89223244.3382937,68708051.0431971,96125879.4274701,56664827.3774045,78965714.3577809
"28",44974510.2257499,37118242.4864928,85184948.1899967,36290196.3617686,64592213.0321858,85359025.5051058,94881656.9596909,63333554.4958549,69576437.2921605,81978294.8647471,72765809.197753
"29",35212624.8404114,31681420.2598142,56455657.6422539,42892148.5969843,44829788.9924546,76758635.4325732,91451258.9921533,67034361.721276,79922647.6953423,67624200.7217549,84311987.1353281
"30",36078112.1950058,60039875.04264,64994245.7274123,46154663.7615275,52304210.1325079,108498887.970801,133667976.14198,105816999.886909,79956937.0084771,73540607.2318658,90301742.1672287
"31",33179553.2256414,37008731.5315513,60977772.8635188,44060767.3002618,29686027.3633313,89448927.5213721,108657265.690515,97809426.6355659,87804132.2057543,92813978.9243784,82267954.1450131
"32",31905655.6211196,43646739.5095671,54183695.3995851,45101252.7094006,29920005.5501327,86683731.08701,115169533.87441,111879239.435063,90239394.5444637,96700260.0070241,75580736.6817774
"33",21283905.5922499,26295780.4290316,42267529.4088493,34766493.1005986,21729808.1121911,65199677.910807,79462496.8397177,73739279.4355676,74631813.1900395,81327344.1325543,60291032.4442447
"34",19024153.8894589,28124057.6528409,32534535.5833352,30736198.0412197,18329118.929473,49519958.3171779,66200316.7854581,77600202.2094115,62223783.9626601,77562500.6841609,53887753.8578878
"35",13338048.8439178,22080104.7306073,18059949.6729486,23084824.2871862,17109019.6823259,43781134.0482458,56060796.712727,55656140.0388433,56249170.3744828,59842435.7023675,47822155.3216685
"36",10477741.6524075,12264446.5630143,21907803.1031527,15902110.6628631,9387525.666753,26051162.6626754,33054330.3164913,44462826.7229865,31519822.898841,50562102.7384061,23755088.5076893
"37",8740094.60156738,8482952.15434875,12309183.6192012,14663708.1957703,10791441.492411,19942581.05236,32905984.521273,40783890.9609388,35481552.9831348,36349664.7150912,19605569.512873
"38",4709436.86603654,10708191.7956412,13003552.025192,13764250.1367681,7619621.11061666,12073640.1747539,20066618.0563162,23031418.871733,25812030.381579,24324108.683027,13718278.9284358
"39",4764510.14291053,5241032.7270371,9412799.8153992,6676892.46298565,2851849.53871885,10999789.0507256,14189629.2858397,19257361.2789332,17882794.4597389,21838106.7984039,9181973.38818085
"40",2603123.5760654,4053291.52181641,5632189.85816451,4476627.01446069,4028645.81299734,7988891.44840728,7730898.77105726,10644475.296683,15152288.4360825,17772089.1403684,5126151.70225639
"41",1006995.33567365,1829226.67978967,3568304.46866818,1920873.11443338,3110530.95105695,6809705.68908719,5245789.78859521,6062875.93622288,9325632.40596081,9330117.04695163,3271691.40322691
"42",1882807.33193077,3641374.43483514,4056813.6216356,2477582.71047232,2043997.10265471,4934873.82248484,5180834.86892715,6198232.01171839,5030450.81949203,7065931.28224141,3221676.12699618
"43",487198.987686125,2216036.8433281,1833679.72006681,1454177.09041545,838050.63439353,5025358.48006062,3851393.93994226,3321638.87607485,3005318.71977521,2424031.58900334,990944.731782257
"44",718163.385256548,697266.804486324,1085763.23667597,151597.898122897,1541617.25185641,3556996.74729375,3691255.36906594,1326396.73717342,1551418.19147083,1043524.88812987,795030.339890536
"45",392813.878246859,516453.233483246,41233.9804878576,191738.009268538,1099896.11251494,1892888.51485249,1558811.23813271,904296.514925025,1105264.20141082,972729.073302671,689430.393570579
"46",557355.089386156,384653.150865167,229259.227753165,629944.56746579,424635.787564138,691297.668676558,734914.758837797,1403779.52782404,164062.573867179,424057.190493297,197847.730624959
"47",173488.100762996,0,0,224846.776052145,98459.617458908,0,289562.00420242,795321.433464219,351206.684522478,725410.051803396,90160.0321694248
"48",195781.056992503,0,154551.959354144,0,0,557224.615334337,68105.4000549524,116695.952158222,0,48250.3445281349,0
"49",78385.4458134748,0,85495.2028859767,109225.776746812,0,45773.9773773141,238435.042214116,0,0,217953.488120183,192661.064836802
"50",146580.350011018,0,0,0,0,62763.6582990533,0,0,0,24130.7043198128,0
"51",0,0,0,0,0,63921.3787470466,45848.1687960285,0,15346.573089258,0,0
"52",23706.7815311626,0,0,0,0,0,79521.200112269,0,0,0,0
"53",0,0,0,0,58004.273138829,0,322364.061220091,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,73033.8901630753,0,0,0,52922.6915911392,0,0,0,0
"56",0,0,71157.1192617477,0,0,0,13465.3301253786,0,0,0,0
"57",0,0,0,0,42423.2330204342,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,73369.2249977975,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0,0
