"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,15142.8571428571,0,0,0,0
"6",0,27857.1428571429,0,0,0,20571.4285714286,45428.5714285714,0,0,0,0
"7",0,0,0,0,13928.5714285714,0,96714.2857142857,0,0,0,0
"8",24142.8571428571,24190.4761904762,0,34885.7142857143,29071.4285714286,45897.9591836735,148428.571428571,0,24190.4761904762,0,57942.8571428571
"9",189917.233560091,197190.476190476,60228.5714285714,70000,129214.285714286,45714.2857142857,359588.43537415,72048.9795918367,0,64571.4285714286,343961.904761905
"10",258469.387755102,709714.285714286,40404.7619047619,269631.746031746,498480.952380952,200128.571428571,602271.258503401,219426.19047619,311526.984126984,165142.857142857,941265.816326531
"11",1650614.22902494,1205729.76190476,265363.945578231,699167.800453515,602095.238095238,483318.367346939,1257996.59863946,960420.918367347,912860.317460317,499392.857142857,2255719.04761905
"12",2645301.32962276,1034537.07482993,457321.768707483,1057779.30839002,1007926.53061224,1890243.53741497,1702635.20408163,921666.666666667,1838465.07936508,1578821.42857143,4487806.80272109
"13",4758514.0177283,2109207.65306122,799154.591836735,1667052.21088435,2092439.569161,4229621.93877551,2806747.44897959,2128136.9047619,5210999.6031746,4107809.52380952,9008924.14965986
"14",5548120.0267986,2512837.41496599,1691676.36054422,2213989.68253968,3751509.3537415,8758923.97959184,3629297.61904762,4627085.88435374,6861511.11111111,4246392.85714286,11843770.2380952
"15",4902020.89775304,1771023.29931973,2151598.1292517,2919869.50113379,5630315.75963719,11484649.829932,3656170.91836735,5701315.13605442,6884641.26984127,4325273.80952381,10108141.4965986
"16",2329534.6835704,2493222.78911565,1669396.08843537,2223091.55328798,6015430.27210884,17411120.5782313,2849109.69387755,7097658.84353742,6597741.26984127,3682107.14285714,7001961.2244898
"17",1513857.9674294,3039848.1292517,1297793.36734694,1781809.29705215,6943038.26530612,22867449.1496599,2321371.59863946,6225025.17006803,3204532.53968254,2799226.19047619,3108419.21768707
"18",701724.025974026,2476226.70068027,1198239.62585034,640324.433106576,4973002.2675737,21688934.5238095,1397422.61904762,4052535.54421769,1233242.85714286,1934666.66666667,1849848.63945578
"19",917613.069470212,2683056.29251701,494441.156462585,514046.768707483,5453131.17913832,19663817.6870748,982556.972789116,3783134.86394558,619309.920634921,1694476.19047619,1251228.7414966
"20",514022.495361781,3481126.70068027,785342.346938776,546533.333333333,4193573.41269841,14228277.5510204,881009.353741497,2263049.82993197,648377.777777778,2609500,915007.142857143
"21",924716.26984127,2818807.31292517,1080405.44217687,557973.412698413,3629516.4399093,5310835.37414966,2788634.3537415,1029410.71428571,773065.079365079,1843428.57142857,911733.673469388
"22",1239485.87920016,2472513.94557823,1843942.34693878,534264.229024943,2133051.8707483,3417546.42857143,6232431.12244898,1206968.36734694,2050033.33333333,2962095.23809524,1459350.51020408
"23",1735426.45846217,3747046.76870748,3891499.31972789,1027107.42630385,2438876.98412698,2401058.67346939,10517332.4829932,1871502.72108844,2698568.65079365,3896857.14285714,2347951.53061224
"24",2630077.74170274,5888076.36054422,3828822.10884354,2215965.58956916,2565303.28798186,3321697.61904762,16686394.5578231,2879576.53061224,3259675.3968254,5789273.80952381,3727942.00680272
