"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,277006.709345888,0,0,0,0
"6",0,122344.461145936,0,0,0,90346.6790000758,831020.128037663,0,0,0,0
"7",0,0,0,0,61172.230572968,0,760365.778920179,0,0,0,0
"8",106031.866326478,442513.862728651,0,153212.909804295,127677.424836913,839606.589378573,987487.29140648,0,106241.002157497,0,254476.479183547
"9",1569409.53591784,866031.476248412,264514.999072444,607956.991871701,567490.077469226,836246.669723435,2579708.93755813,914457.050703728,0,283588.186861349,1510629.93461423
"10",2371217.50210901,3613426.26296003,402847.242825027,1184182.84478278,3814088.18551741,3025454.85185314,6491100.96030743,2562472.93776795,2486927.69961373,725283.061972831,7107139.91845673
"11",12837916.976796,9738365.37033524,1433220.81285714,5196638.76581465,3584440.2706145,5954598.31373267,14552246.4179512,7958443.0085651,9455349.9692807,5788886.1285486,16739576.0490186
"12",24414750.0987538,8618198.63978681,2667760.77954299,11665184.9581335,6861414.81856683,21789945.699739,17633013.9719077,6987261.77628214,20835965.8483685,13953150.5481488,38122618.083528
"13",45829660.1435187,23987061.0880571,6139712.41723795,16511573.9204892,16618269.481876,37511014.1549488,31371550.2920985,26071627.0343845,41086231.1959935,44896925.2394396,81904005.0987395
"14",63740142.6145159,24819351.2416203,14465281.5171568,23140201.6948793,35922865.8678312,78657979.8369945,35516176.6602346,46841365.2994969,60430510.8182855,43800180.5935211,125707315.33719
"15",53655607.0612128,17271331.4164113,17388241.8887545,31533047.7415101,52510733.2579472,101096664.94078,39993259.3560688,59615582.3118867,64050357.6805744,37780508.776573,100673904.453599
"16",21935937.0903786,25916708.5077326,14296158.1739057,25688526.9308303,52196503.0741118,161037988.3612,25806171.3983077,73739817.3014877,63461628.2604753,34661082.6430995,65509613.3229088
"17",11995306.3004012,23551062.8506436,11214409.3792914,17281836.9056085,61469860.5173843,221897215.126398,13674455.9947206,61937860.6160415,31319835.5273363,25604270.130804,25540434.6658346
"18",5060641.09375747,18244267.7207409,7683987.17086544,6042172.82879013,42492291.614323,198108606.731013,7133828.1229029,35320795.8627431,12191392.4462239,15481902.7802292,16009569.0948512
"19",8479652.50659229,22133714.4069418,4300732.2868523,5274500.0722577,41342925.2410794,163338774.77703,4598020.80945709,29350416.4381848,6168074.39920576,11557832.2938545,9722248.78999691
"20",3226012.78235061,31242841.6845868,5784245.46339107,4647471.0010629,34094093.91337,108093028.003709,6856681.25634405,16283844.6976835,4703925.66129335,18746638.5499204,7419594.09307858
"21",6021230.73682076,25827381.2566625,6405949.22428653,3558700.04737732,29094615.3268281,39472122.4030241,21564377.5354468,5870635.18567063,4673143.53508048,9735200.59854819,5611679.88954153
"22",8759321.67339927,20193432.5146576,10472728.9261685,4800908.8449184,16055540.9563477,22067029.3695704,47891783.8808138,6581003.06286009,8859417.43125855,16771648.0124537,6989493.2453456
"23",10694550.5889288,30081992.6507473,21632390.2134755,7478509.42127685,18366693.2017331,15710606.5096981,71689665.4100171,12647583.8267282,15100608.2846555,25232864.0823399,11526950.0632764
"24",16250336.672617,45604970.451494,19998979.838364,13620323.7049079,19014783.5814971,22032754.7235795,119226057.569272,18745105.3333043,22195995.8957837,37837319.0836828,20038200.710442
