"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,81457.1428571429,36214.2857142857,0,138469.387755102,0,48380.9523809524,0,0,0,60228.5714285714
"6",153839.285714286,87190.4761904762,29028.5714285714,27523.8095238095,712125.850340136,43020.4081632653,220000,0,24142.8571428571,93166.0314633943,41142.8571428571
"7",94517.8571428571,260228.571428571,0,45714.2857142857,1478278.91156463,0,184190.476190476,0,34761.9047619048,0,110333.333333333
"8",64857.1428571429,60952.3809523809,0,140068.027210884,800333.333333333,20571.4285714286,62285.7142857143,0,34761.9047619048,0,0
"9",110095.238095238,0,6142.85714285714,41142.8571428571,98068.0272108843,364890.589569161,41714.2857142857,27523.8095238095,260442.857142857,50484.3432992268,96442.8571428571
"10",201696.428571429,183000,323676.870748299,362130.102040816,77782.3129251701,484074.546485261,45000,20571.4285714286,0,160875.172689037,121904.761904762
"11",884035.714285714,805700,3005949.65986395,625357.142857143,162507.936507937,1897551.02040816,588510.204081633,108306.12244898,0,501058.562964067,395419.047619048
"12",1011040.47619048,1575378.57142857,7797983.67346939,1485503.96825397,984054.421768707,3320289.96598639,1102190.47619048,433817.176870748,58428.5714285714,1143516.33486354,701157.142857143
"13",2723534.63203463,847957.142857143,6105076.19047619,1860984.12698413,2496224.48979592,6150926.58730159,1893928.57142857,1168255.10204082,384228.571428571,2123824.18705363,1109052.38095238
"14",5323544.72789116,1079494.04761905,3842157.14285714,1544300.17006803,2134241.49659864,9062812.35827664,741000,1501120.74829932,749609.523809524,1760704.90032749,937252.380952381
"15",6541357.68398268,1169876.19047619,1610041.49659864,1235520.69160998,1693350.34013605,12072213.7188209,702153.911564626,1576594.3877551,509300,1144737.57932731,713980.952380952
"16",5481860.31230674,1771571.42857143,3101761.9047619,954172.052154195,1363265.30612245,8438388.32199547,967767.857142857,1030841.83673469,324942.857142857,1164096.04574215,570023.809523809
