"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,223243.74097751,99249.8918586438,0,379493.105810593,0,132594.201352245,0,0,0,165064.119951101
"6",411258.381564001,233086.197452098,77602.0458584376,73579.367628243,1903725.19815708,115006.406544985,588125.74124997,0,64541.0716047045,249060.642335122,109987.151610384
"7",246471.767208174,678591.303451971,0,119207.958445669,3854869.61695729,0,480308.732570675,0,90647.7184013941,0,287713.374706891
"8",164978.377702005,155045.758780151,0,356293.769339656,2035823.49048282,52327.9435883011,158437.384753467,0,88424.5343043051,0,0
"9",273190.401903917,0,15242.8900716286,102091.91489835,243346.072284161,905439.767786541,103509.858160827,68297.6004759792,646263.09045549,125271.885273007,239313.374124569
"10",488243.265916881,442985.125198424,783519.339411309,876602.451315131,188286.380488412,1171791.38568384,108930.768491416,49796.9227389329,0,389427.915382356,295092.875489973
"11",2087681.12484391,1902688.60760428,7098654.80061448,1476802.67022247,383768.151221212,4481132.81479271,1389787.34115054,255768.679803236,0,1183267.2452455,933795.850979888
"12",2329356.86588619,3629546.96487916,17965934.3395489,3422483.02539933,2267183.14225113,7649684.07411846,2539359.2182406,999480.281235411,134614.782717585,2634570.71066419,1615410.30576083
"13",6121982.15092343,1906044.60551374,13723037.3458485,4183134.47332135,5611032.66008855,13826100.22145,4257187.24962488,2626012.82843837,863671.946188277,4773948.38747785,2492936.49537968
"14",11675505.958746,2367527.62109314,8426552.40235721,3386932.34664796,4680781.43128733,19876402.8669996,1625148.34713486,3292231.98778473,1644030.60541916,3861547.44744868,2055565.66498377
"15",13998953.8190386,2503615.23641648,3445599.1625117,2644098.96842457,3623885.79806038,25835364.8443887,1502657.49966847,3374020.05696492,1089936.90980914,2449816.88543964,1527968.17769622
"16",11448801.1127156,3699906.19738156,6477993.44082043,1992777.1650621,2847163.63870527,17623475.2632241,2021171.84468081,2152901.11295736,678639.354613667,2431200.96910905,1190488.05568787
