"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,20571.4285714286,0,0,0,0,0,0
"6",0,0,0,39257.1428571429,15142.8571428571,88734.693877551,24142.8571428571,0,0,0,0
"7",119341.26984127,114732.142857143,117464.285714286,373525.340136054,16214.2857142857,221985.714285714,48285.7142857143,74903.5714285714,57942.8571428571,48285.7142857143,94255.9523809524
"8",164968.253968254,559119.047619048,545554.761904762,1274333.67346939,708813.775510204,673605.442176871,0,143446.428571429,277638.095238095,241428.571428571,53161.9047619048
"9",20642.8571428571,341053.571428571,568884.523809524,1085922.61904762,766489.512471655,1860377.72108844,144857.142857143,1182140.30612245,236447.619047619,1212714.28571429,277125
"10",75711.7346938775,350279.761904762,502729.761904762,621725.340136054,395398.80952381,2379098.63945578,24190.4761904762,629921.428571429,28971.4285714286,1275714.28571429,339313.265306122
"11",754382.653061224,45875,593299.489795918,358617.857142857,518075.396825397,3383837.58503401,134770.408163265,746087.244897959,52428.5714285714,661285.714285714,513781.12244898
"12",1904609.69387755,66446.4285714286,145297.619047619,168816.666666667,260888.605442177,2782244.21768707,359239.795918367,351208.333333333,82519.0476190476,548285.714285714,271589.285714286
"13",4891380.10204082,463952.380952381,688522.619047619,933343.990929705,137374.149659864,1540524.65986395,1164832.4829932,360075,258552.380952381,253000,115238.095238095
"14",6289405.04535147,1207327.38095238,1048106.80272109,1104533.67346939,633451.247165533,1641993.19727891,1495171.76870748,308628.571428571,479608.163265306,174047.619047619,516285.714285714
"15",2877450.3968254,1948559.52380952,1464671.42857143,2544096.42857143,502941.0430839,2014258.50340136,2167141.15646259,201714.285714286,310452.380952381,156428.571428571,720058.503401361
"16",1342359.12698413,2363578.23129252,1221223.80952381,2247007.14285714,940347.222222222,1795437.07482993,2720102.04081633,562047.619047619,746638.095238095,245952.380952381,1319430.95238095
