"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,56378.6367954426,0,0,0,0,0,0
"6",0,0,0,104946.073828241,40481.382189933,237214.352778745,64541.0716047045,0,0,0,0
"7",311203.137352001,299184.036333368,306308.574474848,974032.351804381,42281.5727611982,578866.395714766,125913.406108238,195324.102537579,151096.087329885,125913.406108238,245788.804946246
"8",419632.961198467,1422242.01306027,1387738.27525674,3241547.3892073,1803023.40844834,1713463.28509047,0,364887.474691686,706233.43124359,614126.560168256,135228.972736063
"9",51223.2003569844,846290.574064053,1411630.46091059,2694609.15718756,1901967.61994492,4616342.59673966,359448.617037939,2933363.7941456,586721.289625307,3009230.08879198,687658.17157443
"10",183274.165422717,847916.525583907,1216949.76239538,1505000.42425794,957135.470711544,5759045.40250667,58557.4924800415,1524840.56229991,70130.6661906638,3088100.83374077,821370.105536168
"11",1781500.90573896,108335.410045732,1401097.40614636,846888.558109933,1223453.0910013,7991050.29542931,318265.012106769,1761911.01048307,123811.897195122,1561649.24282349,1213312.01251807
"12",4388069.29271865,153087.288047718,334754.161179324,388940.176814381,601066.602801092,6410069.45187877,827659.925421574,809156.074234481,190117.32434499,1263206.68965792,625720.119300657
"13",10994881.9177325,1042875.74009919,1547666.45326909,2097977.82115026,308790.673092229,3462803.21161143,2618319.43894646,809379.362048709,581176.035968653,568695.351241612,259033.079240486
"14",13793814.0538659,2647889.47045266,2298689.66000402,2422444.09418836,1389274.28788338,3601190.9994123,3279184.78893074,676878.829602883,1051868.30472739,381718.219187579,1132308.87344234
"15",6157941.08314346,4170050.94435525,3134497.25258764,5444540.74143652,1076328.30613598,4310651.26399778,4637830.62084241,431682.39787117,664389.375099409,334767.865204626,1540974.55346372
"16",2803501.32822207,4936305.47711372,2550511.63524953,4692848.12304849,1963904.16952937,3749749.32031313,5680901.28121005,1173829.8752169,1559344.92463577,513668.669448048,2755616.10387222
