"","length","day.night","expnumlen.rockhopper","expnumlen.chainsweep"
"1",10,"day",0,3
"2",11,"day",1,5
"3",12,"day",0,18
"4",13,"day",2,61
"5",14,"day",15,197
"6",15,"day",35,464
"7",16,"day",44,724
"8",17,"day",42,669
"9",18,"day",39,660
"10",19,"day",45,493
"11",20,"day",37,442
"12",21,"day",33,399
"13",22,"day",49,374
"14",23,"day",73,532
"15",24,"day",115,754
"16",25,"day",112,689
"17",26,"day",230,739
"18",27,"day",178,931
"19",28,"day",160,870
"20",29,"day",280,964
"21",30,"day",174,1220
"22",31,"day",309,1336
"23",32,"day",303,1391
"24",33,"day",301,1115
"25",34,"day",174,972
"26",35,"day",175,683
"27",36,"day",117,447
"28",37,"day",124,314
"29",38,"day",90,309
"30",39,"day",42,163
"31",40,"day",38,96
"32",41,"day",23,104
"33",42,"day",7,54
"34",43,"day",7,44
"35",44,"day",3,35
"36",45,"day",9,23
"37",47,"day",7,25
"38",48,"day",0,3
"39",50,"day",2,5
"40",51,"day",0,6
"41",68,"day",0,1
"42",11,"night",5,0
"43",12,"night",10,18
"44",13,"night",50,97
"45",14,"night",117,341
"46",15,"night",259,719
"47",16,"night",313,793
"48",17,"night",286,1010
"49",18,"night",170,602
"50",19,"night",238,708
"51",20,"night",186,498
"52",21,"night",239,599
"53",22,"night",303,577
"54",23,"night",280,508
"55",24,"night",273,438
"56",25,"night",357,378
"57",26,"night",212,389
"58",27,"night",256,632
"59",28,"night",336,589
"60",29,"night",432,730
"61",30,"night",562,984
"62",31,"night",445,1056
"63",32,"night",699,1236
"64",33,"night",542,932
"65",34,"night",454,972
"66",35,"night",442,673
"67",36,"night",292,413
"68",37,"night",202,289
"69",38,"night",196,244
"70",39,"night",77,139
"71",40,"night",106,134
"72",41,"night",56,91
"73",42,"night",46,114
"74",43,"night",33,57
"75",44,"night",22,41
"76",45,"night",4,4
"77",46,"night",4,19
"78",47,"night",5,11
"79",48,"night",1,0
"80",50,"night",1,0
