"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,36371.4285714286,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,18571.4285714286,0,0,42142.8571428571,0,0,0,0
"8",0,0,0,18571.4285714286,27857.1428571429,0,0,0,0,0,0
"9",0,19500,9750,18571.4285714286,0,0,0,0,0,0,0
"10",0,29250,0,18571.4285714286,2714.28571428571,0,0,0,0,0,0
"11",0,9750,0,0,0,0,0,0,0,0,0
"12",0,48750,0,0,2714.28571428571,0,4071.42857142857,0,0,0,0
"13",0,68250,0,4071.42857142857,2714.28571428571,0,0,2714.28571428571,0,0,0
"14",55714.2857142857,0,0,0,0,0,0,0,0,0,0
"15",0,0,90099.2063492063,18571.4285714286,5428.57142857143,0,0,0,0,0,0
"16",0,0,0,128185.714285714,0,0,37107.1428571429,13928.5714285714,0,0,9750
"17",55612.5541125541,9750,18571.4285714286,447864.285714286,10857.1428571429,0,46416.6666666667,0,0,23809.5238095238,0
"18",69988.0952380952,68869.0476190476,129619.047619048,206864.285714286,2714.28571428571,0,214015.306122449,141309.523809524,407288.590604027,17571.4285714286,60035.7142857143
"19",275123.80952381,20261.9047619048,242793.650793651,727085.714285714,22071.4285714286,27857.1428571429,466549.319727891,53235.7142857143,0,388666.666666667,17845.2380952381
"20",674750,158357.142857143,412706.349206349,645895.238095238,32928.5714285714,99200,435465.986394558,285066.666666667,1393355.70469799,1032968.70748299,136523.80952381
"21",499980.952380952,342964.285714286,269827.777777778,946572.335600907,63142.8571428571,285118.367346939,607930.272108844,360245.238095238,2207932.88590604,1668435.37414966,132132.653061224
"22",961064.285714286,756669.047619048,414167.573696145,1308868.36734694,57714.2857142857,821420.408163265,610166.666666667,465905.782312925,6966778.52348993,2876598.63945578,102345.238095238
"23",963138.095238095,909292.970521542,525492.403628118,1797675.51020408,41071.4285714286,745940.136054422,1299416.66666667,774715.986394558,2786711.40939597,3099581.29251701,231693.87755102
"24",1557554.76190476,908384.126984127,602380.385487528,1589168.36734694,43785.7142857143,767267.68707483,872989.795918367,674237.414965986,2786711.40939597,1770643.87755102,353683.673469388
"25",1524597.61904762,1626990.47619048,510878.231292517,2223461.9047619,174757.142857143,552651.700680272,806988.095238095,493287.414965986,7374067.11409396,1614299.31972789,251749.319727891
"26",800447.619047619,1343108.04988662,212002.721088435,1209861.2244898,46809.5238095238,522730.612244898,285380.952380952,237076.19047619,4008577.18120805,816404.081632653,150787.414965986
"27",1042169.6969697,1011803.57142857,324233.560090703,2123254.42176871,215247.619047619,484326.530612245,451585.034013605,380371.428571429,7781355.70469799,387975.510204082,218569.047619048
