"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,51940.9012996539,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,26521.2771757856,0,0,60182.8982065903,0,0,0,0
"8",0,0,0,26521.2771757856,39781.9157636783,0,0,0,0,0,0
"9",0,61538.2746476865,13923.6705172874,26521.2771757856,0,0,0,0,0,0,0
"10",0,92307.4119715297,0,26521.2771757856,3876.18666415328,0,0,0,0,0,0
"11",0,30769.1373238432,0,0,0,0,0,0,0,0,0
"12",0,153845.686619216,0,0,3876.18666415328,0,5814.27999622991,0,0,0,0
"13",0,215383.961266903,0,5814.27999622991,3876.18666415328,0,0,8565.76716707723,0,0,0
"14",175823.641850533,0,0,0,0,0,0,0,0,0,0
"15",0,0,128667.862879532,26521.2771757856,7752.37332830655,0,0,0,0,0,0
"16",0,0,0,175218.30998308,0,0,50722.117483679,19039.1008841528,0,0,29670.7205534406
"17",72758.3001481595,28611.8834311406,24297.1321087926,585944.030905156,14204.4772328326,0,60727.2551872964,0,0,31150.1693702469,0
"18",131584.987938956,86230.6848579887,162295.539625545,259014.022213194,3398.54730295962,0,267967.788942194,355938.910329617,1152586.66424439,49725.4151242389,90554.1018790315
"19",598142.097928667,24276.3506158197,298917.131153287,871141.579983142,47768.4858169628,33376.4162403161,558985.692528825,78710.0533824565,0,544188.733129608,48701.2321451062
"20",1249665.98845728,181537.82866724,473119.261691232,752469.412103252,37748.7320774008,113721.126050096,523263.56973205,705270.322970378,1597318.34401795,1468320.53720229,171506.273204965
"21",924869.859570858,468098.537517555,372195.441593405,1176419.14912461,69339.7995555776,387068.385645769,667593.535028427,720013.05632097,5605269.60457234,1923638.80885039,270482.46433429
"22",1578095.98899021,1181250.15850799,450037.40317751,1381215.36498184,60904.4119303659,1224697.32384253,713922.306878503,877476.567091164,11236378.3098303,3392933.92235357,172654.686481764
"23",1578751.40934858,1561329.7393391,611736.324581433,1893804.7963877,41866.9924445645,967460.100779381,1335468.79868284,1306183.02981811,2840690.70837058,3706599.4640621,469223.50186163
"24",2468375.57815263,1739771.40883425,908664.116579776,1623682.52791651,43417.3935531035,893326.973543519,991181.20869212,1018246.93052759,4561219.19318479,1876017.48978012,561934.768849514
"25",2125512.75410227,3153694.36202356,658454.547793839,2435164.63158348,169767.559107659,600169.551349312,927765.828566769,716985.144833497,14536127.4595405,1705393.82226885,392373.762437981
"26",1123145.79455249,2381263.67150403,203096.532617645,1219225.70215428,77498.0791573411,500770.812256469,332282.825329859,367600.212902271,8539157.15016112,1065590.91526456,262264.102225838
"27",1437340.42100358,1989373.0670244,366611.975132055,2083952.25640573,250942.243643512,574265.382660697,438180.425451224,585030.331718242,12937654.0360089,416993.56336766,388453.019474956
"28",1273468.46065049,2994313.66875599,774662.473042492,2078918.24250226,380553.969603294,131563.449109512,267149.526349171,364423.63848844,16529670.4133859,320683.774614072,412443.958707361
"29",1396787.84194006,4210503.97623638,821056.252443205,3478171.39893891,517932.629600165,99118.8597633874,830323.637157107,561771.072305608,9391096.94036216,385053.973015629,307412.712288986
"30",1738233.56389521,4844656.29684975,360456.236453902,5890834.29894754,562236.077722323,120876.098694318,943148.462370311,895826.153219322,19569022.4588496,181436.464759292,574240.364678872
"31",1432852.2289128,4562770.35467269,1193014.15939888,4622198.71497165,413751.564865061,186456.017931415,959173.759674117,631993.888709505,10107389.4269338,484098.759059534,329176.665420687
"32",1250251.35653042,3347559.46474482,905691.099901401,3910872.40651252,944401.843418678,338044.730003705,1492700.06883952,611799.075402625,2451293.9249194,439383.678203607,213452.184754095
"33",1482005.24976843,3096916.54905276,1046812.212471,3511237.44325609,665949.849668229,323750.702537819,1630665.75660979,422959.770870313,6092110.77145482,480823.320892952,266031.457355006
