"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",9750,0,0,0,0,0,0,0,0,0,0
"7",18571.4285714286,0,0,0,0,0,0,0,13928.5714285714,4071.42857142857,0
"8",4071.42857142857,0,0,27857.1428571429,13928.5714285714,0,0,0,41785.7142857143,0,0
"9",55190.4761904762,2952.38095238095,42142.8571428571,121015.306122449,13928.5714285714,43485.7142857143,16380.9523809524,301660.317460317,81438.0952380952,115500,27857.1428571429
"10",75654.7619047619,81961.9047619048,15952.380952381,9750,13928.5714285714,157123.80952381,114750,428088.888888889,177699.319727891,27857.1428571429,69714.2857142857
"11",232833.333333333,470271.428571429,166061.224489796,80678.5714285714,31928.5714285714,305750,278954.081632653,584412.698412698,189861.904761905,27857.1428571429,2952.38095238095
"12",179715.986394558,450214.285714286,43333.3333333333,150735.714285714,27857.1428571429,148923.80952381,321023.129251701,1201651.70068027,272247.619047619,124964.285714286,80761.9047619048
"13",231515.306122449,830965.986394558,68190.4761904762,269340.476190476,40559.5238095238,357692.063492063,775144.217687075,770769.841269841,410437.414965986,153880.952380952,10809.5238095238
"14",236848.639455782,613485.714285714,153585.034013605,222602.380952381,23678.5714285714,341183.333333333,403532.31292517,663022.448979592,395123.80952381,294671.428571429,55904.7619047619
"15",236062.925170068,973704.081632653,271993.197278912,89809.5238095238,24023.8095238095,436771.428571429,198283.333333333,646684.126984127,685240.816326531,313916.666666667,52333.3333333333
"16",196812.925170068,502013.605442177,120537.414965986,78678.5714285714,16892.8571428571,368523.80952381,380246.598639456,426904.761904762,372985.714285714,113285.714285714,24976.1904761905
"17",170285.714285714,613452.380952381,95961.9047619048,67714.2857142857,62119.0476190476,510123.80952381,273524.829931973,508537.414965986,188120.634920635,39571.4285714286,7142.85714285714
"18",59000,279404.761904762,42142.8571428571,124035.714285714,108009.523809524,233345.238095238,16952.380952381,304648.526077098,100142.857142857,24714.2857142857,83357.1428571429
"19",52190.4761904762,148857.142857143,102095.238095238,57595.2380952381,70190.4761904762,157345.238095238,27690.4761904762,497622.448979592,282966.666666667,156266.666666667,2952.38095238095
"20",94192.1768707483,145880.952380952,8190.47619047619,55404.7619047619,135341.26984127,28666.6666666667,57013.6054421769,641598.639455782,412014.285714286,33523.8095238095,27857.1428571429
"21",79668.3673469388,99547.619047619,71142.8571428571,90819.0476190476,70952.3809523809,61777.7777777778,28404.7619047619,133465.986394558,564866.666666667,53928.5714285714,0
"22",94882.6530612245,239247.619047619,182723.80952381,125384.353741497,108039.682539683,119940.476190476,63785.7142857143,375317.46031746,659749.206349206,127869.047619048,0
"23",120537.414965986,380600,147638.095238095,270829.25170068,136618.367346939,64333.3333333333,46200,505857.142857143,1201007.93650794,118047.619047619,93500
"24",237102.040816327,384133.333333333,165447.619047619,146197.278911565,85271.4285714286,52956.3492063492,120054.761904762,807539.682539682,1207993.87755102,244666.666666667,97761.9047619048
"25",544600.340136054,527323.809523809,137047.619047619,745294.217687075,145813.492063492,201570.634920635,207852.380952381,1487029.47845805,1008563.49206349,153095.238095238,160690.476190476
"26",522860.544217687,829999.319727891,306360.544217687,720578.571428571,260358.73015873,245870.634920635,223818.367346939,1318818.59410431,697849.206349206,83571.4285714286,261316.666666667
"27",433222.789115646,598699.319727891,562736.054421769,660609.863945578,229468.253968254,193219.047619048,198138.095238095,1620189.11564626,546188.888888889,112380.952380952,100166.666666667
