"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",13923.6705172874,0,0,0,0,0,0,0,0,0,0
"7",58607.8806168442,0,0,0,0,0,0,0,19890.9578818392,12848.6507506159,0
"8",5814.27999622991,0,0,39781.9157636783,19890.9578818392,0,0,0,59672.8736455175,0,0
"9",95661.2623110057,4216.20303820181,60182.8982065903,172818.179486939,19890.9578818392,137232.606613595,23393.1265345391,503603.586624739,133741.149116751,220106.218966917,39781.9157636783
"10",108040.202853921,192179.252659838,45241.7194699928,13923.6705172874,19890.9578818392,481866.25717528,163870.89147269,902588.004670179,273676.997933915,39781.9157636783,99556.7943214104
"11",489541.254023396,1021587.19324066,279517.619979164,155939.852713843,52630.5665142942,928462.066146343,398365.612523647,1426126.85408693,296146.953009376,87911.8209252664,4216.20303820181
"12",276556.936622106,779839.803036888,61882.980076833,366870.167505388,39781.9157636783,402840.044700551,572737.232578177,3214600.83074161,388788.322742054,226587.499080961,120434.501290969
"13",364310.712295975,1632703.86943637,119841.311936241,516541.458627428,79868.2033394302,961600.961853165,1248575.17882374,2101238.45391498,745553.909861236,246697.10210384,15436.7433818034
"14",391837.22787655,1084514.62037941,219329.990768392,503191.643461309,50660.0952056824,836039.324927281,611402.611280235,1516436.45628054,589275.069076616,597172.201096749,79835.8446265955
"15",337114.09142719,1661113.41353149,526009.525714457,246172.443936997,34307.652141497,995652.166761216,399661.288637568,1710964.01889879,1018391.30801687,468204.737166176,79836.5462295743
"16",352159.090011251,906376.447046109,231494.131389014,156576.560695367,39434.3620324933,690839.235488488,573402.517389936,965563.616044831,567787.877407493,213839.07352381,52938.0454173352
"17",314088.053916103,1115675.00284166,152806.60699642,138268.995442275,94435.6326321961,1357205.28774517,441257.61886562,1192187.78815426,372295.528720601,51771.5814933504,20961.0867627404
"18",80861.1095785355,561417.866708027,52766.9186512152,223225.429640776,148011.042766066,488194.251689647,21226.0147342741,644626.165611578,133653.202811279,50103.7318925463,115453.380268567
"19",62530.8584604896,341360.731141876,203172.441015106,98860.1860314764,88617.1371876067,309903.005140901,33176.7282799039,901787.722794447,356672.717875332,297281.630107151,3537.32958444376
"20",177645.696683917,207418.107531327,17171.290212391,92484.8307468822,283530.163880081,75451.0290860166,65359.3892243976,1251546.48121439,491922.063750008,55551.2233760118,31934.9360307729
"21",202253.737324289,153357.178296139,157561.197298856,162375.696967041,89577.3905138672,94593.8952529173,31192.4513083726,177536.466292798,703011.977839759,65086.321709624,0
"22",215760.441984824,425134.885890136,324053.47846896,159496.781032845,174238.674725843,282409.54897044,67311.4354626445,722411.369248561,775859.271343979,229525.880671151,0
"23",210441.196060289,739822.786637713,321180.50252221,417395.422104112,139264.699389639,152060.216743297,105551.014537196,927031.307529248,1417375.78615124,125807.289858563,100784.177272855
"24",369648.753654413,662006.843321443,242596.626163279,195292.050249155,84554.1344595349,65092.0278684065,175157.68821139,1396960.75661281,1215805.4223118,273946.199465879,155129.243090949
"25",971238.478367161,898511.508421766,199760.811064379,936088.481161725,235548.106158213,303027.757605455,376595.69165674,2846936.84612624,1292376.00121517,158762.077603695,164760.976673901
"26",948424.468379852,1297710.62254536,505512.74690305,813318.935740093,331160.987154827,362879.468505369,341909.111987435,2422647.01807776,1057313.43906395,89605.9225143168,348942.995101775
"27",663710.009908744,858201.137207663,854670.586455183,865116.640582024,300220.466161247,353916.287085485,284818.960759314,2883789.61463367,722214.374157536,228231.615600425,149756.267445277
"28",911897.429038592,771200.561165091,427110.248062939,911120.173742893,116206.212504072,190390.194632841,264689.945778813,3062782.63110704,387270.693241797,380564.477459095,146544.906817685
"29",804241.317940612,883306.439616928,501849.529637389,495619.427550861,352868.520773657,237623.905195485,79980.5493322041,1849124.89227976,323568.711309442,624094.473529407,101382.750073366
"30",1313356.85010811,509268.239481203,820388.325480694,879185.275209427,240250.852045221,641370.236918998,69280.4478419198,2430019.64313616,508382.824657233,753709.041274065,179926.020762703
"31",1093147.2751276,479786.617361038,971000.351408621,790830.891610507,749721.052091296,531094.536109881,174332.373748917,989607.508389019,364365.263443668,460981.743187316,62698.4927680895
"32",1224515.50653122,753928.475954176,448522.041017624,1119341.64014724,194888.742183234,694372.743055923,235968.587342705,952114.190537097,665593.226702417,1043079.18897017,96530.2660950086
"33",851881.934400052,407934.116501526,309683.637365956,996959.969315395,433363.576284151,309805.396535163,236657.663767684,1008901.00248724,543742.201422197,810251.99148714,126800.80550501
"34",804444.629995606,857568.456222957,441655.84751484,786044.339854836,193711.81815856,295350.085588205,266004.849623619,714745.935891176,305783.549612865,602141.297206343,209700.77124905
"35",808699.81528307,329315.234445523,468852.51236468,781686.162587383,376946.777870082,304430.570235029,264305.598272994,291376.955795039,454574.449693133,767406.746590381,218150.768782991
"36",716525.418782694,252795.407329537,177289.089013761,531088.633856344,374541.795772358,424298.392073397,82429.6935394642,361389.961192095,469999.098328404,453127.082021812,62881.3664502316
"37",574033.120299877,531727.712961691,343056.548753428,355643.667350026,149269.717477489,174189.255891894,83688.3360374527,390147.034249083,145222.431363024,87558.8634451437,160647.901422814
"38",559232.330921952,138641.513286594,223320.831031864,618389.629998868,241728.870109952,476738.09590358,146321.941457862,595674.703934176,143403.157816912,42121.7640837204,248948.838183215
"39",348367.072939107,139314.675014588,259984.978564847,381190.141695611,196722.930587557,255668.002726992,136184.226174249,265008.878524657,141179.05220052,191788.167954834,60643.4829422468
"40",611937.286019979,178303.056121874,238553.653558804,182081.315683091,104620.243870046,67714.9911701965,66900.195495542,340571.202541048,200261.571592566,42559.5153667425,49695.6290137596
"41",224383.941077976,44279.2950452808,66943.4507188752,115768.948871023,232831.251053056,128954.271955159,80839.1594861808,133514.786864858,19802.4120460205,138044.283490491,12527.8005493965
"42",163880.711532959,106134.594756336,67011.7205034363,179610.691985079,89082.4207359273,238462.68378456,237790.237175948,18386.0904725841,54901.528526014,15211.7398097961,62776.7130084435
"43",96468.2267420417,48665.8441709383,146019.219697758,125462.831472605,121591.032451293,157383.433409713,69692.3457278238,184683.817728185,22284.3201292551,67629.7935066548,0
"44",0,50344.2451905243,61292.636518458,171653.854813471,3686.7979701914,93366.1653067284,54302.9662319158,64697.35792852,74592.0178663446,0,0
"45",54002.5960664095,3708.38125434448,30527.176821778,186054.785217969,23526.2621293419,22657.0306037498,4033.67785560277,6363.067437291,38059.7023472196,13767.3640915933,59030.4899083373
"46",98935.9798835659,17815.1425381159,101005.171562978,20830.0128137971,0,8441.43471160447,65420.8792730143,51391.454524248,91383.4139147204,154165.922138032,9398.13064558631
"47",37259.0243639743,0,10834.8855809145,8956.83874688934,0,17191.3517883844,0,0,49678.6991519658,0,0
"48",0,0,0,12891.9926705057,0,18136.0232764532,0,69140.4136673748,0,0,0
"49",45874.3129841951,0,0,0,0,7775.30728545679,0,0,21960.2616314511,0,0
"50",0,0,12744.317033164,0,45764.8840801277,0,0,0,0,0,46060.7922211307
"51",0,0,34279.1505336643,23971.2495850323,11681.4439702647,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,91646.6065484176,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0
