"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,NA,0,0
"6",0,0,0,0,0,0,0,0,NA,0,0
"7",0,0,0,0,0,0,0,0,NA,0,0
"8",0,0,0,0,0,0,0,0,NA,0,0
"9",0,0,0,0,0,0,0,0,NA,0,0
"10",0,0,0,0,0,0,0,0,NA,0,0
"11",0,0,0,0,0,0,0,0,NA,0,0
"12",0,0,0,0,0,0,0,0,NA,0,0
"13",0,0,0,0,0,0,0,0,NA,0,0
"14",0,32984.126984127,0,0,0,0,0,0,NA,0,0
"15",0,0,0,0,0,0,0,0,NA,0,0
"16",0,0,0,0,0,0,0,0,NA,0,0
"17",0,32984.126984127,0,0,0,0,0,0,NA,0,0
"18",0,65968.253968254,0,0,0,0,0,0,NA,0,0
"19",0,126202.380952381,104244.897959184,37107.1428571429,0,0,0,0,NA,0,0
"20",70701.2987012987,294095.238095238,148007.369614512,0,0,0,0,43485.7142857143,NA,43485.7142857143,0
"21",188293.506493506,40539.6825396825,297719.387755102,0,225275.510204082,0,0,0,NA,0,0
"22",96164.2857142857,280611.111111111,404188.775510204,37107.1428571429,45607.1428571429,0,0,52678.5714285714,NA,42142.8571428571,45607.1428571429
"23",417722.15007215,447353.174603175,194586.734693878,80592.8571428571,85349.2063492063,42142.8571428571,0,96164.2857142857,NA,42142.8571428571,171257.142857143
"24",368545.165945166,364857.142857143,52678.5714285714,218911.224489796,213120.634920635,48607.1428571429,0,43206.3492063492,NA,43485.7142857143,130457.142857143
"25",481153.246753247,364857.142857143,86412.6984126984,609524.603174603,170977.777777778,48607.1428571429,0,43206.3492063492,NA,0,301714.285714286
"26",236509.090909091,235682.53968254,139091.26984127,305683.333333333,127492.063492063,43485.7142857143,0,96164.2857142857,NA,43485.7142857143,129114.285714286
"27",159115.584415584,325928.571428571,86412.6984126984,174721.428571429,217568.367346939,0,0,52678.5714285714,NA,0,0
"28",114187.012987013,522682.53968254,95328.798185941,828521.428571429,174721.428571429,0,0,43206.3492063492,NA,0,0
"29",302788.311688312,1239567.46031746,95328.798185941,1179996.93877551,163307.142857143,0,0,43206.3492063492,NA,43485.7142857143,0
"30",298978.932178932,3309682.53968254,303818.594104308,2131947.16553288,208634.920634921,0,0,43485.7142857143,NA,43485.7142857143,0
"31",492002.308802309,3184630.95238095,451269.841269841,1897853.51473923,703609.863945578,45607.1428571429,0,52678.5714285714,NA,92092.8571428571,0
"32",379046.753246753,2957944.44444444,138535.14739229,1694806.57596372,183366.780045351,45607.1428571429,0,105357.142857143,NA,0,0
"33",663062.337662338,4132049.20634921,355941.0430839,1480987.41496599,264598.412698413,228035.714285714,0,192049.206349206,NA,0,0
"34",522930.88023088,5341115.07936508,512308.390022676,1583955.10204082,542139.002267574,178964.285714286,96954.081632653,148842.857142857,NA,0,0
"35",472751.298701299,4594003.96825397,929287.98185941,984110.430839002,260854.761904762,170464.285714286,88454.081632653,52678.5714285714,NA,0,0
"36",69469.8412698413,4034309.52380952,503392.290249433,937020.634920635,442225.396825397,0,45607.1428571429,0,NA,0,0
"37",296615.584415584,3333686.50793651,399147.392290249,851107.142857143,482012.698412698,270178.571428571,37107.1428571429,52678.5714285714,NA,42142.8571428571,0
"38",429265.584415584,2919607.14285714,729714.285714286,587307.142857143,161185.714285714,48607.1428571429,0,95884.9206349206,NA,0,0
"39",195293.506493506,2164404.76190476,156367.346938776,504658.163265306,294263.492063492,91214.2857142857,0,52678.5714285714,NA,0,0
"40",289612.40981241,1449420.63492063,555514.739229025,729229.591836735,132578.571428571,42142.8571428571,0,0,NA,0,0
"41",151807.792207792,1220543.65079365,156367.346938776,1043378.57142857,91214.2857142857,0,42142.8571428571,105357.142857143,NA,0,0
"42",36485.7142857143,854049.206349206,312734.693877551,397950,176204.081632653,0,0,52122.4489795918,NA,0,0
"43",43485.7142857143,501561.111111111,312734.693877551,222450,134700,0,42142.8571428571,52122.4489795918,NA,0,0
"44",0,563432.53968254,312734.693877551,133357.142857143,0,45607.1428571429,0,0,NA,0,0
"45",0,226976.19047619,0,42142.8571428571,0,37107.1428571429,0,52678.5714285714,NA,0,0
"46",0,52678.5714285714,0,0,37107.1428571429,0,0,0,NA,0,0
"47",0,81079.3650793651,0,0,45607.1428571429,0,0,0,NA,0,0
"48",0,0,0,45607.1428571429,0,0,0,0,NA,0,0
"49",0,0,0,0,0,0,0,0,NA,0,0
