"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,NA,0,0
"6",0,0,0,0,0,0,0,0,NA,0,0
"7",0,0,0,0,0,0,0,0,NA,0,0
"8",0,0,0,0,0,0,0,0,NA,0,0
"9",0,0,0,0,0,0,0,0,NA,0,0
"10",0,0,0,0,0,0,0,0,NA,0,0
"11",0,0,0,0,0,0,0,0,NA,0,0
"12",0,0,0,0,0,0,0,0,NA,0,0
"13",0,0,0,0,0,0,0,0,NA,0,0
"14",0,124978.433317856,0,0,0,0,0,0,NA,0,0
"15",0,0,0,0,0,0,0,0,NA,0,0
"16",0,0,0,0,0,0,0,0,NA,0,0
"17",0,144897.945619704,0,0,0,0,0,0,NA,0,0
"18",0,301107.904091423,0,0,0,0,0,0,NA,0,0
"19",0,593582.901816648,660977.767862341,174530.507024101,0,0,0,0,NA,0,0
"20",339234.130605806,1411107.63512344,885194.505634571,0,0,0,0,208650.176877384,NA,281278.77801543,0
"21",1094894.01918962,196059.145447836,1765540.04857045,0,1089483.71703957,0,0,0,NA,0,0
"22",462234.711574743,1423991.51755747,2619094.71315316,178363.613357408,219220.725945535,0,0,253211.096922211,NA,202568.877537769,219220.725945535
"23",2307124.68844415,2176721.71866866,1233276.94660737,378900.977833152,540937.22661673,198131.327591562,0,452108.824299187,NA,198131.327591562,876316.69809202
"24",1779201.90929081,1649482.00560358,321053.144310618,989675.36387782,1031489.23118376,219747.945343234,0,195331.506971763,NA,196594.488060192,589783.464180576
"25",2233310.96367101,1564290.43594486,370486.2583,2935683.44962099,797531.916099381,208398.52029375,0,185243.12915,NA,0,1358469.23153474
"26",1123787.97331355,949009.897015943,633906.826657819,1476479.88231145,573924.425247344,175101.529759219,0,387219.430871938,NA,236052.252897198,519897.380408613
"27",655321.935817234,1225739.78432488,324977.59202594,716788.912067813,818222.847106847,0,0,198111.569349025,NA,0,0
"28",486787.32573597,1833142.81769789,397966.932106634,3287059.85682434,665867.548268954,0,0,204279.172434532,NA,0,0
"29",1115861.37259402,4062291.22762,371868.649055214,4073816.61921498,619847.448385252,0,0,141595.176525115,NA,142510.707424028,0
"30",1074290.86625896,10188157.5088607,1158641.19957321,6953563.95819275,688534.713832288,0,0,133861.571681333,NA,180457.164567261,0
"31",1588772.73994511,9286415.4704979,1686247.46567163,6044486.07076967,2351214.87207895,132990.881306713,0,153611.237218012,NA,362020.492220851,0
"32",1128980.7101148,8264929.29499921,437782.194635353,5075399.98692507,640757.212963019,127433.025920813,0,294383.262698824,NA,0,0
"33",1998711.60866175,11195555.4001191,1210192.1017061,4304348.85064788,841425.710081418,617849.968622976,0,561095.516798235,NA,0,0
"34",1596433.4733995,14183477.0713368,1745886.90378343,4290550.62097849,1563917.58211794,475244.551989411,299621.491834952,395256.275168842,NA,0,0
"35",1546719.46572457,12111137.6283912,3156590.47315994,2659051.3721212,842440.830266016,447869.042800906,279358.923204471,138404.952468329,NA,0,0
"36",215331.601409653,10613132.6024646,1699532.20103985,2494930.81368188,1399731.18332469,0,161118.404553571,0,NA,0,0
"37",1010064.88415092,8793341.57519887,1333723.76572932,2398052.8173364,1459780.17359321,709328.607817936,131332.52687875,138302.669733173,NA,110642.135786539,0
"38",1431897.35400929,7667772.40269673,2583543.95065672,1584139.72154439,496999.209988818,127657.07519444,0,291321.397613748,NA,0,0
"39",647000.734084214,5643565.1695772,549641.278038412,1315868.12359462,953492.648372811,237836.182439362,0,137356.448354761,NA,0,0
"40",836961.561010733,3701741.84805827,1789448.45097413,1986069.75731987,379143.137925814,107630.576054961,0,0,NA,0,0
"41",466721.954280713,3005879.94670066,519137.728221394,2725955.46994807,263733.641317242,0,139913.783447818,259467.101197107,NA,0,0
"42",115441.674044942,2004492.55251763,989500.063242359,1040126.48722394,447988.835562166,0,0,164916.67720706,NA,0,0
"43",96555.8370933036,1147278.02122616,936108.519945925,493928.783606563,367947.845887922,0,126146.182047007,156018.086657654,NA,0,0
"44",0,1180049.8560968,882983.735527969,345800.679398212,0,95519.3365223125,0,0,NA,0,0
"45",0,448512.912083015,0,83275.7635987556,0,98848.5659955295,0,104094.704498444,NA,0,0
"46",0,98266.3136245536,0,0,93313.9128859263,0,0,0,NA,0,0
"47",0,142835.743638948,0,0,80345.1057969083,0,0,0,NA,0,0
"48",0,0,0,75898.853969135,0,0,0,0,NA,0,0
"49",0,0,0,0,0,0,0,0,NA,0,0
