"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,42142.8571428571,101000,0,86971.4285714286,0,0,0,0,0,0
"8",177775.510204082,264000,357734.693877551,43485.7142857143,126428.571428571,0,0,0,0,0,0
"9",144836.734693878,311714.285714286,746714.285714286,43485.7142857143,337142.857142857,0,0,0,42142.8571428571,72476.1904761905,43206.3492063492
"10",62122.4489795918,175206.349206349,447836.734693878,0,564220.408163265,0,0,43206.3492063492,42142.8571428571,0,130457.142857143
"11",249833.333333333,0,186628.571428571,55551.0204081633,717771.428571429,43206.3492063492,43485.7142857143,129898.412698413,43485.7142857143,133285.714285714,607682.53968254
"12",62122.4489795918,43485.7142857143,0,86971.4285714286,380628.571428571,0,43485.7142857143,216311.111111111,43485.7142857143,72476.1904761905,260355.555555556
"13",93183.6734693878,0,0,43485.7142857143,42142.8571428571,43206.3492063492,0,86412.6984126984,0,0,130457.142857143
"14",31061.2244897959,0,0,0,126428.571428571,0,0,216869.841269841,0,0,43485.7142857143
"15",0,0,0,0,0,0,0,0,0,0,43485.7142857143
"16",0,0,0,0,0,0,0,43206.3492063492,0,0,0
"17",0,0,0,94832.6530612245,0,0,0,43485.7142857143,0,0,43485.7142857143
"18",0,0,0,0,0,0,0,0,0,0,0
"19",51346.9387755102,44928.5714285714,0,0,0,0,0,43206.3492063492,0,0,43485.7142857143
"20",0,44928.5714285714,51346.9387755102,51346.9387755102,0,0,43485.7142857143,0,0,0,0
"21",0,44928.5714285714,0,37107.1428571429,0,0,0,43485.7142857143,0,217428.571428571,43485.7142857143
"22",0,89857.1428571429,51346.9387755102,154040.816326531,0,86971.4285714286,0,43485.7142857143,0,0,0
"23",105608.843537415,42142.8571428571,0,154040.816326531,0,42142.8571428571,0,0,0,72476.1904761905,43485.7142857143
"24",102693.87755102,294579.365079365,170977.777777778,148428.571428571,0,223792.857142857,0,43485.7142857143,0,144952.380952381,43485.7142857143
"25",197221.088435374,769858.73015873,431327.777777778,1149071.42857143,0,42142.8571428571,0,0,0,133285.714285714,86692.0634920635
"26",213393.87755102,1029649.20634921,218985.714285714,890494.897959184,186704.081632653,0,0,0,0,72476.1904761905,0
"27",435936.394557823,1020707.93650794,403065.306122449,875755.102040816,145624.716553288,411968.253968254,42142.8571428571,43206.3492063492,43206.3492063492,0,43206.3492063492
"28",468885.714285714,809074.603174603,878443.764172336,1675545.91836735,188831.065759637,312321.428571429,0,0,43485.7142857143,0,85349.2063492063
"29",504734.693877551,635240.589569161,575731.065759637,963403.06122449,594301.020408163,441940.476190476,0,0,43206.3492063492,0,43206.3492063492
"30",435542.857142857,554665.986394558,353560.430839002,825451.020408163,1243811.45124717,435105.555555556,96954.081632653,43485.7142857143,0,0,0
"31",451039.115646258,934541.26984127,308084.126984127,795581.632653061,934675.736961451,764031.746031746,0,43485.7142857143,0,0,42142.8571428571
"32",396621.088435374,1011857.14285714,866752.947845805,428700,1433314.96598639,986957.936507936,233775.510204082,43485.7142857143,43485.7142857143,0,0
"33",752437.074829932,1192788.88888889,834500.907029478,591668.367346939,1439805.55555556,789755.555555556,336005.102040816,173663.492063492,0,0,0
"34",1192008.84353741,1093373.01587302,1186456.46258503,705960.204081633,961179.591836735,938439.682539682,42142.8571428571,217149.206349206,0,72476.1904761905,43206.3492063492
"35",942894.557823129,1171973.92290249,1129210.09070295,182719.387755102,852179.591836735,353406.349206349,175500,128834.920634921,128555.555555556,0,0
"36",764592.517006803,809412.698412698,860517.346938776,442280.612244898,781982.879818594,563607.142857143,285122.448979592,0,42142.8571428571,0,43206.3492063492
"37",633334.693877551,727373.015873016,606867.346938776,348290.816326531,597854.308390023,708547.619047619,290862.244897959,43485.7142857143,43485.7142857143,0,0
"38",816565.646258503,711580.952380952,733580.839002268,206938.775510204,226571.428571429,466904.761904762,228035.714285714,43206.3492063492,0,0,0
"39",954439.795918367,461928.571428571,316364.512471655,694346.93877551,214882.653061224,303271.428571429,184428.571428571,86692.0634920635,45607.1428571429,60809.5238095238,0
"40",315022.448979592,869942.176870748,347746.145124717,699290.816326531,208634.920634921,214178.571428571,45607.1428571429,0,43206.3492063492,0,0
"41",151600,288616.780045351,178964.285714286,304632.653061224,148025.510204082,189607.142857143,263954.081632653,43485.7142857143,0,60809.5238095238,0
"42",268290.476190476,252436.507936508,406440.816326531,419382.653061224,116357.142857143,0,45607.1428571429,189097.959183673,45607.1428571429,144361.904761905,42142.8571428571
"43",120771.428571429,256825.396825397,207571.428571429,525178.571428571,177546.93877551,208623.015873016,0,43206.3492063492,0,0,0
"44",124318.367346939,81079.3650793651,125561.224489796,155591.836734694,45607.1428571429,0,0,43485.7142857143,0,0,0
"45",42142.8571428571,0,193908.163265306,168479.591836735,51346.9387755102,102047.619047619,0,0,0,0,0
"46",0,0,0,52122.4489795918,0,0,0,42142.8571428571,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,51346.9387755102,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0
