"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,110405.043089102,264597.849030492,0,227846.068585238,0,0,0,0,0,0
"8",539171.074505637,813730.979914917,985849.341205543,119838.426392879,348413.296181661,0,0,0,0,0,0
"9",420074.919742776,1040151.34498832,2165720.90157368,126123.099758758,977826.923228217,0,0,0,122228.365403527,210205.166264597,125312.847694313
"10",255798.890387265,535157.626622348,1367891.31865772,0,1723378.49565559,0,0,131971.286434683,128722.911640001,0,444708.404987806
"11",873924.80204605,0,649559.757240055,178839.897000759,2310779.66547916,139097.697667257,139997.080282592,466923.764784958,188728.369450444,429097.489828051,2004779.81846023
"12",211003.373389893,199115.765626139,0,295404.72274585,1292832.36413279,0,147702.361372925,786129.676645414,199115.765626139,246170.602288208,986482.619702789
"13",373065.020287802,0,0,155996.809096767,151179.562035303,154994.639495328,0,309989.278990655,0,0,467990.427290301
"14",158659.786044863,0,0,0,479043.898641349,0,0,993792.944979575,0,0,164769.449430991
"15",0,0,0,0,0,0,0,0,0,0,173758.933501219
"16",0,0,0,0,0,0,0,181467.925952968,0,0,0
"17",0,0,0,416596.037628954,0,0,0,257526.574914338,0,0,191030.997025862
"18",0,0,0,0,0,0,0,0,0,0,0
"19",241506.259135233,284875.206724539,0,0,0,0,0,203217.640945183,0,0,204531.612466357
"20",0,290611.615262328,246369.365976863,246369.365976863,0,0,281278.77801543,0,0,0,0
"21",0,292919.025821856,0,179458.601123993,0,0,0,210306.826495259,0,1173542.90050711,210306.826495259
"22",0,582263.491852584,332721.995344334,740430.938331757,0,563564.409920275,0,209023.614652532,0,0,0
"23",549542.317532211,198131.327591562,0,724210.779981168,0,198131.327591562,0,0,0,340741.108016223,204444.664809734
"24",464268.567636046,1468785.01609835,772973.130234035,729424.859121549,0,1220379.64194996,0,265026.649839056,0,883422.166130188,196594.488060192
"25",922196.590486257,3630811.53182715,2302719.54674047,5296382.07822755,0,180683.507675698,0,0,0,571449.873428563,436164.900747986
"26",963282.06791467,4456069.25264904,945701.883474724,3912693.29771316,823374.09876807,0,0,0,0,393420.421495329,0
"27",1687215.58774668,4239403.79960067,1705434.93891447,3850645.12801519,604220.282643387,1783592.35561859,213657.447009824,162488.79601297,219049.179194252,0,162488.79601297
"28",1939748.53207268,3102913.48744617,3576279.63103372,6196370.89785225,724613.312257913,1095368.10612919,0,0,205600.007642044,0,299335.20394672
"29",1992533.78317854,2280670.26180665,2143132.13815723,3498211.05128061,2155600.62689523,1596495.51333532,0,0,190882.743652158,0,190882.743652158
"30",1558108.4981954,1848455.37292941,1180113.28209886,2921873.65849305,4149513.98805913,1424649.18117715,347321.364213873,180457.164567261,0,0,0
"31",1586281.82084095,2989723.578748,898376.372590753,2592600.78903319,2951751.66472313,2492693.3417663,0,126804.774533323,0,0,165665.159707052
"32",1326570.56634003,3114412.45012163,2835889.7843113,1320815.98622131,4385764.30653588,2970420.43977403,830634.534348479,121505.444292233,163800.018788509,0,0
"33",2647458.52636591,3831802.94192556,2635531.79386988,1805493.51157846,4328223.31595672,2426560.62976976,1181439.05496008,511280.45589814,0,0,0
"34",4040981.80404969,3526469.14760688,3499330.27843494,2064817.02781425,2765724.6037406,2774607.59537231,150866.550675221,576645.652367984,0,259456.373025634,154673.729166837
"35",3177538.9384773,3662716.14787679,3477402.64331855,552545.402638695,2449351.29077215,1048542.92969264,621602.813917747,338494.203300774,416788.78528839,0,0
"36",2624713.31107139,2439894.14567371,2730001.75183529,1277900.07256768,2198199.26350686,1678656.88415352,1007264.89764759,0,110437.877993668,0,113224.82256074
"37",2079083.99565752,2304087.34869094,2020755.94738273,995240.743931619,1744120.36546807,2062289.28923119,935593.512884747,114167.681808211,153908.069997657,0,0
"38",2767535.02087876,2256986.7605542,2351066.73687085,543483.884736693,683427.200333632,1393006.60212569,807357.484580226,113472.955728391,0,0,0
"39",3177562.46333915,1446593.09706384,946579.51872269,2018427.15028551,593973.759169647,948125.234434235,601924.843905882,226044.73923446,118918.091219681,158557.454959575,0
"40",1084604.49892321,2585780.37924228,1081542.59845192,1856403.95748075,679907.9050098,587545.121121047,157022.816901203,0,148757.019961741,0,0
"41",503310.193202794,819193.780556411,555062.5954963,833978.616862068,403644.836078975,558586.674922304,800497.188428539,107093.946582236,0,149757.960781336,0
"42",848877.493783094,696735.528593241,1208512.26789014,1166704.82446453,333726.991241716,0,144302.092556177,520200.686323371,107042.050410115,456764.524973435,98911.2133781797
"43",361505.024754372,670125.194691073,560071.420271466,1284720.27185828,491765.291808062,496621.296265891,0,129329.532027101,0,0,0
"44",313570.270224142,169812.153817444,327460.672374856,363304.271134031,128768.461431162,0,0,91076.2287780483,0,0,0
"45",112263.048965086,0,449857.633795483,412955.967993057,101463.351677709,201649.673889416,0,0,0,0,0
"46",0,0,0,97228.9259068707,0,0,0,105977.30241135,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,115195.395088843,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0
