"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",0,0,0,0,0,0,0,0,NA,0,0
"2",0,0,0,0,0,0,0,0,NA,0,0
"3",0,43485.7142857143,0,0,0,0,0,0,NA,0,0
"4",35350.6493506493,96721.4285714286,0,0,173942.857142857,0,0,0,NA,9750,43485.7142857143
"5",0,106192.063492063,0,0,217428.571428571,0,13000,0,NA,0,96721.4285714286
"6",0,203192.857142857,0,43485.7142857143,217428.571428571,26000,39000,0,NA,0,183692.857142857
"7",9750,106471.428571429,78000,0,270664.285714286,39000,91000,0,NA,0,96721.4285714286
"8",0,99673.8095238095,48750,0,116221.428571429,78000,121485.714285714,9750,NA,0,116221.428571429
"9",9750,9750,58500,0,208457.142857143,26000,234000,43485.7142857143,NA,0,183692.857142857
"10",0,91295.2380952381,39000,0,48750,13000,117000,0,NA,0,53235.7142857143
"11",29250,78000,78000,0,82485.7142857143,43485.7142857143,182000,0,NA,0,53235.7142857143
"12",23928.5714285714,242728.571428571,56845.2380952381,8809.52380952381,86095.2380952381,67428.5714285714,26000,0,NA,0,19500
"13",155443.506493506,120545.238095238,160507.142857143,0,158830.952380952,86971.4285714286,39000,43485.7142857143,NA,13214.2857142857,19500
"14",322114.285714286,43485.7142857143,35166.6666666667,0,82485.7142857143,43485.7142857143,56485.7142857143,86971.4285714286,NA,68857.1428571429,9750
"15",1230022.72727273,64092.8571428571,17702.380952381,84175.5102040816,92235.7142857143,173942.857142857,173942.857142857,0,NA,20785.7142857143,0
"16",2086484.1991342,109057.142857143,81952.3809523809,232780.952380952,87585.7142857143,70771.4285714286,916730.952380952,0,NA,184657.142857143,9750
"17",2909753.46320346,431689.795918367,288556.802721088,477024.489795918,262315.646258503,375929.25170068,726228.571428571,220228.571428571,NA,357957.142857143,89923.8095238095
"18",3381753.24675325,1349805.95238095,856728.911564626,1196110.20408163,641961.224489796,565201.360544218,1381680.27210884,544921.995464853,NA,417445.238095238,207753.06122449
"19",3119258.76623377,2155294.04761905,746728.571428571,2241112.92517007,1496810.88435374,1604015.6462585,676153.741496599,1508122.33560091,NA,761542.857142857,495426.19047619
"20",2068900.97402597,3351927.09750567,1314514.1723356,1498622.44897959,1461271.42857143,1416217.68707483,757210.884353742,2914807.93650794,NA,664561.904761905,1491190.47619048
"21",1068165.8008658,1939344.72789116,664500.22675737,1598797.27891156,596467.346938776,838080.952380952,926186.394557823,2225821.42857143,NA,374775.510204082,1500634.01360544
"22",459020.346320346,1273440.47619048,1672347.16553288,939878.231292517,1121038.7755102,585793.87755102,1036050.34013605,1334763.26530612,NA,687287.414965986,1892188.0952381
"23",316570.238095238,2334281.97278912,2218169.61451247,828048.299319728,1200381.29251701,963648.639455782,1342051.02040816,712560.430839002,NA,637528.571428571,1364526.8707483
"24",838687.012987013,2050411.2244898,2542712.81179138,1267236.73469388,1461639.79591837,1271840.13605442,1461378.91156463,1037211.67800454,NA,681412.925170068,1100119.72789116
"25",1584088.2034632,3029157.19954649,2811758.50340136,3518434.69387755,2240810.88435374,1357090.47619048,1761587.07482993,1662431.74603175,NA,1215753.7414966,1225410.20408163
"26",1075904.87012987,2756477.72108844,2701795.35147392,3626062.58503401,1578077.89115646,1486205.44217687,1491582.31292517,1712947.50566893,NA,1292393.53741497,1300065.98639456
"27",1367897.72727273,2278172.67573696,1872396.14512472,4186429.93197279,1851554.42176871,1449833.33333333,1654538.7755102,2280332.87981859,NA,1210662.58503401,1174266.32653061
"28",1088890.58441558,904716.383219955,1086145.91836735,2914406.80272109,1229321.42857143,928246.258503401,1140538.0952381,1259236.84807256,NA,1549206.46258503,796819.047619048
"29",848133.333333333,856032.199546485,1544044.21768707,1201712.24489796,846940.476190476,711511.224489796,828707.823129252,852476.530612245,NA,1049490.13605442,736061.904761905
"30",549642.857142857,673369.671201814,532323.129251701,885031.292517007,448966.666666667,443027.210884354,330989.795918367,518420.861678005,NA,218096.93877551,430639.115646259
"31",371497.619047619,202729.875283447,201328.231292517,386625.850340136,122391.156462585,198227.891156463,109442.176870748,404868.027210884,NA,226496.93877551,213400
"32",74738.0952380952,155250,118348.639455782,51346.9387755102,195423.80952381,168571.428571429,101000,102331.632653061,NA,136221.428571429,138318.367346939
"33",145545.238095238,145896.825396825,13047.619047619,108142.857142857,57961.9047619048,42142.8571428571,2952.38095238095,0,NA,42142.8571428571,0
"34",11333.3333333333,46438.0952380952,57795.9183673469,51071.4285714286,42142.8571428571,54299.3197278912,0,0,NA,45607.1428571429,0
"35",0,4428.57142857143,0,7142.85714285714,0,0,0,0,NA,42142.8571428571,0
"36",0,0,0,0,0,0,0,0,NA,0,0
"37",0,0,0,0,0,0,0,0,NA,0,0
"38",0,0,0,0,0,0,0,0,NA,0,0
