"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",0,0,0,0,0,0,0,0,NA,0,0
"2",0,0,0,0,0,0,0,0,NA,0,0
"3",0,119141.61515725,0,0,0,0,0,0,NA,0,0
"4",652669.468981169,264996.158154454,0,0,476566.460628998,0,0,0,NA,26712.9278399549,802864.970586534
"5",0,290943.685050195,0,0,595708.075786248,0,240015.480694398,0,NA,0,948719.513583739
"6",0,556705.244148863,0,119141.61515725,595708.075786248,71234.4742398798,720046.442083193,0,NA,0,1187002.74389824
"7",180011.610520798,291709.085994409,213703.422719639,0,741562.618783452,106851.71135982,1680108.36486078,0,NA,0,948719.513583739
"8",0,319505.168422046,133564.639199775,0,318422.013834364,213703.422719639,1559234.49932363,180011.610520798,NA,0,318422.013834364
"9",180011.610520798,26712.9278399549,160277.56703973,0,571128.268191388,71234.4742398798,4320278.65249916,119141.61515725,NA,0,1870726.09932752
"10",0,246440.823457867,105275.941170453,0,131594.926463067,35091.9803901511,2048412.31404129,0,NA,0,143703.58782846
"11",77792.5569577662,343387.971330598,207446.818554043,0,219376.910317041,115653.50104002,3021610.76178846,0,NA,0,141584.353359275
"12",62701.3075965664,1019888.16725768,148954.598892341,23084.0634932633,225599.928626054,176686.669764653,409332.372848993,0,NA,0,51096.8864891422
"13",837804.074512623,311212.860944179,1488267.20041668,0,410055.476914915,224535.017175314,582241.244504852,649209.651381967,NA,34115.4551391533,50343.3473134533
"14",819341.803436078,110611.870217289,89451.2331969641,0,209813.711772215,110611.870217289,294654.032142274,726243.014063065,NA,360962.812388711,24800.4603887317
"15",4893001.44427153,160624.729685151,44364.3844574128,210954.374252718,231154.255480258,435922.591919401,435922.591919401,0,NA,134761.982651739,0
"16",9143186.68767867,369328.200864548,346501.291238606,574774.998304649,216263.737497288,174746.461517137,2663753.32778987,0,NA,1169258.00731306,24074.3762586689
"17",13726401.4301013,1766348.20524863,807468.91019929,1160482.92364878,686804.73430032,1150935.27800936,2478206.45560481,1194538.47249948,NA,987869.96891193,218762.448499178
"18",13601245.7274962,3746558.21567758,2792275.60326165,3932556.13029547,2187217.79353833,1748297.51713395,4605978.40907789,2273480.80621558,NA,1554364.55603513,497958.512276353
"19",15061750.2339549,6046126.82527961,3565813.40018141,7260525.90006274,3626983.9457692,4174206.24064926,2259291.03730726,7607173.18066617,NA,2710826.10517546,1169963.5753336
"20",9423893.07399931,9377050.49941113,4689374.68529997,4225160.48574468,3576745.18665877,3781963.37224387,3156172.44451143,19930624.33464,NA,2270511.19425227,3963895.94838843
"21",5661144.33636968,5076355.20587278,2002216.12841527,4976990.54424931,1471123.47873111,4219154.9655002,3191285.46970104,12137553.2472371,NA,1031991.99587458,4620574.12498686
"22",1978066.23207546,3672548.27587634,5682244.70874861,3274993.5607729,2531960.72768096,2018026.37041233,3367567.49717066,7987421.84165648,NA,3811373.59105308,4625674.68532785
"23",835822.380330819,6708362.16065172,5958948.66721072,2096007.55593638,2748252.53236646,3783692.35984188,4102484.52712747,3127926.36443816,NA,2215361.07436248,3899846.04837068
"24",2055540.13379718,5343620.72578857,7271736.89213261,3275017.27572954,3550578.38181302,3536334.81921937,4464826.62132706,3259533.08882819,NA,2903627.93981812,3165690.51724549
"25",4072971.02493854,8771100.31061548,8118933.61441891,9190145.60010558,6324132.8333612,4778508.20339441,4889372.47025363,4428917.5761264,NA,4340982.03323693,4364674.7181175
"26",2878157.11350308,8573911.98420383,7120934.41674427,10153136.346749,4481229.26036316,4571670.43957362,4686899.13302589,4261042.81961149,NA,3698861.40131355,3858059.16464727
"27",3397586.56863286,8209562.23203916,4721429.96830154,11349733.4517481,4830993.22600371,5606087.96524739,5692631.75999647,6219289.64079652,NA,4628301.77658047,3906107.36474021
"28",2414514.36740338,3090793.26601798,3381312.21027374,7971557.87600381,3440625.5178352,2426642.69331786,3781329.635968,3867201.21360397,NA,5882834.02583987,2830618.41038094
"29",1775639.49498025,2545398.08565252,3534664.17072574,3116709.92866588,2339242.56306762,2647647.87401596,2808188.24548193,2034602.81312356,NA,3378758.18714858,1940366.22748236
"30",1408915.45713531,2098457.79056933,1100709.49862024,2155803.83965618,1573815.61475828,1304098.01821317,1078294.60696024,1071865.22353713,NA,644081.934175424,1480207.33503325
"31",734042.52243813,411685.953342801,397804.656500432,1173867.1809503,470469.350411221,584931.614590798,265174.615862339,829909.281898175,NA,639751.525028648,421657.276538879
"32",145497.275139615,616370.510550646,230396.620390722,99960.2633007615,706315.742164439,328168.431981037,196622.950347961,199215.322041273,NA,307641.459061979,269272.925495724
"33",420193.970134345,621526.473646263,48191.3540539088,230589.011028172,120748.980552538,80832.2115284039,5662.82159860005,0,NA,80832.2115284039,0
"34",55468.1811176785,227279.706831765,109220.787732775,96513.072493386,206257.732307334,256884.131058438,0,0,NA,223212.81708175,0
"35",0,8245.54639592637,0,33150.7868764296,0,0,0,0,NA,78465.6834451057,0
"36",0,0,0,0,0,0,0,0,NA,0,0
"37",0,0,0,0,0,0,0,0,NA,0,0
"38",0,0,0,0,0,0,0,0,NA,0,0
