"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",0,0,0,0,0,0,0,0,0,11523.8095238095,0
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,49653.0612244898,39000,57795.9183673469,0,43485.7142857143,0,0,0,0
"4",242775.324843235,153476.19047619,5904.7619047619,219902.380952381,253442.517006803,142304.079721057,413407.142857143,0,95809.5238095238,2952.38095238095,428482.653061224
"5",306850.447053862,144952.380952381,51438.0952380952,542352.380952381,446866.326530612,48460.4375067226,763080.952380952,13000,81142.8571428571,99000,1176926.98412698
"6",270212.379443988,332465.476190476,181244.897959184,1565745.23809524,401781.519274376,369976.456787136,975092.857142857,151971.428571429,330623.129251701,166690.476190476,1489660.31746032
"7",161063.073920498,391768.707482993,171934.693877551,1972223.1292517,157607.142857143,422024.341857589,480297.619047619,268971.428571429,220180.952380952,295833.333333333,1717756.34920635
"8",77619.1091861142,67113.0952380952,68938.7755102041,2562664.28571429,567109.523809524,226798.434979025,401121.428571429,865171.428571429,337130.158730159,647809.523809524,902095.238095238
"9",65339.6839762474,50628.5714285714,0,1182240.47619048,444607.142857143,165931.407981069,152909.523809524,1181796.82539683,217104.761904762,512690.476190476,328406.349206349
"10",10732.5188010429,159647.619047619,43485.7142857143,651942.857142857,43485.7142857143,93853.6073464558,138552.380952381,888149.206349206,81247.619047619,91976.1904761905,86971.4285714286
"11",62505.9704662782,5904.7619047619,43485.7142857143,520533.333333333,130457.142857143,44574.0359793482,161316.666666667,495596.825396825,96920.6349206349,91976.1904761905,43485.7142857143
"12",0,86971.4285714286,129898.412698413,43485.7142857143,0,209992.239656161,148614.285714286,181644.444444444,56485.7142857143,111476.19047619,130457.142857143
"13",31252.9852331391,264133.333333333,86692.0634920635,43485.7142857143,53235.7142857143,95034.4755028504,155195.238095238,138692.063492063,26000,72476.1904761905,43485.7142857143
"14",0,461466.666666667,86412.6984126984,152921.428571429,53235.7142857143,404654.120056649,132578.571428571,13000,39000,217428.571428571,0
"15",62505.9704662782,369507.936507937,86412.6984126984,19500,0,70550.1458803915,61330.9523809524,56485.7142857143,0,72476.1904761905,0
"16",31252.9852331391,402288.888888889,402136.507936508,186008.163265306,43485.7142857143,323882.738159263,87750,13000,0,72476.1904761905,43485.7142857143
"17",69315.7810244144,418746.031746032,261918.253968254,43485.7142857143,51892.8571428571,352675.990911047,11523.8095238095,39000,0,91976.1904761905,0
"18",137279.730120764,727288.888888889,132019.841269841,101257.142857143,85349.2063492063,273631.566410312,151345.238095238,11333.3333333333,0,19500,0
"19",247412.621710395,706253.968253968,431298.752834467,225465.306122449,357769.047619048,109201.903839948,221671.428571429,186487.301587302,104214.285714286,141990.476190476,92380.9523809524
"20",516550.380330554,1476903.17460317,248685.260770975,48723.8095238095,816238.095238095,334598.244729483,528858.503401361,232687.301587302,45607.1428571429,130392.857142857,151517.46031746
"21",660344.913636797,1812073.01587302,646778.911564626,121146.258503401,956304.761904762,481522.871497206,636343.537414966,474485.941043084,502620.634920635,168314.285714286,620814.285714286
"22",727430.000861939,2299769.55782313,1311528.3446712,222376.19047619,1033857.14285714,452413.01226202,1650451.70068027,872716.553287982,830150.113378685,225219.047619048,554644.444444444
"23",1201098.21901868,1910062.13151927,2399364.05895692,340093.87755102,1726156.12244898,980990.383482639,1766654.76190476,709042.857142857,1097339.569161,663635.714285714,1038361.2244898
"24",1132442.26886954,1644018.08390023,2772081.63265306,781693.87755102,1263807.82312925,1457169.95113631,1758969.3877551,456857.369614512,1656469.27437642,859426.870748299,738693.424036281
"25",1451966.05469003,2366966.15646258,3727979.25170068,2405062.58503401,1832647.27891156,2398976.58096314,2203922.44897959,1708140.36281179,2059324.37641723,1735587.07482993,910648.412698413
"26",1620858.8022435,1938379.138322,2995068.48072562,2405491.83673469,2417506.12244898,2524259.21850751,2620827.89115646,1546825.85034014,1869364.96598639,1085172.10884354,1022966.4399093
"27",1606064.62741151,2224294.7845805,2239433.90022676,3419630.95238095,2620495.35147392,2862847.3597794,2515041.83673469,2111681.63265306,2491998.63945578,1120293.53741497,1242122.10884354
"28",1253311.78609138,1935783.10657596,896104.195011338,2495034.01360544,2067410.430839,1812576.53060767,1659134.69387755,1607808.16326531,1792363.03854875,1360430.6122449,1044776.41723356
"29",817524.294210541,1028505.66893424,850513.492063492,1806161.2244898,1208095.23809524,966843.597204936,995786.734693878,902436.961451247,970191.0430839,701761.904761905,484315.079365079
"30",530178.215109174,896466.326530612,613952.380952381,633136.054421769,1307372.33560091,747825.225591205,588784.013605442,588412.471655329,1092278.00453515,745581.632653061,482272.562358277
"31",449440.652118369,514183.843537415,168487.98185941,279823.129251701,452063.945578231,118684.723566742,358026.530612245,157370.74829932,288866.780045351,351834.693877551,447259.863945578
"32",414057.563668043,434663.718820862,137373.015873016,161700,260496.825396825,157273.701193934,188168.367346939,84727.8911564626,186104.761904762,220691.156462585,101234.013605442
"33",11403.3012261081,159077.097505669,62251.7006802721,165080.272108844,26857.1428571429,58475.3952888028,7142.85714285714,15952.380952381,22214.2857142857,22452.380952381,46158.7301587302
"34",33131.8604951839,2952.38095238095,86692.0634920635,175360.544217687,0,157414.209556846,45607.1428571429,10714.2857142857,99412.6984126984,0,2952.38095238095
"35",10780.4318314047,89825.3968253968,50349.2063492063,0,45095.2380952381,14230.2086694633,0,0,56206.3492063492,0,0
"36",0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,8190.47619047619,0,0,0,0,43206.3492063492,0,0
"38",0,0,0,0,0,0,0,0,0,0,0
